Unnamed: 0,Player,Link,Player_name,Player_id,Nationality,Position,club
8229.0,Diego Buonanotte,/en/players/4680cb30/Diego-Buonanotte,Diego-Buonanott,4680cb30,ar ARG,"FW,MF",Granada
8230.0,Darwin Machís,/en/players/ed6ea4d9/Darwin-Machis,Darwin-Machi,d6ea4d9,ve VEN,"FW,MF",Granada
8231.0,﻿Manuel Iturra,/en/players/000b3da6/Manuel-Iturra,Manuel-Itu,000b3da6,cl CHI,MF,Granada
8232.0,Brayan Angulo,/en/players/af31b77b/Brayan-Angulo,Brayan-Angulo,f31b77b,co COL,"DF,MF",Granada
8233.0,Jeison Murillo,/en/players/b233e8e4/Jeison-Murillo,Jeison-Murillo,b233e8e4,co COL,DF,Granada
8234.0,Piti,/en/players/ab530738/Piti,Piti,b530738,es ESP,"FW,MF",Granada
8235.0,Riki,/en/players/ab21507f/Riki,Riki,b21507f,es ESP,FW,Granada
8236.0,Dimitri Foulquier,/en/players/45e17712/Dimitri-Foulquier,Dimitri-Foulqui,45e17712,fr FRA,"DF,MF",Granada
8237.0,Tiago Ilori,/en/players/a64b4786/Tiago-Ilori,Tiago-Ilori,64b4786,pt POR,DF,Granada
8238.0,Alexandre Coeff,/en/players/c4065f40/Alexandre-Coeff,Alexandre-Coeff,c4065f40,fr FRA,"DF,MF",Granada
8239.0,Orestis Karnezis,/en/players/85b011bb/Orestis-Karnezis,Orestis-Karnezi,85b011bb,gr GRE,GK,Granada
8240.0,Mohammed Fatau,/en/players/b4dd30a0/Mohammed-Fatau,Mohammed-Fatau,b4dd30a0,gh GHA,MF,Granada
8241.0,Álvaro García,/en/players/90bbd822/Alvaro-Garcia,Alvaro-Garci,90bbd822,es ESP,MF,Granada
8242.0,Christian Bravo,/en/players/28024156/Christian-Bravo,Christian-Bravo,28024156,cl CHI,"FW,MF",Granada
8243.0,Richard Boateng,/en/players/788acb37/Richard-Boateng,Richard-Boateng,788acb37,gh GHA,MF,Granada
8244.0,﻿Jean-Sylvain Babin,/en/players/ba998e22/Jean-Sylvain-Babin,Jean-Sylvain-Babi,ba998e22,mq MTQ,DF,Granada
8245.0,Jhon Córdoba,/en/players/9f381d8b/Jhon-Cordoba,Jhon-Cordob,9f381d8b,co COL,FW,Granada
8246.0,Javi Márquez,/en/players/40c7cdd2/Javi-Marquez,Javi-Marquez,40c7cdd2,es ESP,MF,Granada
8247.0,Juankar,/en/players/e9a12436/Juankar,Juank,9a12436,es ESP,"DF,FW",Granada
8248.0,Oier Olazábal,/en/players/b5bdf144/Oier-Olazabal,Oier-Olazab,b5bdf144,es ESP,GK,Granada
8249.0,Rubén Pérez,/en/players/3c7bc9bd/Ruben-Perez,Ruben-Perez,3c7bc9bd,es ESP,MF,Granada
8250.0,Rubén Rochina,/en/players/ecd8c01e/Ruben-Rochina,Ruben-Rochi,cd8c01e,es ESP,"FW,MF",Granada
8251.0,Robert Ibáñez,/en/players/c7429db3/Robert-Ibanez,Robert-Ibanez,c7429db3,es ESP,"FW,MF",Granada
8252.0,Emanuel Insúa,/en/players/792c7b94/Emanuel-Insua,Emanuel-Insu,792c7b94,ar ARG,DF,Granada
8253.0,Lass Bangoura,/en/players/740f39d4/Lass-Bangoura,Lass-Bangou,740f39d4,gn GUI,"FW,MF",Granada
8254.0,Abdoul Sissoko,/en/players/f7288611/Abdoul-Sissoko,Abdoul-Sissoko,f7288611,fr FRA,MF,Granada
8255.0,Isaac Success,/en/players/f573a8bf/Isaac-Success,Isaac-Succ,f573a8bf,ng NGA,"FW,MF",Granada
8256.0,Cala,/en/players/fe05804b/Cala,C,fe05804b,es ESP,DF,Granada
8257.0,Daniel Candeias,/en/players/0366fc78/Daniel-Candeias,Daniel-Candei,0366fc78,pt POR,"FW,MF",Granada
8258.0,Héctor Yuste,/en/players/f50a668a/Hector-Yuste,Hector-Yust,f50a668a,es ESP,"DF,MF",Granada
8259.0,Alfredo Ortuño,/en/players/b5077003/Alfredo-Ortuno,Alfredo-Ortuno,b5077003,es ESP,"DF,FW",Granada
8260.0,Eddy Silvestre,/en/players/15ac2dc2/Eddy-Silvestre,Eddy-Silvest,15ac2dc2,az AZE,MF,Granada
8261.0,Luís Martins,/en/players/56b7c09b/Luis-Martins,Luis-Marti,56b7c09b,pt POR,DF,Granada
8262.0,Stole Dimitrievski,/en/players/fc70e345/Stole-Dimitrievski,Stole-Dimitrievski,fc70e345,mk MKD,GK,Granada
8263.0,Sulayman Marreh,/en/players/44b49036/Sulayman-Marreh,Sulayman-Marreh,44b49036,gm GAM,"DF,MF",Granada
8264.0,Daniel Larsson,/en/players/43833b31/Daniel-Larsson,Daniel-Larsso,43833b31,se SWE,"FW,MF",Granada
8265.0,Uche Henry Agbo,/en/players/98554bfd/Uche-Henry-Agbo,Uche-Henry-Agbo,98554bfd,ng NGA,MF,Granada
8266.0,Marcelo Djaló,/en/players/2ba40342/Marcelo-Djalo,Marcelo-Djalo,2ba40342,gw GNB,DF,Granada
8267.0,Francisco Morante Martínez,/en/players/a528aa67/Francisco-Morante-Martinez,Francisco-Morante-Martinez,528aa67,es ESP,DF,Granada
8268.0,Dany Nounkeu,/en/players/819a94a2/Dany-Nounkeu,Dany-Nounkeu,819a94a2,cm CMR,DF,Granada
8269.0,﻿Andrés Fernández,/en/players/307fcd26/Andres-Fernandez,Andres-Fernandez,307fcd26,es ESP,GK,Granada
8270.0,Cristiano Biraghi,/en/players/9e1577aa/Cristiano-Biraghi,Cristiano-Biraghi,9e1577aa,it ITA,DF,Granada
8271.0,David Lombán,/en/players/b43b81f1/David-Lomban,David-Lomb,b43b81f1,es ESP,DF,Granada
8272.0,Miguel Lopes,/en/players/258b0d9b/Miguel-Lopes,Miguel-Lo,258b0d9b,pt POR,DF,Granada
8273.0,Adalberto Peñaranda,/en/players/4b3f2936/Adalberto-Penaranda,Adalberto-Penarand,4b3f2936,ve VEN,"FW,MF",Granada
8274.0,Rene Krhin,/en/players/9a506145/Rene-Krhin,Rene-Krhi,9a506145,si SVN,MF,Granada
8275.0,Ricardo Costa,/en/players/cd7325e1/Ricardo-Costa,Ricardo-Cost,cd7325e1,pt POR,DF,Granada
8276.0,Abdoulaye Doucouré,/en/players/02b29014/Abdoulaye-Doucoure,Abdoulaye-Doucou,02b29014,ml MLI,MF,Granada
8277.0,Isaac Cuenca,/en/players/24e9421b/Isaac-Cuenca,Isaac-Cuenc,24e9421b,es ESP,"MF,FW",Granada
8278.0,Édgar Méndez,/en/players/aed746df/Edgar-Mendez,Edgar-Mendez,d746df,es ESP,"MF,FW",Granada
8279.0,Dória,/en/players/d28b4a9d/Doria,Dori,d28b4a9d,br BRA,DF,Granada
8280.0,David Barral,/en/players/d99f9282/David-Barral,David-B,d99f9282,es ESP,FW,Granada
8281.0,Nicolás López,/en/players/8d2ee5e2/Nicolas-Lopez,Nicolas-Lopez,8d2ee5e2,uy URU,MF,Granada
8282.0,Salva Ruiz,/en/players/e36f9794/Salva-Ruiz,Salva-Ruiz,36f9794,es ESP,DF,Granada
8283.0,Thievy Bifouma,/en/players/5978dc3c/Thievy-Bifouma,Thievy-Bifoum,5978dc3c,cg CGO,"FW,MF",Granada
8284.0,Ivan Kelava,/en/players/fc188b82/Ivan-Kelava,Ivan-Kelav,fc188b82,hr CRO,GK,Granada
8285.0,Neuton,/en/players/274e3e73/Neuton,Neuto,274e3e73,br BRA,DF,Granada
8286.0,﻿Guillermo Ochoa,/en/players/1e9bde92/Guillermo-Ochoa,Guillermo-Ocho,1e9bde92,mx MEX,GK,Granada
8287.0,Andreas Pereira,/en/players/6639e500/Andreas-Pereira,Andreas-Perei,6639e500,br BRA,MF,Granada
8288.0,Mehdi Carcela,/en/players/dc415e39/Mehdi-Carcela,Mehdi-Carc,dc415e39,ma MAR,"MF,FW",Granada
8289.0,Gastón Silva,/en/players/47d493c3/Gaston-Silva,Gaston-Silv,47d493c3,uy URU,DF,Granada
8290.0,Rúben Vezo,/en/players/c67cd65c/Ruben-Vezo,Ruben-Vezo,c67cd65c,pt POR,DF,Granada
8291.0,Sverrir Ingi Ingason,/en/players/3c93b9f0/Sverrir-Ingi-Ingason,Sverrir-Ingi-Ingaso,3c93b9f0,is ISL,DF,Granada
8292.0,Artem Kravets,/en/players/0b5b8057/Artem-Kravets,Artem-Kravet,0b5b8057,ua UKR,FW,Granada
8293.0,Jeremie Boga,/en/players/fe012aca/Jeremie-Boga,Jeremie-Bog,fe012aca,ci CIV,"MF,FW",Granada
8294.0,Sergi Samper,/en/players/6a7586f4/Sergi-Samper,Sergi-Sam,6a7586f4,es ESP,MF,Granada
8295.0,Adrián Ramos,/en/players/c693cf7c/Adrian-Ramos,Adrian-Ramo,c693cf7c,co COL,FW,Granada
8296.0,Tito,/en/players/7cefa219/Tito,Tito,7cefa219,es ESP,DF,Granada
8297.0,Gabriel Silva,/en/players/4914ed4a/Gabriel-Silva,Gabriel-Silv,4914ed4a,br BRA,DF,Granada
8298.0,Héctor Hernández,/en/players/76ee80ee/Hector-Hernandez,Hector-Hernandez,76ee80ee,es ESP,"DF,MF",Granada
8299.0,Ezequiel Ponce,/en/players/ccbbe661/Ezequiel-Ponce,Ezequiel-Ponc,ccbbe661,ar ARG,FW,Granada
8300.0,Wakaso,/en/players/999908af/Wakaso,Wakaso,999908af,gh GHA,"MF,FW",Granada
8301.0,Martin Hongla,/en/players/b85bf253/Martin-Hongla,Martin-Hong,b85bf253,cm CMR,"DF,MF",Granada
8302.0,Victorien Angban,/en/players/d8992b84/Victorien-Angban,Victorien-Angb,d8992b84,ci CIV,MF,Granada
8303.0,Aly Mallé,/en/players/c50db9b5/Aly-Malle,Aly-M,c50db9b5,ml MLI,"MF,FW",Granada
8304.0,Franck Tabanou,/en/players/15e1afd5/Franck-Tabanou,Franck-Tabanou,15e1afd5,fr FRA,DF,Granada
8305.0,Alberto Bueno,/en/players/9b878773/Alberto-Bueno,Alberto-Bueno,9b878773,es ESP,MF,Granada
8306.0,Jon Toral,/en/players/8a0ca41d/Jon-Toral,Jon-To,8a0ca41d,es ESP,MF,Granada
8307.0,Omer Atzili,/en/players/92fffd91/Omer-Atzili,Omer-Atzili,92fffd91,il ISR,MF,Granada
8308.0,Pervis Estupiñán,/en/players/d38fdf53/Pervis-Estupinan,Pervis-Estupi,d38fdf53,ec ECU,DF,Granada
8309.0,Panagiotis Kone,/en/players/27d34558/Panagiotis-Kone,Panagiotis-Ko,27d34558,gr GRE,MF,Granada
8310.0,Jean Carlos Silva Rocha,/en/players/01d00f38/Jean-Carlos-Silva-Rocha,Jean-Carlos-Silva-Roch,01d00f38,br BRA,"FW,MF",Granada
8311.0,Sergi Guardiola,/en/players/32974271/Sergi-Guardiola,Sergi-Guardio,32974271,es ESP,"FW,MF",Granada
8312.0,Rui Silva,/en/players/ea83bfa6/Rui-Silva,Rui-Silv,83bfa6,pt POR,GK,Granada
8313.0,﻿Álex Martínez,/en/players/e1c805cf/Alex-Martinez,Alex-Martinez,1c805cf,es ESP,DF,Granada
8314.0,Javi Varas,/en/players/6db3da37/Javi-Varas,Javi-V,6db3da37,es ESP,GK,Granada
8315.0,Víctor Díaz,/en/players/3624ce4c/Victor-Diaz,Victor-Diaz,3624ce4c,es ESP,DF,Granada
8316.0,Pedro,/en/players/eb642c79/Pedro,Pedro,b642c79,es ESP,MF,Granada
8317.0,Chico,/en/players/95825cf2/Chico,Chico,95825cf2,es ESP,DF,Granada
8318.0,Matthieu Saunier,/en/players/fa4e0908/Matthieu-Saunier,Matthieu-Sauni,fa4e0908,fr FRA,DF,Granada
8319.0,Pierre Kunde,/en/players/9ceb7642/Pierre-Kunde,Pierre-Kund,9ceb7642,cm CMR,MF,Granada
8320.0,Ángel Montoro,/en/players/719384c1/Angel-Montoro,Angel-Montoro,719384c1,es ESP,MF,Granada
8321.0,Joselu,/en/players/a5e9c273/Joselu,Joselu,5e9c273,es ESP,FW,Granada
