2002-2003,Bundesliga
Rk,Club,Mp,W,D,L,Pts
﻿1,Bayern Munich,34,23,6,5,75
2,Stuttgart,34,17,8,9,59
3,Dortmund,34,15,13,6,58
4,Hamburger SV,34,15,11,8,56
5,Hertha BSC,34,16,6,12,54
6,Werder Bremen,34,16,4,14,52
7,Schalke 04,34,12,13,9,49
8,Wolfsburg,34,13,7,14,46
9,Bochum,34,12,9,13,45
10,1860 Munich,34,12,9,13,45
11,Hannover 96,34,12,7,15,43
12,M'Gladbach,34,11,9,14,42
13,Hansa Rostock,34,11,8,15,41
14,Kaiserslautern,34,10,10,14,40
15,Leverkusen,34,11,7,16,40
16,Arminia,34,8,12,14,36
17,Nürnberg,34,8,6,20,30
18,Energie Cottbus,34,7,9,18,30
