2004-2005,Bundesliga
Rk,Club,Mp,W,D,L,Pts
﻿1,Bayern Munich,34,24,5,5,77
2,Schalke 04,34,20,3,11,63
3,Werder Bremen,34,18,5,11,59
4,Hertha BSC,34,15,13,6,58
5,Stuttgart,34,17,7,10,58
6,Leverkusen,34,16,9,9,57
7,Dortmund,34,15,10,9,55
8,Hamburger SV,34,16,3,15,51
9,Wolfsburg,34,15,3,16,48
10,Hannover 96,34,13,6,15,45
11,Mainz 05,34,12,7,15,43
12,Kaiserslautern,34,12,6,16,42
13,Arminia,34,11,7,16,40
14,Nürnberg,34,10,8,16,38
15,M'Gladbach,34,8,12,14,36
16,Bochum,34,9,8,17,35
17,Hansa Rostock,34,7,9,18,30
18,Freiburg,34,3,9,22,18
