2011-2012,Bundesliga
Rk,Club,Mp,W,D,L,Pts
﻿1,Dortmund,34,25,6,3,81
2,Bayern Munich,34,23,4,7,73
3,Schalke 04,34,20,4,10,64
4,M'Gladbach,34,17,9,8,60
5,Leverkusen,34,15,9,10,54
6,Stuttgart,34,15,8,11,53
7,Hannover 96,34,12,12,10,48
8,Wolfsburg,34,13,5,16,44
9,Werder Bremen,34,11,9,14,42
10,Nürnberg,34,12,6,16,42
11,Hoffenheim,34,10,11,13,41
12,Freiburg,34,10,10,14,40
13,Mainz 05,34,9,12,13,39
14,Augsburg,34,8,14,12,38
15,Hamburger SV,34,8,12,14,36
16,Hertha BSC,34,7,10,17,31
17,Köln,34,8,6,20,30
18,Kaiserslautern,34,4,11,19,23
