2009-2010,Bundesliga
Rk,Club,Mp,W,D,L,Pts
﻿1,Bayern Munich,34,20,10,4,70
2,Schalke 04,34,19,8,7,65
3,Werder Bremen,34,17,10,7,61
4,Leverkusen,34,15,14,5,59
5,Dortmund,34,16,9,9,57
6,Stuttgart,34,15,10,9,55
7,Hamburger SV,34,13,13,8,52
8,Wolfsburg,34,14,8,12,50
9,Mainz 05,34,12,11,11,47
10,Eint Frankfurt,34,12,10,12,46
11,Hoffenheim,34,11,9,14,42
12,M'Gladbach,34,10,9,15,39
13,Köln,34,9,11,14,38
14,Freiburg,34,9,8,17,35
15,Hannover 96,34,9,6,19,33
16,Nürnberg,34,8,7,19,31
17,Bochum,34,6,10,18,28
18,Hertha BSC,34,5,9,20,24
