2015-2016,Bundesliga
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Bayern Munich,34,28,4,2,88,squads/054efa67/Bayern-Munich-Stats,054efa67,Bayern-Munich
2,Dortmund,34,24,6,4,78,squads/add600ae/Dortmund-Stats,add600ae,Dortmund
3,Leverkusen,34,18,6,10,60,squads/c7a9f859/Bayer-Leverkusen-Stats,c7a9f859,Bayer-Leverkusen
4,M'Gladbach,34,17,4,13,55,squads/32f3ee20/Monchengladbach-Stats,32f3ee20,Monchengladbach
5,Schalke 04,34,15,7,12,52,squads/c539e393/Schalke-04-Stats,c539e393,Schalke-04
6,Mainz 05,34,14,8,12,50,squads/a224b06a/Mainz-05-Stats,a224b06a,Mainz-05
7,Hertha BSC,34,14,8,12,50,squads/2818f8bc/Hertha-BSC-Stats,2818f8bc,Hertha-BSC
8,Wolfsburg,34,12,9,13,45,squads/4eaa11d7/Wolfsburg-Stats,4eaa11d7,Wolfsburg
9,Köln,34,10,13,11,43,squads/bc357bf7/Koln-Stats,bc357bf7,Koln
10,Hamburger SV,34,11,8,15,41,squads/26790c6a/Hamburger-SV-Stats,26790c6a,Hamburger-SV
11,Ingolstadt 04,34,10,10,14,40,squads/12eb2039/Ingolstadt-04-Stats,12eb2039,Ingolstadt-04
12,Augsburg,34,9,11,14,38,squads/0cdc4311/Augsburg-Stats,0cdc4311,Augsburg
13,Werder Bremen,34,10,8,16,38,squads/62add3bf/Werder-Bremen-Stats,62add3bf,Werder-Bremen
14,Darmstadt 98,34,9,11,14,38,squads/6a6967fc/Darmstadt-98-Stats,6a6967fc,Darmstadt-98
15,Hoffenheim,34,9,10,15,37,squads/033ea6b8/Hoffenheim-Stats,033ea6b8,Hoffenheim
16,Eint Frankfurt,34,9,9,16,36,squads/f0ac8ee6/Eintracht-Frankfurt-Stats,f0ac8ee6,Eintracht-Frankfurt
17,Stuttgart,34,9,6,19,33,squads/598bc722/Stuttgart-Stats,598bc722,Stuttgart
18,Hannover 96,34,7,4,23,25,squads/60b5e41f/Hannover-96-Stats,60b5e41f,Hannover-96
