2021-2022,Bundesliga
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Bayern Munich,34,24,5,5,77,squads/054efa67/Bayern-Munich-Stats,054efa67,Bayern-Munich
2,Dortmund,34,22,3,9,69,squads/add600ae/Dortmund-Stats,add600ae,Dortmund
3,Leverkusen,34,19,7,8,64,squads/c7a9f859/Bayer-Leverkusen-Stats,c7a9f859,Bayer-Leverkusen
4,RB Leipzig,34,17,7,10,58,squads/acbb6a5b/RB-Leipzig-Stats,acbb6a5b,RB-Leipzig
5,Union Berlin,34,16,9,9,57,squads/7a41008f/Union-Berlin-Stats,7a41008f,Union-Berlin
6,Freiburg,34,15,10,9,55,squads/a486e511/Freiburg-Stats,a486e511,Freiburg
7,Köln,34,14,10,10,52,squads/bc357bf7/Koln-Stats,bc357bf7,Koln
8,Mainz 05,34,13,7,14,46,squads/a224b06a/Mainz-05-Stats,a224b06a,Mainz-05
9,Hoffenheim,34,13,7,14,46,squads/033ea6b8/Hoffenheim-Stats,033ea6b8,Hoffenheim
10,M'Gladbach,34,12,9,13,45,squads/32f3ee20/Monchengladbach-Stats,32f3ee20,Monchengladbach
11,Eint Frankfurt,34,10,12,12,42,squads/f0ac8ee6/Eintracht-Frankfurt-Stats,f0ac8ee6,Eintracht-Frankfurt
12,Wolfsburg,34,12,6,16,42,squads/4eaa11d7/Wolfsburg-Stats,4eaa11d7,Wolfsburg
13,Bochum,34,12,6,16,42,squads/b42c6323/Bochum-Stats,b42c6323,Bochum
14,Augsburg,34,10,8,16,38,squads/0cdc4311/Augsburg-Stats,0cdc4311,Augsburg
15,Stuttgart,34,7,12,15,33,squads/598bc722/Stuttgart-Stats,598bc722,Stuttgart
16,Hertha BSC,34,9,6,19,33,squads/2818f8bc/Hertha-BSC-Stats,2818f8bc,Hertha-BSC
17,Arminia,34,5,13,16,28,squads/247c4b67/Arminia-Stats,247c4b67,Arminia
18,Greuther Fürth,34,3,9,22,18,squads/12192a4c/Greuther-Furth-Stats,12192a4c,Greuther-Furth
