Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
761,1,38,19,11,8,68,2002-2003,78,2
762,2,38,19,10,9,67,2002-2003,79,2
763,3,38,19,8,11,65,2002-2003,80,2
764,4,38,18,10,10,64,2002-2003,81,2
765,5,38,17,13,8,64,2002-2003,82,2
766,6,38,18,10,10,64,2002-2003,83,2
767,7,38,19,5,14,62,2002-2003,84,2
768,8,38,14,15,9,57,2002-2003,85,2
769,9,38,16,8,14,56,2002-2003,86,2
770,10,38,13,16,9,55,2002-2003,87,2
771,11,38,14,12,12,54,2002-2003,88,2
772,12,38,12,11,15,47,2002-2003,89,2
773,13,38,11,12,15,45,2002-2003,90,2
774,14,38,10,12,16,42,2002-2003,91,2
775,15,38,10,10,18,40,2002-2003,92,2
776,16,38,10,10,18,40,2002-2003,93,2
777,17,38,9,12,17,39,2002-2003,94,2
778,18,38,10,8,20,38,2002-2003,95,2
779,19,38,9,9,20,36,2002-2003,96,2
780,20,38,7,10,21,31,2002-2003,97,2
781,1,38,24,7,7,79,2003-2004,78,2
782,2,38,22,10,6,76,2003-2004,88,2
783,3,38,21,12,5,75,2003-2004,79,2
784,4,38,19,8,11,65,2003-2004,83,2
785,5,38,18,9,11,63,2003-2004,82,2
786,6,38,17,9,12,60,2003-2004,86,2
787,7,38,17,6,15,57,2003-2004,80,2
788,8,38,15,8,15,53,2003-2004,85,2
789,9,38,14,10,14,52,2003-2004,92,2
790,10,38,14,9,15,51,2003-2004,91,2
791,11,38,11,17,10,50,2003-2004,87,2
792,12,38,13,11,14,50,2003-2004,81,2
793,13,38,10,13,15,43,2003-2004,90,2
794,14,38,11,9,18,42,2003-2004,98,2
795,15,38,10,10,18,40,2003-2004,94,2
796,16,38,9,12,17,39,2003-2004,99,2
797,17,38,9,12,17,39,2003-2004,89,2
798,18,38,10,8,20,38,2003-2004,84,2
799,19,38,9,11,18,38,2003-2004,100,2
800,20,38,8,7,23,31,2003-2004,93,2
801,1,38,22,13,3,79,2004-2005,78,2
802,2,38,18,13,7,67,2004-2005,91,2
803,3,38,15,18,5,63,2004-2005,79,2
804,4,38,15,10,13,55,2004-2005,92,2
805,5,38,15,10,13,55,2004-2005,80,2
806,6,38,12,17,9,53,2004-2005,101,2
807,7,38,13,13,12,52,2004-2005,85,2
808,8,38,14,10,14,52,2004-2005,83,2
809,9,38,12,15,11,51,2004-2005,88,2
810,10,38,13,11,14,50,2004-2005,82,2
811,11,38,12,12,14,48,2004-2005,90,2
812,12,38,10,16,12,46,2004-2005,87,2
813,13,38,12,10,16,46,2004-2005,99,2
814,14,38,10,15,13,45,2004-2005,94,2
815,15,38,8,20,10,44,2004-2005,81,2
816,16,38,10,14,14,44,2004-2005,98,2
817,17,38,10,13,15,43,2004-2005,86,2
818,18,38,10,12,16,42,2004-2005,102,2
819,19,38,11,8,19,41,2004-2005,89,2
820,20,38,6,14,18,32,2004-2005,103,2
821,1,38,25,9,4,84,2005-2006,78,2
822,2,38,18,15,5,69,2005-2006,81,2
823,3,38,16,14,8,62,2005-2006,91,2
824,4,38,14,18,6,60,2005-2006,85,2
825,5,38,16,12,10,60,2005-2006,80,2
826,6,38,17,8,13,59,2005-2006,83,2
827,7,38,18,5,15,59,2005-2006,92,2
828,8,38,16,10,12,58,2005-2006,87,2
829,9,38,13,13,12,52,2005-2006,88,2
830,10,38,13,13,12,52,2005-2006,79,2
831,11,38,13,13,12,52,2005-2006,100,2
832,12,38,12,12,14,48,2005-2006,104,2
833,13,38,11,14,13,47,2005-2006,101,2
834,14,38,11,12,15,45,2005-2006,86,2
835,15,38,11,11,16,44,2005-2006,82,2
836,16,38,10,11,17,41,2005-2006,99,2
837,17,38,9,12,17,39,2005-2006,97,2
838,18,38,8,9,21,33,2005-2006,94,2
839,19,38,5,14,19,29,2005-2006,90,2
840,20,38,6,11,21,29,2005-2006,98,2
841,1,38,24,9,5,81,2006-2007,78,2
842,2,38,19,7,12,64,2006-2007,80,2
843,3,38,17,7,14,58,2006-2007,99,2
844,4,38,14,15,9,57,2006-2007,92,2
845,5,38,15,12,11,57,2006-2007,85,2
846,6,38,16,9,13,57,2006-2007,81,2
847,7,38,15,12,11,57,2006-2007,82,2
848,8,38,13,15,10,54,2006-2007,83,2
849,9,38,13,12,13,51,2006-2007,79,2
850,10,38,13,11,14,50,2006-2007,91,2
851,11,38,14,7,17,49,2006-2007,101,2
852,12,38,11,16,11,49,2006-2007,100,2
853,13,38,13,10,15,49,2006-2007,104,2
854,14,38,12,13,13,49,2006-2007,105,2
855,15,38,12,12,14,48,2006-2007,88,2
856,16,38,9,16,13,43,2006-2007,87,2
857,17,38,11,10,17,43,2006-2007,106,2
858,18,38,9,12,17,39,2006-2007,97,2
859,19,38,7,14,17,35,2006-2007,96,2
860,20,38,7,13,18,34,2006-2007,86,2
861,1,38,24,7,7,79,2007-2008,78,2
862,2,38,22,9,7,75,2007-2008,81,2
863,3,38,17,11,10,62,2007-2008,80,2
864,4,38,15,15,8,60,2007-2008,104,2
865,5,38,16,10,12,58,2007-2008,101,2
866,6,38,16,10,12,58,2007-2008,92,2
867,7,38,13,18,7,57,2007-2008,91,2
868,8,38,13,16,9,55,2007-2008,87,2
869,9,38,14,11,13,53,2007-2008,100,2
870,10,38,12,16,10,52,2007-2008,105,2
871,11,38,13,12,13,51,2007-2008,102,2
872,12,38,13,8,17,47,2007-2008,79,2
873,13,38,12,9,17,45,2007-2008,106,2
874,14,38,10,14,14,44,2007-2008,82,2
875,15,38,12,8,18,44,2007-2008,83,2
876,16,38,10,13,15,43,2007-2008,88,2
877,17,38,9,15,14,42,2007-2008,99,2
878,18,38,9,13,16,40,2007-2008,85,2
879,19,38,9,8,21,35,2007-2008,90,2
880,20,38,5,9,24,24,2007-2008,98,2
881,1,38,24,8,6,80,2008-2009,81,2
882,2,38,22,11,5,77,2008-2009,80,2
883,3,38,20,11,7,71,2008-2009,78,2
884,4,38,16,16,6,64,2008-2009,99,2
885,5,38,17,13,8,64,2008-2009,91,2
886,6,38,19,7,12,64,2008-2009,88,2
887,7,38,15,16,7,61,2008-2009,92,2
888,8,38,16,7,15,55,2008-2009,83,2
889,9,38,13,11,14,50,2008-2009,87,2
890,10,38,10,15,13,45,2008-2009,105,2
891,11,38,11,12,15,45,2008-2009,79,2
892,12,38,10,14,14,44,2008-2009,106,2
893,13,38,10,14,14,44,2008-2009,107,2
894,14,38,10,12,16,42,2008-2009,82,2
895,15,38,10,12,16,42,2008-2009,104,2
