Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
361,1,38,22,12,4,78,2002-2003,37,4
362,2,38,22,10,6,76,2002-2003,38,4
363,3,38,22,6,10,72,2002-2003,39,4
364,4,38,17,10,11,61,2002-2003,40,4
365,5,38,17,9,12,60,2002-2003,41,4
366,6,38,15,11,12,56,2002-2003,42,4
367,7,38,15,10,13,55,2002-2003,43,4
368,8,38,14,12,12,54,2002-2003,44,4
369,9,38,14,10,14,52,2002-2003,45,4
370,10,38,13,11,14,50,2002-2003,46,4
371,11,38,12,11,15,47,2002-2003,47,4
372,12,38,12,11,15,47,2002-2003,48,4
373,13,38,11,13,14,46,2002-2003,49,4
374,14,38,12,10,16,46,2002-2003,50,4
375,15,38,11,12,15,45,2002-2003,51,4
376,16,38,13,5,20,44,2002-2003,52,4
377,17,38,10,13,15,43,2002-2003,53,4
378,18,38,8,12,18,36,2002-2003,54,4
379,19,38,8,11,19,35,2002-2003,55,4
380,20,38,7,11,20,32,2002-2003,56,4
381,1,38,23,8,7,77,2003-2004,41,4
382,2,38,21,9,8,72,2003-2004,42,4
383,3,38,21,8,9,71,2003-2004,39,4
384,4,38,21,7,10,70,2003-2004,37,4
385,5,38,15,11,12,56,2003-2004,43,4
386,6,38,15,10,13,55,2003-2004,46,4
387,7,38,15,10,13,55,2003-2004,48,4
388,8,38,15,9,14,54,2003-2004,51,4
389,9,38,13,13,12,52,2003-2004,44,4
390,10,38,15,6,17,51,2003-2004,49,4
391,11,38,15,6,17,51,2003-2004,45,4
392,12,38,13,9,16,48,2003-2004,57,4
393,13,38,11,15,12,48,2003-2004,47,4
394,14,38,13,8,17,47,2003-2004,58,4
395,15,38,11,13,14,46,2003-2004,38,4
396,16,38,13,4,21,43,2003-2004,53,4
397,17,38,11,10,17,43,2003-2004,52,4
398,18,38,10,11,17,41,2003-2004,50,4
399,19,38,9,12,17,39,2003-2004,40,4
400,20,38,5,11,22,26,2003-2004,59,4
401,1,38,25,9,4,84,2004-2005,42,4
402,2,38,25,5,8,80,2004-2005,37,4
403,3,38,18,11,9,65,2004-2005,51,4
404,4,38,16,14,8,62,2004-2005,44,4
405,5,38,17,10,11,61,2004-2005,53,4
406,6,38,17,9,12,60,2004-2005,46,4
407,7,38,14,16,8,58,2004-2005,41,4
408,8,38,14,9,15,51,2004-2005,43,4
409,9,38,12,15,11,51,2004-2005,39,4
410,10,38,15,6,17,51,2004-2005,49,4
411,11,38,13,11,14,50,2004-2005,48,4
412,12,38,14,8,16,50,2004-2005,57,4
413,13,38,12,11,15,47,2004-2005,60,4
414,14,38,13,8,17,47,2004-2005,38,4
