Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
1,1,34,23,6,5,75,2002-2003,1,3
2,2,34,17,8,9,59,2002-2003,2,3
3,3,34,15,13,6,58,2002-2003,3,3
4,4,34,15,11,8,56,2002-2003,4,3
5,5,34,16,6,12,54,2002-2003,5,3
6,6,34,16,4,14,52,2002-2003,6,3
7,7,34,12,13,9,49,2002-2003,7,3
8,8,34,13,7,14,46,2002-2003,8,3
9,9,34,12,9,13,45,2002-2003,9,3
10,10,34,12,9,13,45,2002-2003,10,3
11,11,34,12,7,15,43,2002-2003,11,3
12,12,34,11,9,14,42,2002-2003,12,3
13,13,34,11,8,15,41,2002-2003,13,3
14,14,34,10,10,14,40,2002-2003,14,3
15,15,34,11,7,16,40,2002-2003,15,3
16,16,34,8,12,14,36,2002-2003,16,3
17,17,34,8,6,20,30,2002-2003,17,3
18,18,34,7,9,18,30,2002-2003,18,3
19,1,34,22,8,4,74,2003-2004,6,3
20,2,34,20,8,6,68,2003-2004,1,3
21,3,34,19,8,7,65,2003-2004,15,3
22,4,34,18,10,6,64,2003-2004,2,3
23,5,34,15,11,8,56,2003-2004,9,3
24,6,34,16,7,11,55,2003-2004,3,3
25,7,34,13,11,10,50,2003-2004,7,3
26,8,34,14,7,13,49,2003-2004,4,3
27,9,34,12,8,14,44,2003-2004,13,3
28,10,34,13,3,18,42,2003-2004,8,3
29,11,34,10,9,15,39,2003-2004,12,3
30,12,34,9,12,13,39,2003-2004,5,3
31,13,34,10,8,16,38,2003-2004,19,3
32,14,34,9,10,15,37,2003-2004,11,3
33,15,34,11,6,17,36,2003-2004,14,3
34,16,34,9,5,20,32,2003-2004,20,3
35,17,34,8,8,18,32,2003-2004,10,3
36,18,34,6,5,23,23,2003-2004,21,3
37,1,34,24,5,5,77,2004-2005,1,3
38,2,34,20,3,11,63,2004-2005,7,3
39,3,34,18,5,11,59,2004-2005,6,3
40,4,34,15,13,6,58,2004-2005,5,3
41,5,34,17,7,10,58,2004-2005,2,3
42,6,34,16,9,9,57,2004-2005,15,3
43,7,34,15,10,9,55,2004-2005,3,3
44,8,34,16,3,15,51,2004-2005,4,3
45,9,34,15,3,16,48,2004-2005,8,3
46,10,34,13,6,15,45,2004-2005,11,3
47,11,34,12,7,15,43,2004-2005,22,3
48,12,34,12,6,16,42,2004-2005,14,3
49,13,34,11,7,16,40,2004-2005,16,3
50,14,34,10,8,16,38,2004-2005,17,3
51,15,34,8,12,14,36,2004-2005,12,3
52,16,34,9,8,17,35,2004-2005,9,3
53,17,34,7,9,18,30,2004-2005,13,3
54,18,34,3,9,22,18,2004-2005,19,3
55,1,34,22,9,3,75,2005-2006,1,3
