,Player,Link,Player_id,Player_name,Nationality,Position
55,Sergio Peter,/en/players/194b19f0/Sergio-Peter,194b19f0,Sergio-Pet,de GER,MF
56,Benni McCarthy,/en/players/a6f401c6/Benni-McCarthy,6f401c6,Benni-McCarth,za RSA,FW
57,André Ooijer,/en/players/49fd46a1/Andre-Ooijer,49fd46a1,Andre-Ooij,nl NED,DF
58,Shabani Nonda,/en/players/a0d7482c/Shabani-Nonda,0d7482c,Shabani-Nond,cd COD,FW
59,Stephen Warnock,/en/players/07869028/Stephen-Warnock,07869028,Stephen-Warnock,eng ENG,DF
60,Stéphane Henchoz,/en/players/17476497/Stephane-Henchoz,17476497,Stephane-Henchoz,ch SUI,DF
61,Jason Roberts,/en/players/62487637/Jason-Roberts,62487637,Jason-Robert,gd GRN,FW
62,Francis Jeffers,/en/players/21b2c885/Francis-Jeffers,21b2c885,Francis-Jeff,eng ENG,FW
63,Bruno Berner,/en/players/a85d700b/Bruno-Berner,85d700b,Bruno-B,ch SUI,"DF,MF"
64,Jason Brown,/en/players/02bc5b92/Jason-Brown,02bc5b92,Jason-Brow,wls WAL,GK
65,Roque Santa Cruz,/en/players/7f2107eb/Roque-Santa-Cruz,7f2107eb,Roque-Santa-Cruz,py PAR,FW
66,Christopher Samba,/en/players/e43cada1/Christopher-Samba,43cada1,Christopher-Samb,cg CGO,DF
67,Johann Vogel,/en/players/6b002e31/Johann-Vogel,6b002e31,Johann-Vog,ch SUI,MF
68,Martin Olsson,/en/players/2f72f79e/Martin-Olsson,2f72f79e,Martin-Olsso,se SWE,"DF,MF"
69,Maceo Rigters,/en/players/edc626e2/Maceo-Rigters,dc626e2,Maceo-Rigt,nl NED,FW
70,Paul Robinson,/en/players/3515ba56/Paul-Robinson,3515ba56,Paul-Robinso,eng ENG,GK
71,Keith Andrews,/en/players/5bca867f/Keith-Andrews,5bca867f,Keith-Andrew,ie IRL,MF
72,Vince Grella,/en/players/db61f587/Vince-Grella,db61f587,Vince-G,au AUS,MF
73,Gaël Givet,/en/players/6d28f149/Gael-Givet,6d28f149,Gael-Givet,fr FRA,DF
74,El Hadji Diouf,/en/players/1a4542c8/El-Hadji-Diouf,1a4542c8,El-Hadji-Diouf,sn SEN,"FW,MF"
75,Danny Simpson,/en/players/3201b03d/Danny-Simpson,3201b03d,Danny-Simpso,eng ENG,DF
76,Carlos Villanueva,/en/players/ff4e7684/Carlos-Villanueva,ff4e7684,Carlos-Villanuev,cl CHI,"FW,MF"
77,Robbie Fowler,/en/players/7cd34266/Robbie-Fowler,7cd34266,Robbie-Fow,eng ENG,FW
78,Aaron Doran,/en/players/edb7a79f/Aaron-Doran,db7a79f,Aaron-Do,ie IRL,MF
79,Steven Nzonzi,/en/players/c7526c18/Steven-Nzonzi,c7526c18,Steven-Nzonzi,fr FRA,MF
80,Pascal Chimbonda,/en/players/5cbb464e/Pascal-Chimbonda,5cbb464e,Pascal-Chimbond,fr FRA,DF
81,Míchel Salgado,/en/players/68f36bc6/Michel-Salgado,68f36bc6,Michel-Salgado,es ESP,DF
82,Franco Di Santo,/en/players/549c6ba7/Franco-Di-Santo,549c6ba7,Franco-Di-Santo,ar ARG,FW
83,Nikola Kalinić,/en/players/d4931a5a/Nikola-Kalinic,d4931a5a,Nikola-Kalinic,hr CRO,FW
84,Lars Jacobsen,/en/players/bef72e41/Lars-Jacobsen,bef72e41,Lars-Jacob,dk DEN,DF
85,Junior Hoilett,/en/players/33af5b9e/Junior-Hoilett,33af5b9e,Junior-Hoilett,ca CAN,"FW,MF"
86,Phil Jones,/en/players/def899bd/Phil-Jones,def899bd,Phil-Jo,eng ENG,"DF,MF"
87,Grant Hanley,/en/players/e9254eec/Grant-Hanley,9254eec,Grant-H,sct SCO,DF
88,Yıldıray Baştürk,/en/players/5d31c998/Yildiray-Basturk,5d31c998,Yildiray-Basturk,tr TUR,MF
89,Amine Linganzi,/en/players/e465378c/Amine-Linganzi,465378c,Amine-Linganzi,cg CGO,MF
90,Mame Biram Diouf,/en/players/7f4f3e49/Mame-Biram-Diouf,7f4f3e49,Mame-Biram-Diouf,sn SEN,"FW,MF"
91,Jermaine Jones,/en/players/0c577541/Jermaine-Jones,0c577541,Jermaine-Jo,us USA,MF
92,Benjani Mwaruwari,/en/players/9fc277ee/Benjani-Mwaruwari,9fc277ee,Benjani-Mwaruwari,zw ZIM,FW
93,Mark Bunn,/en/players/a6738b6c/Mark-Bunn,6738b6c,Mark-Bu,eng ENG,GK
94,Rubén Rochina,/en/players/ecd8c01e/Ruben-Rochina,cd8c01e,Ruben-Rochi,es ESP,"FW,MF"
