2015-2016,Premier-League
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Leicester City,38,23,12,3,81,squads/a2d435b3/Leicester-City-Stats,a2d435b3,Leicester-City
2,Arsenal,38,20,11,7,71,squads/18bb7c10/Arsenal-Stats,18bb7c10,Arsenal
3,Tottenham,38,19,13,6,70,squads/361ca564/Tottenham-Hotspur-Stats,361ca564,Tottenham-Hotspur
4,Manchester City,38,19,9,10,66,squads/b8fd03ef/Manchester-City-Stats,b8fd03ef,Manchester-City
5,Manchester Utd,38,19,9,10,66,squads/19538871/Manchester-United-Stats,19538871,Manchester-United
6,Southampton,38,18,9,11,63,squads/33c895d4/Southampton-Stats,33c895d4,Southampton
7,West Ham,38,16,14,8,62,squads/7c21e445/West-Ham-United-Stats,7c21e445,West-Ham-United
8,Liverpool,38,16,12,10,60,squads/822bd0ba/Liverpool-Stats,822bd0ba,Liverpool
9,Stoke City,38,14,9,15,51,squads/17892952/Stoke-City-Stats,17892952,Stoke-City
10,Chelsea,38,12,14,12,50,squads/cff3d9bb/Chelsea-Stats,cff3d9bb,Chelsea
11,Everton,38,11,14,13,47,squads/d3fd31cc/Everton-Stats,d3fd31cc,Everton
12,Swansea City,38,12,11,15,47,squads/fb10988f/Swansea-City-Stats,fb10988f,Swansea-City
13,Watford,38,12,9,17,45,squads/2abfe087/Watford-Stats,2abfe087,Watford
14,West Brom,38,10,13,15,43,squads/60c6b05f/West-Bromwich-Albion-Stats,60c6b05f,West-Bromwich-Albion
15,Crystal Palace,38,11,9,18,42,squads/47c64c55/Crystal-Palace-Stats,47c64c55,Crystal-Palace
16,Bournemouth,38,11,9,18,42,squads/4ba7cbea/Bournemouth-Stats,4ba7cbea,Bournemouth
17,Sunderland,38,9,12,17,39,squads/8ef52968/Sunderland-Stats,8ef52968,Sunderland
18,Newcastle Utd,38,9,10,19,37,squads/b2b47a98/Newcastle-United-Stats,b2b47a98,Newcastle-United
19,Norwich City,38,9,7,22,34,squads/1c781004/Norwich-City-Stats,1c781004,Norwich-City
20,Aston Villa,38,3,8,27,17,squads/8602292d/Aston-Villa-Stats,8602292d,Aston-Villa
