2018-2019,Premier-League
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Manchester City,38,32,2,4,98,squads/b8fd03ef/Manchester-City-Stats,b8fd03ef,Manchester-City
2,Liverpool,38,30,7,1,97,squads/822bd0ba/Liverpool-Stats,822bd0ba,Liverpool
3,Chelsea,38,21,9,8,72,squads/cff3d9bb/Chelsea-Stats,cff3d9bb,Chelsea
4,Tottenham,38,23,2,13,71,squads/361ca564/Tottenham-Hotspur-Stats,361ca564,Tottenham-Hotspur
5,Arsenal,38,21,7,10,70,squads/18bb7c10/Arsenal-Stats,18bb7c10,Arsenal
6,Manchester Utd,38,19,9,10,66,squads/19538871/Manchester-United-Stats,19538871,Manchester-United
7,Wolves,38,16,9,13,57,squads/8cec06e1/Wolverhampton-Wanderers-Stats,8cec06e1,Wolverhampton-Wanderers
8,Everton,38,15,9,14,54,squads/d3fd31cc/Everton-Stats,d3fd31cc,Everton
9,Leicester City,38,15,7,16,52,squads/a2d435b3/Leicester-City-Stats,a2d435b3,Leicester-City
10,West Ham,38,15,7,16,52,squads/7c21e445/West-Ham-United-Stats,7c21e445,West-Ham-United
11,Watford,38,14,8,16,50,squads/2abfe087/Watford-Stats,2abfe087,Watford
12,Crystal Palace,38,14,7,17,49,squads/47c64c55/Crystal-Palace-Stats,47c64c55,Crystal-Palace
13,Newcastle Utd,38,12,9,17,45,squads/b2b47a98/Newcastle-United-Stats,b2b47a98,Newcastle-United
14,Bournemouth,38,13,6,19,45,squads/4ba7cbea/Bournemouth-Stats,4ba7cbea,Bournemouth
15,Burnley,38,11,7,20,40,squads/943e8050/Burnley-Stats,943e8050,Burnley
16,Southampton,38,9,12,17,39,squads/33c895d4/Southampton-Stats,33c895d4,Southampton
17,Brighton,38,9,9,20,36,squads/d07537b9/Brighton-and-Hove-Albion-Stats,d07537b9,Brighton-and-Hove-Albion
18,Cardiff City,38,10,4,24,34,squads/75fae011/Cardiff-City-Stats,75fae011,Cardiff-City
19,Fulham,38,7,5,26,26,squads/fd962109/Fulham-Stats,fd962109,Fulham
20,Huddersfield,38,3,7,28,16,squads/f5922ca5/Huddersfield-Town-Stats,f5922ca5,Huddersfield-Town
