2013-2014,Premier-League
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Manchester City,38,27,5,6,86,squads/b8fd03ef/Manchester-City-Stats,b8fd03ef,Manchester-City
2,Liverpool,38,26,6,6,84,squads/822bd0ba/Liverpool-Stats,822bd0ba,Liverpool
3,Chelsea,38,25,7,6,82,squads/cff3d9bb/Chelsea-Stats,cff3d9bb,Chelsea
4,Arsenal,38,24,7,7,79,squads/18bb7c10/Arsenal-Stats,18bb7c10,Arsenal
5,Everton,38,21,9,8,72,squads/d3fd31cc/Everton-Stats,d3fd31cc,Everton
6,Tottenham,38,21,6,11,69,squads/361ca564/Tottenham-Hotspur-Stats,361ca564,Tottenham-Hotspur
7,Manchester Utd,38,19,7,12,64,squads/19538871/Manchester-United-Stats,19538871,Manchester-United
8,Southampton,38,15,11,12,56,squads/33c895d4/Southampton-Stats,33c895d4,Southampton
9,Stoke City,38,13,11,14,50,squads/17892952/Stoke-City-Stats,17892952,Stoke-City
10,Newcastle Utd,38,15,4,19,49,squads/b2b47a98/Newcastle-United-Stats,b2b47a98,Newcastle-United
11,Crystal Palace,38,13,6,19,45,squads/47c64c55/Crystal-Palace-Stats,47c64c55,Crystal-Palace
12,Swansea City,38,11,9,18,42,squads/fb10988f/Swansea-City-Stats,fb10988f,Swansea-City
13,West Ham,38,11,7,20,40,squads/7c21e445/West-Ham-United-Stats,7c21e445,West-Ham-United
14,Sunderland,38,10,8,20,38,squads/8ef52968/Sunderland-Stats,8ef52968,Sunderland
15,Aston Villa,38,10,8,20,38,squads/8602292d/Aston-Villa-Stats,8602292d,Aston-Villa
16,Hull City,38,10,7,21,37,squads/bd8769d1/Hull-City-Stats,bd8769d1,Hull-City
17,West Brom,38,7,15,16,36,squads/60c6b05f/West-Bromwich-Albion-Stats,60c6b05f,West-Bromwich-Albion
18,Norwich City,38,8,9,21,33,squads/1c781004/Norwich-City-Stats,1c781004,Norwich-City
19,Fulham,38,9,5,24,32,squads/fd962109/Fulham-Stats,fd962109,Fulham
20,Cardiff City,38,7,9,22,30,squads/75fae011/Cardiff-City-Stats,75fae011,Cardiff-City
