2010-2011,Premier-League
Rk,Club,Mp,W,D,L,Pts
﻿1,Manchester Utd,38,23,11,4,80
2,Chelsea,38,21,8,9,71
3,Manchester City,38,21,8,9,71
4,Arsenal,38,19,11,8,68
5,Tottenham,38,16,14,8,62
6,Liverpool,38,17,7,14,58
7,Everton,38,13,15,10,54
8,Fulham,38,11,16,11,49
9,Aston Villa,38,12,12,14,48
10,Sunderland,38,12,11,15,47
11,West Brom,38,12,11,15,47
12,Newcastle Utd,38,11,13,14,46
13,Stoke City,38,13,7,18,46
14,Bolton,38,12,10,16,46
15,Blackburn,38,11,10,17,43
16,Wigan Athletic,38,9,15,14,42
17,Wolves,38,11,7,20,40
18,Birmingham City,38,8,15,15,39
19,Blackpool,38,10,9,19,39
20,West Ham,38,7,12,19,33
