2005-2006,Premier-League
Rk,Club,Mp,W,D,L,Pts
﻿1,Chelsea,38,29,4,5,91
2,Manchester Utd,38,25,8,5,83
3,Liverpool,38,25,7,6,82
4,Arsenal,38,20,7,11,67
5,Tottenham,38,18,11,9,65
6,Blackburn,38,19,6,13,63
7,Newcastle Utd,38,17,7,14,58
8,Bolton,38,15,11,12,56
9,West Ham,38,16,7,15,55
10,Wigan Athletic,38,15,6,17,51
11,Everton,38,14,8,16,50
12,Fulham,38,14,6,18,48
13,Charlton Ath,38,13,8,17,47
14,Middlesbrough,38,12,9,17,45
15,Manchester City,38,13,4,21,43
16,Aston Villa,38,10,12,16,42
17,Portsmouth,38,10,8,20,38
18,Birmingham City,38,8,10,20,34
19,West Brom,38,7,9,22,30
20,Sunderland,38,3,6,29,15
