2011-2012,Premier-League
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Manchester City,38,28,5,5,89,squads/b8fd03ef/Manchester-City-Stats,b8fd03ef,Manchester-City
2,Manchester Utd,38,28,5,5,89,squads/19538871/Manchester-United-Stats,19538871,Manchester-United
3,Arsenal,38,21,7,10,70,squads/18bb7c10/Arsenal-Stats,18bb7c10,Arsenal
4,Tottenham,38,20,9,9,69,squads/361ca564/Tottenham-Hotspur-Stats,361ca564,Tottenham-Hotspur
5,Newcastle Utd,38,19,8,11,65,squads/b2b47a98/Newcastle-United-Stats,b2b47a98,Newcastle-United
6,Chelsea,38,18,10,10,64,squads/cff3d9bb/Chelsea-Stats,cff3d9bb,Chelsea
7,Everton,38,15,11,12,56,squads/d3fd31cc/Everton-Stats,d3fd31cc,Everton
8,Liverpool,38,14,10,14,52,squads/822bd0ba/Liverpool-Stats,822bd0ba,Liverpool
9,Fulham,38,14,10,14,52,squads/fd962109/Fulham-Stats,fd962109,Fulham
10,West Brom,38,13,8,17,47,squads/60c6b05f/West-Bromwich-Albion-Stats,60c6b05f,West-Bromwich-Albion
11,Swansea City,38,12,11,15,47,squads/fb10988f/Swansea-City-Stats,fb10988f,Swansea-City
12,Norwich City,38,12,11,15,47,squads/1c781004/Norwich-City-Stats,1c781004,Norwich-City
13,Sunderland,38,11,12,15,45,squads/8ef52968/Sunderland-Stats,8ef52968,Sunderland
14,Stoke City,38,11,12,15,45,squads/17892952/Stoke-City-Stats,17892952,Stoke-City
15,Wigan Athletic,38,11,10,17,43,squads/e59ddc76/Wigan-Athletic-Stats,e59ddc76,Wigan-Athletic
16,Aston Villa,38,7,17,14,38,squads/8602292d/Aston-Villa-Stats,8602292d,Aston-Villa
17,QPR,38,10,7,21,37,squads/a757999c/Queens-Park-Rangers-Stats,a757999c,Queens-Park-Rangers
18,Bolton,38,10,6,22,36,squads/445d3104/Bolton-Wanderers-Stats,445d3104,Bolton-Wanderers
19,Blackburn,38,8,7,23,31,squads/e090f40b/Blackburn-Rovers-Stats,e090f40b,Blackburn-Rovers
20,Wolves,38,5,10,23,25,squads/8cec06e1/Wolverhampton-Wanderers-Stats,8cec06e1,Wolverhampton-Wanderers
