2007-2008,Premier-League
Rk,Club,Mp,W,D,L,Pts
﻿1,Manchester Utd,38,27,6,5,87
2,Chelsea,38,25,10,3,85
3,Arsenal,38,24,11,3,83
4,Liverpool,38,21,13,4,76
5,Everton,38,19,8,11,65
6,Aston Villa,38,16,12,10,60
7,Blackburn,38,15,13,10,58
8,Portsmouth,38,16,9,13,57
9,Manchester City,38,15,10,13,55
10,West Ham,38,13,10,15,49
11,Tottenham,38,11,13,14,46
12,Newcastle Utd,38,11,10,17,43
13,Middlesbrough,38,10,12,16,42
14,Wigan Athletic,38,10,10,18,40
15,Sunderland,38,11,6,21,39
16,Bolton,38,9,10,19,37
17,Fulham,38,8,12,18,36
18,Reading,38,10,6,22,36
19,Birmingham City,38,8,11,19,35
20,Derby County,38,1,8,29,11
