2018-2019,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,38,28,6,4,90,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Napoli,38,24,7,7,79,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
3,Atalanta,38,20,9,9,69,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
4,Inter,38,20,9,9,69,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
5,Milan,38,19,11,8,68,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
6,Roma,38,18,12,8,66,squads/cf74a709/Roma-Stats,cf74a709,Roma
7,Torino,38,16,15,7,63,squads/105360fe/Torino-Stats,105360fe,Torino
8,Lazio,38,17,8,13,59,squads/7213da33/Lazio-Stats,7213da33,Lazio
9,Sampdoria,38,15,8,15,53,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
10,Bologna,38,11,11,16,44,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
11,Sassuolo,38,9,16,13,43,squads/e2befd26/Sassuolo-Stats,e2befd26,Sassuolo
12,Udinese,38,11,10,17,43,squads/04eea015/Udinese-Stats,04eea015,Udinese
13,SPAL,38,11,9,18,42,squads/1d2fe027/SPAL-Stats,1d2fe027,SPAL
14,Parma,38,10,11,17,41,squads/eab4234c/Parma-Stats,eab4234c,Parma
15,Cagliari,38,10,11,17,41,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
16,Fiorentina,38,8,17,13,41,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
17,Genoa,38,8,14,16,38,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
18,Empoli,38,10,8,20,38,squads/a3d88bd8/Empoli-Stats,a3d88bd8,Empoli
19,Frosinone,38,5,10,23,25,squads/6a7ad59d/Frosinone-Stats,6a7ad59d,Frosinone
20,Chievo,38,2,14,22,17,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
