2010-2011,Serie-A
Rk,Club,Mp,W,D,L,Pts
﻿1,Milan,38,24,10,4,82
2,Inter,38,23,7,8,76
3,Napoli,38,21,7,10,70
4,Udinese,38,20,6,12,66
5,Lazio,38,20,6,12,66
6,Roma,38,18,9,11,63
7,Juventus,38,15,13,10,58
8,Palermo,38,17,5,16,56
9,Fiorentina,38,12,15,11,51
10,Genoa,38,14,9,15,51
11,Chievo,38,11,13,14,46
12,Parma,38,11,13,14,46
13,Catania,38,12,10,16,46
14,Cagliari,38,12,9,17,45
15,Cesena,38,11,10,17,43
16,Bologna,38,11,12,15,42
17,Lecce,38,11,8,19,41
18,Sampdoria,38,8,12,18,36
19,Brescia,38,7,11,20,32
20,Bari,38,5,9,24,24
