2007-2008,Serie-A
Rk,Club,Mp,W,D,L,Pts
﻿1,Inter,38,25,10,3,85
2,Roma,38,24,10,4,82
3,Juventus,38,20,12,6,72
4,Fiorentina,38,19,9,10,66
5,Milan,38,18,10,10,64
6,Sampdoria,38,17,9,12,60
7,Udinese,38,16,9,13,57
8,Napoli,38,14,8,16,50
9,Atalanta,38,12,12,14,48
10,Genoa,38,13,9,16,48
11,Palermo,38,12,11,15,47
12,Lazio,38,11,13,14,46
13,Siena,38,9,17,12,44
14,Cagliari,38,11,9,18,42
15,Torino,38,8,16,14,40
16,Reggina,38,9,13,16,40
17,Catania,38,8,13,17,37
18,Empoli,38,9,9,20,36
19,Parma,38,7,13,18,34
20,Livorno,38,6,12,20,30
