,Club
0,Juventus
1,Inter
2,Milan
3,Lazio
4,Parma
5,Udinese
6,Chievo
7,Roma
8,Brescia
9,Perugia
10,Bologna
11,Modena
12,Empoli
13,Reggina
14,Atalanta
15,Piacenza
16,Como
17,Torino
18,Serie-A
19,Sampdoria
20,Lecce
21,Siena
22,Ancona
23,Club
24,Palermo
25,Messina
26,Livorno
27,Cagliari
28,Fiorentina
29,Ascoli
30,Treviso
31,Catania
32,Napoli
33,Genoa
34,Bari
35,Cesena
36,Novara
37,Pescara
38,Hellas Verona
39,Sassuolo
40,Carpi
41,Frosinone
42,Crotone
43,SPAL
44,Benevento
45,Spezia
46,Salernitana
47,Venezia
