2004-2005,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,38,26,8,4,86,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Milan,38,23,10,5,79,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
3,Inter,38,18,18,2,72,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
4,Udinese,38,17,11,10,62,squads/04eea015/Udinese-Stats,04eea015,Udinese
5,Sampdoria,38,17,10,11,61,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
6,Palermo,38,12,17,9,53,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
7,Messina,38,12,12,14,48,squads/fe2dc36d/Messina-Stats,fe2dc36d,Messina
8,Roma,38,11,12,15,45,squads/cf74a709/Roma-Stats,cf74a709,Roma
9,Livorno,38,11,12,15,45,squads/939201df/Livorno-Stats,939201df,Livorno
10,Reggina,38,10,14,14,44,squads/46f8c29f/Reggina-Stats,46f8c29f,Reggina
11,Lecce,38,10,14,14,44,squads/ffcbe334/Lecce-Stats,ffcbe334,Lecce
12,Cagliari,38,10,14,14,44,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
13,Lazio,38,11,11,16,44,squads/7213da33/Lazio-Stats,7213da33,Lazio
14,Siena,38,9,16,13,43,squads/45a2f824/Siena-Stats,45a2f824,Siena
15,Chievo,38,11,10,17,43,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
16,Fiorentina,38,9,15,14,42,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
17,Parma,38,10,12,16,42,squads/eab4234c/Parma-Stats,eab4234c,Parma
18,Bologna,38,9,15,14,42,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
19,Brescia,38,11,8,19,41,squads/4ef57aeb/Brescia-Stats,4ef57aeb,Brescia
20,Atalanta,38,8,11,19,35,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
