2002-2003,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
9,Fiorentina,38,22,8,8,44,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
10,Ascoli,38,9,16,13,43,squads/72c031e3/Ascoli-Stats,72c031e3,Ascoli
11,Udinese,38,11,10,17,43,squads/04eea015/Udinese-Stats,04eea015,Udinese
12,Sampdoria,38,10,11,17,41,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
13,Reggina,38,11,8,19,41,squads/46f8c29f/Reggina-Stats,46f8c29f,Reggina
14,Cagliari,38,8,15,15,39,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
15,Siena,38,9,12,17,39,squads/45a2f824/Siena-Stats,45a2f824,Siena
16,Lazio,38,16,14,8,32,squads/7213da33/Lazio-Stats,7213da33,Lazio
17,Messina,38,6,13,19,31,squads/fe2dc36d/Messina-Stats,fe2dc36d,Messina
18,Lecce,38,7,8,23,29,squads/ffcbe334/Lecce-Stats,ffcbe334,Lecce
19,Treviso,38,3,12,23,21,squads/f71ec3ae/Treviso-Stats,f71ec3ae,Treviso
20,Juventus,38,27,10,1,91,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
﻿2006-2007,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Inter,38,30,7,1,97,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
2,Roma,38,22,9,7,75,squads/cf74a709/Roma-Stats,cf74a709,Roma
3,Lazio,38,18,11,9,62,squads/7213da33/Lazio-Stats,7213da33,Lazio
4,Milan,38,19,12,7,61,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
5,Palermo,38,16,10,12,58,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
6,Fiorentina,38,21,10,7,58,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
7,Empoli,38,14,12,12,54,squads/a3d88bd8/Empoli-Stats,a3d88bd8,Empoli
8,Atalanta,38,12,14,12,50,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
9,Sampdoria,38,13,10,15,49,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
10,Udinese,38,12,10,16,46,squads/04eea015/Udinese-Stats,04eea015,Udinese
11,Livorno,38,10,13,15,43,squads/939201df/Livorno-Stats,939201df,Livorno
12,Parma,38,10,12,16,42,squads/eab4234c/Parma-Stats,eab4234c,Parma
13,Catania,38,10,11,17,41,squads/7b046f08/Catania-Stats,7b046f08,Catania
14,Reggina,38,12,15,11,40,squads/46f8c29f/Reggina-Stats,46f8c29f,Reggina
15,Siena,38,9,14,15,40,squads/45a2f824/Siena-Stats,45a2f824,Siena
16,Torino,38,10,10,18,40,squads/105360fe/Torino-Stats,105360fe,Torino
17,Cagliari,38,9,13,16,40,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
18,Chievo,38,9,12,17,39,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
19,Ascoli,38,5,12,21,27,squads/72c031e3/Ascoli-Stats,72c031e3,Ascoli
20,Messina,38,5,11,22,26,squads/fe2dc36d/Messina-Stats,fe2dc36d,Messina
﻿2007-2008,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Inter,38,25,10,3,85,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
2,Roma,38,24,10,4,82,squads/cf74a709/Roma-Stats,cf74a709,Roma
3,Juventus,38,20,12,6,72,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
4,Fiorentina,38,19,9,10,66,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
5,Milan,38,18,10,10,64,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
6,Sampdoria,38,17,9,12,60,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
7,Udinese,38,16,9,13,57,squads/04eea015/Udinese-Stats,04eea015,Udinese
8,Napoli,38,14,8,16,50,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
9,Atalanta,38,12,12,14,48,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
10,Genoa,38,13,9,16,48,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
11,Palermo,38,12,11,15,47,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
12,Lazio,38,11,13,14,46,squads/7213da33/Lazio-Stats,7213da33,Lazio
13,Siena,38,9,17,12,44,squads/45a2f824/Siena-Stats,45a2f824,Siena
14,Cagliari,38,11,9,18,42,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
15,Torino,38,8,16,14,40,squads/105360fe/Torino-Stats,105360fe,Torino
16,Reggina,38,9,13,16,40,squads/46f8c29f/Reggina-Stats,46f8c29f,Reggina
17,Catania,38,8,13,17,37,squads/7b046f08/Catania-Stats,7b046f08,Catania
18,Empoli,38,9,9,20,36,squads/a3d88bd8/Empoli-Stats,a3d88bd8,Empoli
19,Parma,38,7,13,18,34,squads/eab4234c/Parma-Stats,eab4234c,Parma
20,Livorno,38,6,12,20,30,squads/939201df/Livorno-Stats,939201df,Livorno
﻿2008-2009,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Inter,38,25,9,4,84,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
2,Juventus,38,21,11,6,74,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
3,Milan,38,22,8,8,74,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
4,Fiorentina,38,21,5,12,68,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
5,Genoa,38,19,11,8,68,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
6,Roma,38,18,9,11,63,squads/cf74a709/Roma-Stats,cf74a709,Roma
7,Udinese,38,16,10,12,58,squads/04eea015/Udinese-Stats,04eea015,Udinese
8,Palermo,38,17,6,15,57,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
9,Cagliari,38,15,8,15,53,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
10,Lazio,38,15,5,18,50,squads/7213da33/Lazio-Stats,7213da33,Lazio
11,Atalanta,38,13,8,17,47,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
12,Napoli,38,12,10,16,46,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
13,Sampdoria,38,11,13,14,46,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
14,Siena,38,12,8,18,44,squads/45a2f824/Siena-Stats,45a2f824,Siena
15,Catania,38,12,7,19,43,squads/7b046f08/Catania-Stats,7b046f08,Catania
16,Chievo,38,8,14,16,38,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
17,Bologna,38,9,10,19,37,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
18,Torino,38,8,10,20,34,squads/105360fe/Torino-Stats,105360fe,Torino
19,Reggina,38,6,13,19,31,squads/46f8c29f/Reggina-Stats,46f8c29f,Reggina
20,Lecce,38,5,15,18,30,squads/ffcbe334/Lecce-Stats,ffcbe334,Lecce
﻿2009-2010,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Inter,38,24,10,4,82,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
2,Roma,38,24,8,6,80,squads/cf74a709/Roma-Stats,cf74a709,Roma
3,Milan,38,20,10,8,70,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
4,Sampdoria,38,19,10,9,67,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
5,Palermo,38,18,11,9,65,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
6,Napoli,38,15,14,9,59,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
7,Juventus,38,16,7,15,55,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
8,Parma,38,14,10,14,52,squads/eab4234c/Parma-Stats,eab4234c,Parma
9,Genoa,38,14,9,15,51,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
10,Bari,38,13,11,14,50,squads/01baa639/Bari-Stats,01baa639,Bari
