Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
1668,12,38,11,13,14,46,2007-2008,163,5
1669,13,38,9,17,12,44,2007-2008,180,5
1670,14,38,11,9,18,42,2007-2008,185,5
1671,15,38,8,16,14,40,2007-2008,177,5
1672,16,38,9,13,16,40,2007-2008,173,5
1673,17,38,8,13,17,37,2007-2008,189,5
1674,18,38,9,9,20,36,2007-2008,172,5
1675,19,38,7,13,18,34,2007-2008,164,5
1676,20,38,6,12,20,30,2007-2008,184,5
1677,1,38,25,9,4,84,2008-2009,161,5
1678,2,38,21,11,6,74,2008-2009,160,5
1679,3,38,22,8,8,74,2008-2009,162,5
1680,4,38,21,5,12,68,2008-2009,186,5
1681,5,38,19,11,8,68,2008-2009,191,5
1682,6,38,18,9,11,63,2008-2009,167,5
1683,7,38,16,10,12,58,2008-2009,165,5
1684,8,38,17,6,15,57,2008-2009,182,5
1685,9,38,15,8,15,53,2008-2009,185,5
1686,10,38,15,5,18,50,2008-2009,163,5
1687,11,38,13,8,17,47,2008-2009,174,5
1688,12,38,12,10,16,46,2008-2009,190,5
1689,13,38,11,13,14,46,2008-2009,178,5
1690,14,38,12,8,18,44,2008-2009,180,5
1691,15,38,12,7,19,43,2008-2009,189,5
1692,16,38,8,14,16,38,2008-2009,166,5
1693,17,38,9,10,19,37,2008-2009,170,5
1694,18,38,8,10,20,34,2008-2009,177,5
1695,19,38,6,13,19,31,2008-2009,173,5
1696,20,38,5,15,18,30,2008-2009,179,5
1697,1,38,24,10,4,82,2009-2010,161,5
1698,2,38,24,8,6,80,2009-2010,167,5
1699,3,38,20,10,8,70,2009-2010,162,5
1700,4,38,19,10,9,67,2009-2010,178,5
1701,5,38,18,11,9,65,2009-2010,182,5
1702,6,38,15,14,9,59,2009-2010,190,5
1703,7,38,16,7,15,55,2009-2010,160,5
1704,8,38,14,10,14,52,2009-2010,164,5
1705,9,38,14,9,15,51,2009-2010,191,5
1706,10,38,13,11,14,50,2009-2010,192,5
1707,11,38,13,8,17,47,2009-2010,186,5
1708,12,38,11,13,14,46,2009-2010,163,5
1709,13,38,10,15,13,45,2009-2010,189,5
1710,14,38,12,8,18,44,2009-2010,166,5
1711,15,38,11,11,16,44,2009-2010,165,5
1712,16,38,11,11,16,44,2009-2010,185,5
1713,17,38,10,12,16,42,2009-2010,170,5
1714,18,38,9,8,21,35,2009-2010,174,5
1715,19,38,7,10,21,31,2009-2010,180,5
1716,20,38,7,8,23,29,2009-2010,184,5
1717,1,38,24,10,4,82,2010-2011,162,5
1718,2,38,23,7,8,76,2010-2011,161,5
1719,3,38,21,7,10,70,2010-2011,190,5
1720,4,38,20,6,12,66,2010-2011,165,5
1721,5,38,20,6,12,66,2010-2011,163,5
1722,6,38,18,9,11,63,2010-2011,167,5
1723,7,38,15,13,10,58,2010-2011,160,5
1724,8,38,17,5,16,56,2010-2011,182,5
1725,9,38,12,15,11,51,2010-2011,186,5
1726,10,38,14,9,15,51,2010-2011,191,5
1727,11,38,11,13,14,46,2010-2011,166,5
1728,12,38,11,13,14,46,2010-2011,164,5
1729,13,38,12,10,16,46,2010-2011,189,5
1730,14,38,12,9,17,45,2010-2011,185,5
1731,15,38,11,10,17,43,2010-2011,193,5
1732,16,38,11,12,15,42,2010-2011,170,5
1733,17,38,11,8,19,41,2010-2011,179,5
1734,18,38,8,12,18,36,2010-2011,178,5
1735,19,38,7,11,20,32,2010-2011,168,5
1736,20,38,5,9,24,24,2010-2011,192,5
1737,1,38,23,15,0,84,2011-2012,160,5
1738,2,38,24,8,6,80,2011-2012,162,5
1739,3,38,18,10,10,64,2011-2012,165,5
1740,4,38,18,8,12,62,2011-2012,163,5
1741,5,38,16,13,9,61,2011-2012,190,5
1742,6,38,17,7,14,58,2011-2012,161,5
1743,7,38,16,8,14,56,2011-2012,167,5
1744,8,38,15,11,12,56,2011-2012,164,5
1745,9,38,13,12,13,51,2011-2012,170,5
1746,10,38,12,13,13,49,2011-2012,166,5
1747,11,38,11,15,12,48,2011-2012,189,5
1748,12,38,13,13,12,46,2011-2012,174,5
1749,13,38,11,13,14,46,2011-2012,186,5
1750,14,38,11,11,16,44,2011-2012,180,5
1751,15,38,10,13,15,43,2011-2012,185,5
1752,16,38,11,10,17,43,2011-2012,182,5
1753,17,38,11,9,18,42,2011-2012,191,5
1754,18,38,8,12,18,36,2011-2012,179,5
1755,19,38,7,11,20,32,2011-2012,194,5
1756,20,38,4,10,24,22,2011-2012,193,5
1757,1,38,27,6,5,87,2012-2013,160,5
1758,2,38,23,9,6,78,2012-2013,190,5
1759,3,38,21,9,8,72,2012-2013,162,5
1760,4,38,21,7,10,70,2012-2013,186,5
1761,5,38,18,12,8,66,2012-2013,165,5
1762,6,38,18,8,12,62,2012-2013,167,5
1763,7,38,18,7,13,61,2012-2013,163,5
1764,8,38,15,11,12,56,2012-2013,189,5
1765,9,38,16,6,16,54,2012-2013,161,5
1766,10,38,13,10,15,49,2012-2013,164,5
1767,11,38,12,11,15,47,2012-2013,185,5
1768,12,38,12,9,17,45,2012-2013,166,5
1769,13,38,11,11,16,44,2012-2013,170,5
1770,14,38,11,10,17,42,2012-2013,178,5
1771,15,38,11,9,18,40,2012-2013,174,5
1772,16,38,8,16,14,39,2012-2013,177,5
1773,17,38,8,14,16,38,2012-2013,191,5
1774,18,38,6,14,18,32,2012-2013,182,5
1775,19,38,9,9,20,30,2012-2013,180,5
1776,20,38,6,4,28,22,2012-2013,195,5
1777,1,38,33,3,2,102,2013-2014,160,5
1778,2,38,26,7,5,85,2013-2014,167,5
1779,3,38,23,9,6,78,2013-2014,190,5
1780,4,38,19,8,11,65,2013-2014,186,5
1781,5,38,15,15,8,60,2013-2014,161,5
1782,6,38,15,13,10,58,2013-2014,164,5
1783,7,38,15,12,11,57,2013-2014,177,5
1784,8,38,16,9,13,57,2013-2014,162,5
1785,9,38,15,11,12,56,2013-2014,163,5
1786,10,38,16,6,16,54,2013-2014,196,5
1787,11,38,15,5,18,50,2013-2014,174,5
1788,12,38,12,9,17,45,2013-2014,178,5
1789,13,38,12,8,18,44,2013-2014,165,5
1790,14,38,11,11,16,44,2013-2014,191,5
1791,15,38,9,12,17,39,2013-2014,185,5
1792,16,38,10,6,22,36,2013-2014,166,5
1793,17,38,9,7,22,34,2013-2014,197,5
1794,18,38,8,8,22,32,2013-2014,189,5
1795,19,38,5,14,19,29,2013-2014,170,5
1796,20,38,6,7,25,25,2013-2014,184,5
1797,1,38,26,9,3,87,2014-2015,160,5
1798,2,38,19,13,6,70,2014-2015,167,5
1799,3,38,21,6,11,69,2014-2015,163,5
1800,4,38,18,10,10,64,2014-2015,186,5
1801,5,38,18,9,11,63,2014-2015,190,5
1802,6,38,16,11,11,59,2014-2015,191,5
1803,7,38,13,17,8,56,2014-2015,178,5
1804,8,38,14,13,11,55,2014-2015,161,5
1805,9,38,14,12,12,54,2014-2015,177,5
1806,10,38,13,13,12,52,2014-2015,162,5
1807,11,38,12,13,13,49,2014-2015,182,5
1808,12,38,12,13,13,49,2014-2015,197,5
1809,13,38,11,13,14,46,2014-2015,196,5
1810,14,38,10,13,15,43,2014-2015,166,5
1811,15,38,8,18,12,42,2014-2015,172,5
1812,16,38,10,11,17,41,2014-2015,165,5
1813,17,38,7,16,15,37,2014-2015,174,5
