2020-2021,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Inter,38,28,7,3,91,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
2,Milan,38,24,7,7,79,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
3,Atalanta,38,23,9,6,78,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
4,Juventus,38,23,9,6,78,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
5,Napoli,38,24,5,9,77,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
6,Lazio,38,21,5,12,68,squads/7213da33/Lazio-Stats,7213da33,Lazio
7,Roma,38,18,8,12,62,squads/cf74a709/Roma-Stats,cf74a709,Roma
8,Sassuolo,38,17,11,10,62,squads/e2befd26/Sassuolo-Stats,e2befd26,Sassuolo
9,Sampdoria,38,15,7,16,52,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
10,Hellas Verona,38,11,12,15,45,squads/0e72edf2/Hellas-Verona-Stats,0e72edf2,Hellas-Verona
11,Genoa,38,10,12,16,42,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
12,Bologna,38,10,11,17,41,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
13,Fiorentina,38,9,13,16,40,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
14,Udinese,38,10,10,18,40,squads/04eea015/Udinese-Stats,04eea015,Udinese
15,Spezia,38,9,12,17,39,squads/68449f6d/Spezia-Stats,68449f6d,Spezia
16,Cagliari,38,9,10,19,37,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
17,Torino,38,7,16,15,37,squads/105360fe/Torino-Stats,105360fe,Torino
18,Benevento,38,7,12,19,33,squads/4fcb34fd/Benevento-Stats,4fcb34fd,Benevento
19,Crotone,38,6,5,27,23,squads/3074d7b1/Crotone-Stats,3074d7b1,Crotone
20,Parma,38,3,11,24,20,squads/eab4234c/Parma-Stats,eab4234c,Parma
