Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Iker Casillas,es ESP,GK,38,38,0.0,0.0,2002-2003,1ddbb0da,Real-Madrid,"3,420",38.0,0.0,0.0,37.0,1,1.0,Real-Madrid
,Roberto Carlos,br BRA,DF,37,37,7.0,5.0,2002-2003,6a3aaf62,Real-Madrid,"3,311",36.8,4.0,0.0,37.0,2,2.0,Real-Madrid
,Míchel Salgado,es ESP,DF,35,35,2.0,0.0,2002-2003,68f36bc6,Real-Madrid,"3,014",33.5,12.0,2.0,37.0,1,3.0,Real-Madrid
,Iván Helguera,es ESP,"DF,MF",33,33,1.0,6.0,2002-2003,44151558,Real-Madrid,"2,889",32.1,8.0,1.0,37.0,1,4.0,Real-Madrid
,Luís Figo,pt POR,"FW,MF",33,33,14.0,10.0,2002-2003,f20f347f,Real-Madrid,"2,724",30.3,4.0,1.0,37.0,3,5.0,Real-Madrid
,Zinédine Zidane,fr FRA,MF,33,32,9.0,9.0,2002-2003,654f4e63,Real-Madrid,"2,703",30.0,4.0,0.0,37.0,4,6.0,Real-Madrid
,Raúl,es ESP,FW,31,30,10.0,16.0,2002-2003,2b81295d,Real-Madrid,"2,686",29.8,1.0,0.0,37.0,1,7.0,Real-Madrid
,Claude Makélélé,fr FRA,MF,29,29,1.0,0.0,2002-2003,c27d01de,Real-Madrid,"2,515",27.9,6.0,0.0,37.0,4,8.0,Real-Madrid
,Ronaldo,br BRA,FW,31,29,4.0,23.0,2002-2003,57feb553,Real-Madrid,"2,422",26.9,1.0,0.0,37.0,2,9.0,Real-Madrid
,Fernando Hierro,es ESP,"DF,MF",25,25,0.0,0.0,2002-2003,2f926dd0,Real-Madrid,"2,223",24.7,9.0,0.0,37.0,1,10.0,Real-Madrid
,Flávio Conceição,br BRA,MF,22,21,0.0,1.0,2002-2003,8783b7ca,Real-Madrid,"1,679",18.7,3.0,0.0,37.0,2,11.0,Real-Madrid
,Guti,es ESP,"FW,MF",34,18,5.0,4.0,2002-2003,dd0a0fa1,Real-Madrid,"1,793",19.9,6.0,0.0,37.0,1,12.0,Real-Madrid
,Esteban Cambiasso,ar ARG,MF,24,18,2.0,0.0,2002-2003,4d801075,Real-Madrid,"1,460",16.2,2.0,0.0,37.0,5,13.0,Real-Madrid
,Francisco Pavón,es ESP,DF,22,17,0.0,0.0,2002-2003,222a596,Real-Madrid,"1,577",17.5,3.0,0.0,37.0,1,14.0,Real-Madrid
,Santiago Solari,ar ARG,MF,28,6,1.0,0.0,2002-2003,34c6e97,Real-Madrid,780,8.7,2.0,0.0,37.0,5,15.0,Real-Madrid
,Steve McManaman,eng ENG,MF,15,6,2.0,1.0,2002-2003,9be05f40,Real-Madrid,587,6.5,0.0,0.0,37.0,6,16.0,Real-Madrid
,Óscar Miñambres,es ESP,"DF,MF",16,5,2.0,0.0,2002-2003,8e27322b,Real-Madrid,687,7.6,0.0,0.0,37.0,1,17.0,Real-Madrid
,Fernando Morientes,es ESP,FW,18,2,1.0,5.0,2002-2003,bceebb25,Real-Madrid,445,4.9,0.0,0.0,37.0,1,18.0,Real-Madrid
,Javier Portillo,es ESP,FW,10,1,0.0,5.0,2002-2003,99058498,Real-Madrid,205,2.3,0.0,0.0,37.0,1,19.0,Real-Madrid
,Raúl Bravo,es ESP,DF,2,1,0.0,1.0,2002-2003,65b9e56b,Real-Madrid,121,1.3,0.0,0.0,37.0,1,20.0,Real-Madrid
,Rubén,es ESP,DF,1,1,0.0,0.0,2002-2003,d0c06281,Real-Madrid,90,1.0,1.0,0.0,37.0,1,21.0,Real-Madrid
,Tote,es ESP,"FW,MF",1,1,0.0,0.0,2002-2003,3e74421,Real-Madrid,69,0.8,0.0,0.0,37.0,1,22.0,Real-Madrid
,Albert Celades,es ESP,MF,3,0,1.0,0.0,2002-2003,61796b1f,Real-Madrid,63,0.7,1.0,0.0,37.0,1,23.0,Real-Madrid
,﻿Iker Casillas,es ESP,GK,37,37,0.0,0.0,2003-2004,1ddbb0da,Real-Madrid,"3,330",37.0,2.0,0.0,37.0,1,1.0,Real-Madrid
,Míchel Salgado,es ESP,DF,35,35,2.0,1.0,2003-2004,68f36bc6,Real-Madrid,"3,150",35.0,15.0,0.0,37.0,1,3.0,Real-Madrid
,Raúl,es ESP,FW,35,35,3.0,11.0,2003-2004,2b81295d,Real-Madrid,"3,013",33.5,1.0,0.0,37.0,1,7.0,Real-Madrid
,Luís Figo,pt POR,"FW,MF",36,34,11.0,7.0,2003-2004,f20f347f,Real-Madrid,"3,009",33.4,10.0,1.0,37.0,3,5.0,Real-Madrid
,Zinédine Zidane,fr FRA,MF,33,33,8.0,6.0,2003-2004,654f4e63,Real-Madrid,"2,698",30.0,7.0,1.0,37.0,4,6.0,Real-Madrid
,Raúl Bravo,es ESP,DF,32,32,0.0,1.0,2003-2004,65b9e56b,Real-Madrid,"2,860",31.8,8.0,0.0,37.0,1,20.0,Real-Madrid
,Roberto Carlos,br BRA,DF,32,32,5.0,6.0,2003-2004,6a3aaf62,Real-Madrid,"2,845",31.6,5.0,0.0,37.0,2,2.0,Real-Madrid
,David Beckham,eng ENG,MF,32,32,9.0,3.0,2003-2004,53539318,Real-Madrid,"2,745",30.5,7.0,1.0,37.0,6,24.0,Real-Madrid
,Ronaldo,br BRA,FW,32,31,4.0,24.0,2003-2004,57feb553,Real-Madrid,"2,588",28.8,6.0,0.0,37.0,2,9.0,Real-Madrid
,Iván Helguera,es ESP,"DF,MF",29,28,1.0,1.0,2003-2004,44151558,Real-Madrid,"2,547",28.3,11.0,0.0,37.0,1,4.0,Real-Madrid
,Francisco Pavón,es ESP,DF,29,26,0.0,1.0,2003-2004,222a596,Real-Madrid,"2,249",25.0,9.0,1.0,37.0,1,14.0,Real-Madrid
,Guti,es ESP,"FW,MF",26,16,2.0,2.0,2003-2004,dd0a0fa1,Real-Madrid,"1,566",17.4,12.0,1.0,37.0,1,12.0,Real-Madrid
,Santiago Solari,ar ARG,MF,34,15,2.0,5.0,2003-2004,34c6e97,Real-Madrid,"1,539",17.1,7.0,0.0,37.0,5,15.0,Real-Madrid
,Esteban Cambiasso,ar ARG,MF,17,9,1.0,0.0,2003-2004,4d801075,Real-Madrid,813,9.0,2.0,0.0,37.0,5,13.0,Real-Madrid
,Álvaro Mejía,es ESP,DF,9,8,0.0,0.0,2003-2004,dd3f6a54,Real-Madrid,741,8.2,4.0,1.0,37.0,1,25.0,Real-Madrid
,Borja Fernández,es ESP,MF,15,6,0.0,0.0,2003-2004,9127f9ce,Real-Madrid,640,7.1,0.0,0.0,37.0,1,26.0,Real-Madrid
,Javier Portillo,es ESP,FW,18,3,0.0,1.0,2003-2004,99058498,Real-Madrid,445,4.9,1.0,0.0,37.0,1,19.0,Real-Madrid
,Juanfran,es ESP,"DF,MF",5,2,1.0,0.0,2003-2004,cfd8d664,Real-Madrid,130,1.4,0.0,0.0,37.0,1,27.0,Real-Madrid
,Rubén,es ESP,DF,2,2,0.0,0.0,2003-2004,d0c06281,Real-Madrid,115,1.3,1.0,0.0,37.0,1,21.0,Real-Madrid
,Jordi López,es ESP,MF,2,1,0.0,0.0,2003-2004,b6fe8a4c,Real-Madrid,91,1.0,0.0,0.0,37.0,1,28.0,Real-Madrid
,César Sánchez,es ESP,GK,1,1,0.0,0.0,2003-2004,c6e6e5d6,Real-Madrid,90,1.0,0.0,0.0,37.0,1,29.0,Real-Madrid
,Antonio Núñez,es ESP,MF,11,0,0.0,1.0,2003-2004,df89070b,Real-Madrid,170,1.9,0.0,0.0,37.0,1,30.0,Real-Madrid
,Óscar Miñambres,es ESP,"DF,MF",1,0,0.0,0.0,2003-2004,8e27322b,Real-Madrid,44,0.5,0.0,0.0,37.0,1,17.0,Real-Madrid
,Fernando Morientes,es ESP,FW,1,0,,0.0,2003-2004,bceebb25,Real-Madrid,6,0.1,0.0,0.0,37.0,1,18.0,Real-Madrid
,﻿Iker Casillas,es ESP,GK,37,37,0.0,0.0,2004-2005,1ddbb0da,Real-Madrid,"3,293",36.6,1.0,0.0,37.0,1,1.0,Real-Madrid
,Roberto Carlos,br BRA,DF,34,33,5.0,3.0,2004-2005,6a3aaf62,Real-Madrid,"3,001",33.3,6.0,0.0,37.0,2,2.0,Real-Madrid
,Iván Helguera,es ESP,"DF,MF",34,33,0.0,3.0,2004-2005,44151558,Real-Madrid,"2,867",31.9,7.0,1.0,37.0,1,4.0,Real-Madrid
,Ronaldo,br BRA,FW,34,32,8.0,21.0,2004-2005,57feb553,Real-Madrid,"2,796",31.1,1.0,0.0,37.0,2,9.0,Real-Madrid
,Raúl,es ESP,FW,32,31,6.0,9.0,2004-2005,2b81295d,Real-Madrid,"2,577",28.6,1.0,0.0,37.0,1,7.0,Real-Madrid
,Míchel Salgado,es ESP,DF,30,30,3.0,2.0,2004-2005,68f36bc6,Real-Madrid,"2,661",29.6,13.0,1.0,37.0,1,3.0,Real-Madrid
,Walter Samuel,ar ARG,DF,30,30,2.0,2.0,2004-2005,ceb6c79d,Real-Madrid,"2,655",29.5,16.0,2.0,37.0,5,31.0,Real-Madrid
,David Beckham,eng ENG,MF,30,29,6.0,4.0,2004-2005,53539318,Real-Madrid,"2,436",27.1,11.0,0.0,37.0,6,24.0,Real-Madrid
,Zinédine Zidane,fr FRA,MF,29,28,5.0,6.0,2004-2005,654f4e63,Real-Madrid,"2,346",26.1,5.0,1.0,37.0,4,6.0,Real-Madrid
,Luís Figo,pt POR,"FW,MF",33,26,4.0,3.0,2004-2005,f20f347f,Real-Madrid,"2,291",25.5,9.0,0.0,37.0,3,5.0,Real-Madrid
,Michael Owen,eng ENG,FW,36,20,3.0,13.0,2004-2005,88b3f52c,Real-Madrid,"1,840",20.4,1.0,0.0,37.0,6,32.0,Real-Madrid
,Guti,es ESP,"FW,MF",31,18,4.0,0.0,2004-2005,dd0a0fa1,Real-Madrid,"1,917",21.3,10.0,0.0,37.0,1,12.0,Real-Madrid
,Thomas Gravesen,dk DEN,MF,17,15,1.0,1.0,2004-2005,b769b5bd,Real-Madrid,"1,314",14.6,7.0,0.0,37.0,7,33.0,Real-Madrid
,Francisco Pavón,es ESP,DF,17,14,0.0,1.0,2004-2005,222a596,Real-Madrid,"1,219",13.5,2.0,0.0,37.0,1,14.0,Real-Madrid
,Raúl Bravo,es ESP,DF,14,13,0.0,0.0,2004-2005,65b9e56b,Real-Madrid,"1,061",11.8,4.0,0.0,37.0,1,20.0,Real-Madrid
,Santiago Solari,ar ARG,MF,27,11,2.0,3.0,2004-2005,34c6e97,Real-Madrid,"1,122",12.5,0.0,0.0,37.0,5,15.0,Real-Madrid
