Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,Gonzalo de los Santos,uy URU,MF,32,30,1.0,3.0,2003-2004,/en/players/1855302a/Gonzalo-de-los-Santos,1855302a,Atletico-Madrid,"2,676",29.7,16.0,0.0,48,8.0,871,Atletico-Madrid
,Gaspar,es ESP,DF,27,26,0.0,0.0,2003-2004,/en/players/75e5329b/Gaspar,75e5329b,Atletico-Madrid,"2,384",26.5,10.0,0.0,48,1.0,2138,Atletico-Madrid
,Ariel Ibagaza,ar ARG,MF,30,26,11.0,2.0,2003-2004,/en/players/bd513ca4/Ariel-Ibagaza,bd513ca4,Atletico-Madrid,"2,373",26.4,4.0,0.0,48,5.0,1545,Atletico-Madrid
,Álvaro Novo,es ESP,MF,32,23,3.0,1.0,2003-2004,/en/players/e2b88098/Alvaro-Novo,2b88098,Atletico-Madrid,"2,178",24.2,5.0,1.0,48,1.0,230,Atletico-Madrid
,Diego Simeone,ar ARG,MF,28,23,0.0,2.0,2003-2004,/en/players/4b58d1e3/Diego-Simeone,4b58d1e3,Atletico-Madrid,"1,903",21.1,11.0,0.0,48,5.0,2139,Atletico-Madrid
,José García Calvo,es ESP,DF,22,22,0.0,1.0,2003-2004,/en/players/c79150ab/Jose-Garcia-Calvo,c79150ab,Atletico-Madrid,"1,885",20.9,6.0,0.0,48,1.0,2127,Atletico-Madrid
,Carlos Aguilera,es ESP,DF,24,22,4.0,0.0,2003-2004,/en/players/1bb900d7/Carlos-Aguilera,1bb900d7,Atletico-Madrid,"1,729",19.2,4.0,1.0,48,1.0,2128,Atletico-Madrid
,Nano,es ESP,"DF,FW",28,18,4.0,5.0,2003-2004,/en/players/51fbb7e2/Nano,51fbb7e2,Atletico-Madrid,"1,524",16.9,1.0,0.0,48,1.0,1072,Atletico-Madrid
,Kiki Musampa,nl NED,"FW,MF",26,17,1.0,2.0,2003-2004,/en/players/4095895b/Kiki-Musampa,4095895b,Atletico-Madrid,"1,278",14.2,4.0,0.0,48,11.0,2140,Atletico-Madrid
,Demis Nikolaidis,gr GRE,FW,22,16,2.0,6.0,2003-2004,/en/players/7bb7562d/Demis-Nikolaidis,7bb7562d,Atletico-Madrid,"1,453",16.1,3.0,0.0,48,55.0,2141,Atletico-Madrid
,Veljko Paunović,es ESP,"FW,MF",25,14,1.0,6.0,2003-2004,/en/players/7d0ae66f/Veljko-Paunovic,7d0ae66f,Atletico-Madrid,"1,454",16.2,2.0,0.0,48,1.0,2142,Atletico-Madrid
,Sergio Aragoneses,es ESP,GK,14,14,0.0,0.0,2003-2004,/en/players/8e8258f5/Sergio-Aragoneses,8e8258f5,Atletico-Madrid,"1,260",14.0,2.0,0.0,48,1.0,2143,Atletico-Madrid
,Germán Burgos,ar ARG,GK,14,14,0.0,0.0,2003-2004,/en/players/53028dd9/German-Burgos,53028dd9,Atletico-Madrid,"1,215",13.5,0.0,0.0,48,5.0,2131,Atletico-Madrid
,Jorge Larena,es ESP,MF,29,13,3.0,2.0,2003-2004,/en/players/3de25195/Jorge-Larena,3de25195,Atletico-Madrid,"1,271",14.1,3.0,1.0,48,1.0,668,Atletico-Madrid
,Juanma,es ESP,GK,11,10,0.0,0.0,2003-2004,/en/players/943f79f6/Juanma,943f79f6,Atletico-Madrid,945,10.5,2.0,0.0,48,1.0,2135,Atletico-Madrid
,Santi,es ESP,DF,14,8,0.0,0.0,2003-2004,/en/players/98eab2b3/Santi,98eab2b3,Atletico-Madrid,908,10.1,5.0,0.0,48,1.0,2133,Atletico-Madrid
,Rodrigo Fabri,br BRA,MF,16,7,3.0,0.0,2003-2004,/en/players/c1a0a9e2/Rodrigo-Fabri,c1a0a9e2,Atletico-Madrid,722,8.0,0.0,0.0,48,2.0,2144,Atletico-Madrid
,Juan Manuel Ortiz,es ESP,"DF,MF",5,3,0.0,0.0,2003-2004,/en/players/77513881/Juan-Manuel-Ortiz,77513881,Atletico-Madrid,219,2.4,1.0,1.0,48,1.0,2007,Atletico-Madrid
,Cosmin Contra,ro ROU,"DF,MF",3,2,,0.0,2003-2004,/en/players/9bdc0e80/Cosmin-Contra,9bdc0e80,Atletico-Madrid,194,2.2,0.0,0.0,48,51.0,2123,Atletico-Madrid
,Diego Rivas,es ESP,MF,3,2,0.0,0.0,2003-2004,/en/players/eecf46bc/Diego-Rivas,cf46bc,Atletico-Madrid,193,2.1,3.0,0.0,48,1.0,243,Atletico-Madrid
,Javier Pinola,ar ARG,DF,2,2,0.0,0.0,2003-2004,/en/players/faa5ffa8/Javier-Pinola,faa5ffa8,Atletico-Madrid,180,2.0,0.0,0.0,48,5.0,2145,Atletico-Madrid
,Javier Arizmendi,es ESP,"FW,MF",4,2,0.0,0.0,2003-2004,/en/players/14a6c075/Javier-Arizmendi,14a6c075,Atletico-Madrid,146,1.6,0.0,0.0,48,1.0,401,Atletico-Madrid
,Iván Romero,es ESP,DF,1,1,,0.0,2003-2004,/en/players/4ecdc16d/Ivan-Romero,4ecdc16d,Atletico-Madrid,73,0.8,1.0,0.0,48,1.0,2146,Atletico-Madrid
,Javi Moreno,es ESP,FW,5,0,0.0,0.0,2003-2004,/en/players/64497d05/Javi-Moreno,64497d05,Atletico-Madrid,75,0.8,2.0,1.0,48,1.0,2132,Atletico-Madrid
,Mirsad Hibić,ba BIH,DF,1,0,0.0,0.0,2003-2004,/en/players/35bfc1b5/Mirsad-Hibic,35bfc1b5,Atletico-Madrid,70,0.8,0.0,0.0,48,49.0,2126,Atletico-Madrid
,José María Movilla,es ESP,MF,2,0,0.0,0.0,2003-2004,/en/players/1ac170a8/Jose-Maria-Movilla,1ac170a8,Atletico-Madrid,43,0.5,0.0,0.0,48,1.0,2129,Atletico-Madrid
,Rubén Olivera,uy URU,MF,2,0,,0.0,2003-2004,/en/players/74b94461/Ruben-Olivera,74b94461,Atletico-Madrid,23,0.3,0.0,0.0,48,8.0,2147,Atletico-Madrid
,Toché,es ESP,FW,1,0,0.0,0.0,2003-2004,/en/players/64e35e11/Toche,64e35e11,Atletico-Madrid,8,0.1,0.0,0.0,48,1.0,483,Atletico-Madrid
,Gabi,es ESP,MF,1,0,0.0,0.0,2003-2004,/en/players/65d750b5/Gabi,65d750b5,Atletico-Madrid,6,0.1,0.0,0.0,48,1.0,2148,Atletico-Madrid
,﻿Fernando Torres,es ESP,FW,38,38,3.0,16.0,2004-2005,/en/players/bdf7b97d/Fernando-Torres,bdf7b97d,Atletico-Madrid,"3,392",37.7,3.0,0.0,48,1.0,2122,Atletico-Madrid
,Leo Franco,ar ARG,GK,37,37,0.0,0.0,2004-2005,/en/players/c39a5c6b/Leo-Franco,c39a5c6b,Atletico-Madrid,"3,330",37.0,1.0,0.0,48,5.0,1542,Atletico-Madrid
,Pablo Ibáñez,es ESP,DF,35,35,1.0,3.0,2004-2005,/en/players/23ca89f2/Pablo-Ibanez,23ca89f2,Atletico-Madrid,"3,150",35.0,11.0,0.0,48,1.0,2149,Atletico-Madrid
