,Player,Link,Player_name(param),Player_id(param)
67,Francisco Alberoni,/en/players/1004e28d/Francisco-Alberoni,Francisco-Alberoni,1004e28d
68,Francis Suárez,/en/players/213227f5/Francis-Suarez,Francis-Suarez,213227f5
69,﻿David García,/en/players/1250086e/David-Garcia,David-Garcia,1250086e
70,Daniel López Ramos,/en/players/915cea2d/Daniel-Lopez-Ramos,Daniel-Lopez-Ramos,915cea2d
71,Marcos Márquez,/en/players/914f774e/Marcos-Marquez,Marcos-Marquez,914f774e
72,Christian,/en/players/1d5a68fe/Christian,Christian,1d5a68fe
73,Samuel,/en/players/a7055133/Samuel,Samuel,a7055133
74,Adrián Colunga,/en/players/2212dd4e/Adrian-Colunga,Adrian-Colunga,2212dd4e
75,Sergio Suárez,/en/players/e7c64834/Sergio-Suarez,Sergio-Suarez,e7c64834
76,Roberto Santamaría,/en/players/bca21ef3/Roberto-Santamaria,Roberto-Santamaria,bca21ef3
77,Juanpa,/en/players/75ef1517/Juanpa,Juanpa,75ef1517
78,Pitu,/en/players/ed6ee013/Pitu,Pitu,ed6ee013
79,Carlos Merino,/en/players/443c8c9a/Carlos-Merino,Carlos-Merino,443c8c9a
80,Esteban González,/en/players/3b3381db/Esteban-Gonzalez,Esteban-Gonzalez,3b3381db
81,Capi,/en/players/7ba110d0/Capi,Capi,7ba110d0
82,Yuri de Souza,/en/players/75e74213/Yuri-de-Souza,Yuri-de-Souza,75e74213
83,Kenji Fukuda,/en/players/889fd1fe/Kenji-Fukuda,Kenji-Fukuda,889fd1fe
84,Juan Viyuela,/en/players/888234e9/Juan-Viyuela,Juan-Viyuela,888234e9
85,Ruymán Hernández,/en/players/4d598125/Ruyman-Hernandez,Ruyman-Hernandez,4d598125
86,Juan Manuel Azconzábal,/en/players/90336cf6/Juan-Manuel-Azconzabal,Juan-Manuel-Azconzabal,90336cf6
87,Iván Benítez,/en/players/ba34fbb2/Ivan-Benitez,Ivan-Benitez,ba34fbb2
88,Dani López,/en/players/da8aa199/Dani-Lopez,Dani-Lopez,da8aa199
89,Jorge Larena,/en/players/3de25195/Jorge-Larena,Jorge-Larena,3de25195
90,Pablo Sánchez,/en/players/8c3fe4bb/Pablo-Sanchez,Pablo-Sanchez,8c3fe4bb
91,Miguel García,/en/players/4260ce15/Miguel-Garcia,Miguel-Garcia,4260ce15
92,Saúl Berjón,/en/players/59e3e14b/Saul-Berjon,Saul-Berjon,59e3e14b
93,Gustavo,/en/players/9a555f42/Gustavo,Gustavo,9a555f42
94,Salomón Rondón,/en/players/b318a643/Salomon-Rondon,Salomon-Rondon,b318a643
95,Amaral,/en/players/f491cca7/Amaral,Amaral,f491cca7
96,Iban Iyanga,/en/players/e3985fc6/Iban-Iyanga,Iban-Iyanga,e3985fc6
97,Armiche Ortega,/en/players/1f828e72/Armiche-Ortega,Armiche-Ortega,1f828e72
98,Vicente Gómez,/en/players/cefb32b1/Vicente-Gomez,Vicente-Gomez,cefb32b1
99,Juanpe,/en/players/1633fc8a/Juanpe,Juanpe,1633fc8a
100,Álvaro Cejudo,/en/players/a39b23eb/Alvaro-Cejudo,Alvaro-Cejudo,a39b23eb
101,Stéphane Pignol,/en/players/ca3ae27c/Stephane-Pignol,Stephane-Pignol,ca3ae27c
102,Fabián Assmann,/en/players/151bb523/Fabian-Assmann,Fabian-Assmann,151bb523
103,Andrés Lamas,/en/players/4b204e6d/Andres-Lamas,Andres-Lamas,4b204e6d
104,Javi Guerrero,/en/players/bd4345ec/Javi-Guerrero,Javi-Guerrero,bd4345ec
105,Diego León,/en/players/457cdc9c/Diego-Leon,Diego-Leon,457cdc9c
106,Josico,/en/players/1d2fe5a5/Josico,Josico,1d2fe5a5
107,Antonio Guayre,/en/players/82cf603f/Antonio-Guayre,Antonio-Guayre,82cf603f
108,Pollo,/en/players/a21f9971/Pollo,Pollo,a21f9971
109,﻿Mariano Barbosa,/en/players/aad4f74f/Mariano-Barbosa,Mariano-Barbosa,aad4f74f
110,Jonathan Viera,/en/players/efa708aa/Jonathan-Viera,Jonathan-Viera,efa708aa
111,Aythami Álvarez,/en/players/3bf6578a/Aythami-Alvarez,Aythami-Alvarez,3bf6578a
112,Matías Lequi,/en/players/dd0c806c/Matias-Lequi,Matias-Lequi,dd0c806c
113,Juan Quero,/en/players/42107bed/Juan-Quero,Juan-Quero,42107bed
114,Vitolo,/en/players/db750822/Vitolo,Vitolo,db750822
115,Dani Carril,/en/players/718167d2/Dani-Carril,Dani-Carril,718167d2
116,Mauro Quiroga,/en/players/1643c897/Mauro-Quiroga,Mauro-Quiroga,1643c897
117,Edixon Perea,/en/players/4079294e/Edixon-Perea,Edixon-Perea,4079294e
118,Leonardo Borzani,/en/players/c61d56c1/Leonardo-Borzani,Leonardo-Borzani,c61d56c1
119,Hernán,/en/players/8c83efb6/Hernan,Hernan,8c83efb6
120,Tyronne,/en/players/f76bbf9c/Tyronne,Tyronne,f76bbf9c
121,﻿Javi Castellano,/en/players/dac68523/Javi-Castellano,Javi-Castellano,dac68523
122,Mariano Barbosa,/en/players/aad4f74f/Mariano-Barbosa,Mariano-Barbosa,aad4f74f
123,Diego Herner,/en/players/8fd75cd3/Diego-Herner,Diego-Herner,8fd75cd3
124,Víctor Laguardia,/en/players/b7c99b9b/Victor-Laguardia,Victor-Laguardia,b7c99b9b
125,Javier Portillo,/en/players/99058498/Javier-Portillo,Javier-Portillo,99058498
126,Enrique Corrales,/en/players/a8dbcf66/Enrique-Corrales,Enrique-Corrales,a8dbcf66
127,Roque Mesa,/en/players/7c4243d4/Roque-Mesa,Roque-Mesa,7c4243d4
128,Dani Castellano,/en/players/21d4e122/Dani-Castellano,Dani-Castellano,21d4e122
129,Raúl Lizoain,/en/players/f69e9eee/Raul-Lizoain,Raul-Lizoain,f69e9eee
130,José Artiles,/en/players/913e81fb/Jose-Artiles,Jose-Artiles,913e81fb
131,Juan Guerra,/en/players/598b47bf/Juan-Guerra,Juan-Guerra,598b47bf
132,Jeison Murillo,/en/players/b233e8e4/Jeison-Murillo,Jeison-Murillo,b233e8e4
133,Deivid,/en/players/c1c76662/Deivid,Deivid,c1c76662
134,Thievy Bifouma,/en/players/5978dc3c/Thievy-Bifouma,Thievy-Bifouma,5978dc3c
135,Macauley Chrisantus,/en/players/80d82696/Macauley-Chrisantus,Macauley-Chrisantus,80d82696
136,Javi Castellano,/en/players/dac68523/Javi-Castellano,Javi-Castellano,dac68523
137,Jesús Tato,/en/players/50e2af8c/Jesus-Tato,Jesus-Tato,50e2af8c
138,Timothée Atouba,/en/players/8c0c6e13/Timothee-Atouba,Timothee-Atouba,8c0c6e13
139,Ale Martín,/en/players/f1c6e9c2/Ale-Martin,Ale-Martin,f1c6e9c2
140,Andy Pando,/en/players/34893ff6/Andy-Pando,Andy-Pando,34893ff6
