,Player,Link,Player_id,Player_name,Nationality,Position
52,Guylain Ndumbu-Nsungu,/en/players/97b5768a/Guylain-Ndumbu-Nsungu,97b5768a,Guylain-Ndumbu-Nsungu,cd COD,FW
53,Philip Mulryne,/en/players/03bd078e/Philip-Mulryne,03bd078e,Philip-Mu,nir NIR,MF
54,Andrea Ferretti,/en/players/02a2a374/Andrea-Ferretti,02a2a374,Andrea-Ferretti,it ITA,FW
55,Stephen McPhail,/en/players/60c96516/Stephen-McPhail,60c96516,Stephen-McPhai,ie IRL,MF
56,Michael Chopra,/en/players/e8368ec0/Michael-Chopra,8368ec0,Michael-Cho,eng ENG,FW
57,Kevin McNaughton,/en/players/40a814af/Kevin-McNaughton,40a814af,Kevin-McNaughto,sct SCO,DF
58,Roger Johnson,/en/players/f6e08a82/Roger-Johnson,f6e08a82,Roger-Johnso,eng ENG,DF
59,Kerrea Gilbert,/en/players/5e6b7e33/Kerrea-Gilbert,5e6b7e33,Kerrea-Gilbert,eng ENG,DF
60,Warren Feeney,/en/players/fded2f45/Warren-Feeney,fded2f45,Warren-F,nir NIR,FW
61,Peter Whittingham,/en/players/f2286f20/Peter-Whittingham,f2286f20,Peter-Whittingham,eng ENG,MF
62,Chris Gunter,/en/players/303a53e1/Chris-Gunter,303a53e1,Chris-Gunt,wls WAL,"DF,MF"
63,James Chambers,/en/players/4f2a1eb0/James-Chambers,4f2a1eb0,James-Chamb,eng ENG,DF
64,David Forde,/en/players/806c9a3e/David-Forde,806c9a3e,David-Ford,ie IRL,GK
65,Willo Flood,/en/players/be9f7bbe/Willo-Flood,be9f7bbe,Willo-Flood,ie IRL,"DF,MF"
66,Kevin Campbell,/en/players/b209e651/Kevin-Campbell,b209e651,Kevin-Campb,eng ENG,FW
67,Malvin Kamara,/en/players/2de546d6/Malvin-Kamara,2de546d6,Malvin-Kam,sl SLE,"DF,MF"
68,Darcy Blake,/en/players/c86f0739/Darcy-Blake,c86f0739,Darcy-Blak,wls WAL,"DF,MF"
69,Jason Byrne,/en/players/b47a8b8d/Jason-Byrne,b47a8b8d,Jason-B,ie IRL,FW
70,Luigi Glombard,/en/players/b5ee0c34/Luigi-Glombard,b5ee0c34,Luigi-Glombard,fr FRA,FW
71,Matt Green,/en/players/bcfec3dd/Matt-Green,bcfec3dd,Matt-G,eng ENG,FW
72,Kevin Cooper,/en/players/5e9222c7/Kevin-Cooper,5e9222c7,Kevin-Coo,eng ENG,MF
73,Iwan Redan,/en/players/b45a5d49/Iwan-Redan,b45a5d49,Iwan-Red,nl NED,FW
74,﻿Tony Capaldi,/en/players/fca32f3b/Tony-Capaldi,fca32f3b,Tony-Capaldi,nir NIR,"DF,MF"
75,Gavin Rae,/en/players/267b20c3/Gavin-Rae,267b20c3,Gavin-R,sct SCO,MF
76,Jimmy Floyd Hasselbaink,/en/players/db8a04d1/Jimmy-Floyd-Hasselbaink,db8a04d1,Jimmy-Floyd-Hasselbaink,nl NED,FW
77,Peter Enckelman,/en/players/b50e147f/Peter-Enckelman,b50e147f,Peter-Enckelm,fi FIN,GK
78,Trevor Sinclair,/en/players/d2f7373c/Trevor-Sinclair,d2f7373c,Trevor-Sinclai,eng ENG,MF
79,Kasper Schmeichel,/en/players/53af52f3/Kasper-Schmeichel,53af52f3,Kasper-Schmeich,dk DEN,GK
80,Aaron Ramsey,/en/players/ef619b0b/Aaron-Ramsey,f619b0b,Aaron-Ram,wls WAL,MF
81,Michael Oakes,/en/players/af24b12a/Michael-Oakes,f24b12a,Michael-Oak,eng ENG,GK
82,Steven MacLean,/en/players/8e7b0ba8/Steven-MacLean,8e7b0ba8,Steven-MacL,sct SCO,FW
83,Ross Turnbull,/en/players/6db380ef/Ross-Turnbull,6db380ef,Ross-Turnbu,eng ENG,GK
84,Jonathan Brown,/en/players/4ec934f3/Jonathan-Brown,4ec934f3,Jonathan-Brow,wls WAL,"FW,MF"
85,Mark Kennedy,/en/players/9f91768b/Mark-Kennedy,9f91768b,Mark-Kenned,ie IRL,"DF,MF"
86,Jay Bothroyd,/en/players/8cdc5afd/Jay-Bothroyd,8cdc5afd,Jay-Bothroyd,eng ENG,FW
87,Ross McCormack,/en/players/ab76b835/Ross-McCormack,b76b835,Ross-McCormack,sct SCO,"FW,MF"
88,Gábor Gyepes,/en/players/9da45782/Gabor-Gyepes,9da45782,Gabor-G,hu HUN,DF
89,Tom Heaton,/en/players/a6de6361/Tom-Heaton,6de6361,Tom-Heato,eng ENG,GK
90,Miguel Comminges,/en/players/53a48689/Miguel-Comminges,53a48689,Miguel-Comming,gp GLP,DF
91,Wayne Routledge,/en/players/1d387eee/Wayne-Routledge,1d387eee,Wayne-Routledg,eng ENG,"FW,MF"
92,Chris Burke,/en/players/f11919e9/Chris-Burke,f11919e9,Chris-Burk,sct SCO,"FW,MF"
93,Stuart Taylor,/en/players/30871c08/Stuart-Taylor,30871c08,Stuart-Taylo,eng ENG,GK
94,Dimitrios Konstantopoulos,/en/players/05778dfe/Dimitrios-Konstantopoulos,05778dfe,Dimitrios-Konstantopoulo,gr GRE,GK
95,Eddie Johnson,/en/players/3552c7f5/Eddie-Johnson,3552c7f5,Eddie-Johnso,us USA,FW
96,Quincy Owusu-Abeyie,/en/players/a1d1f404/Quincy-Owusu-Abeyie,1d1f404,Quincy-Owusu-Abeyi,gh GHA,"FW,MF"
97,﻿David Marshall,/en/players/4d93d433/David-Marshall,4d93d433,David-Marsh,sct SCO,GK
98,Anthony Gerrard,/en/players/2f70ec31/Anthony-Gerrard,2f70ec31,Anthony-Gerrard,ie IRL,DF
99,Mark Hudson,/en/players/e4e3de44/Mark-Hudson,4e3de44,Mark-Hudso,eng ENG,DF
100,Adam Matthews,/en/players/d8bffa70/Adam-Matthews,d8bffa70,Adam-Matthew,wls WAL,"DF,MF"
101,Paul Quinn,/en/players/eee494fb/Paul-Quinn,494fb,Paul-Qui,sct SCO,DF
102,Kelvin Etuhu,/en/players/803e286e/Kelvin-Etuhu,803e286e,Kelvin-Etuhu,ng NGA,"FW,MF"
103,Aaron Wildig,/en/players/38f0d94d/Aaron-Wildig,38f0d94d,Aaron-Wildig,wls WAL,MF
104,Solomon Taiwo,/en/players/ff65f197/Solomon-Taiwo,ff65f197,Solomon-Taiwo,ng NGA,MF
105,Aaron Morris,/en/players/256a3bdd/Aaron-Morris,256a3bdd,Aaron-Morri,wls WAL,"DF,MF"
106,Seyi Olofinjana,/en/players/d9ad4d20/Seyi-Olofinjana,d9ad4d20,Seyi-Olofinj,ng NGA,MF
