Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
91,Chris Lucketti,/en/players/50db99da/Chris-Lucketti,50db99da,Chris-Lucketti,eng ENG,DF,Southampton
92,Michael Poke,/en/players/6fc41e28/Michael-Poke,6fc41e28,Michael-Pok,eng ENG,GK,Southampton
93,Vincent Péricard,/en/players/c6fd72ac/Vincent-Pericard,c6fd72ac,Vincent-Pericard,fr FRA,FW,Southampton
94,Ian Pearce,/en/players/3537c18f/Ian-Pearce,3537c18f,Ian-Pearc,eng ENG,DF,Southampton
95,Simon Gillett,/en/players/bca7dcf7/Simon-Gillett,bca7dcf7,Simon-Gillett,eng ENG,MF,Southampton
96,Stephen O'Halloran,/en/players/0a1afeaf/Stephen-OHalloran,0a1afeaf,Stephen-OHallo,ie IRL,DF,Southampton
97,Cédric Baseya,/en/players/401edc9f/Cedric-Baseya,401edc9f,Cedric-B,cd COD,FW,Southampton
98,Lloyd James,/en/players/68927d5e/Lloyd-James,68927d5e,Lloyd-Jam,wls WAL,"DF,MF",Southampton
99,Morgan Schneiderlin,/en/players/51b41c5c/Morgan-Schneiderlin,51b41c5c,Morgan-Schneiderli,fr FRA,MF,Southampton
100,Jack Cork,/en/players/74e12f1e/Jack-Cork,74e12f1e,Jack-Cork,eng ENG,"DF,MF",Southampton
101,Jan-Paul Saeijs,/en/players/735548f4/Jan-Paul-Saeijs,735548f4,Jan-Paul-Saeij,nl NED,DF,Southampton
102,Paul Wotton,/en/players/4400ed77/Paul-Wotton,4400ed77,Paul-Wotto,eng ENG,"DF,MF",Southampton
103,Lee Holmes,/en/players/8129ba96/Lee-Holmes,8129ba96,Lee-Holm,eng ENG,MF,Southampton
104,Olly Lancashire,/en/players/fae0e3e3/Olly-Lancashire,fae0e3e3,Olly-Lancashi,eng ENG,DF,Southampton
105,Jordan Robertson,/en/players/69941afb/Jordan-Robertson,69941afb,Jordan-Robertso,eng ENG,FW,Southampton
106,Ryan Smith,/en/players/0769f566/Ryan-Smith,0769f566,Ryan-Smith,eng ENG,"FW,MF",Southampton
107,Alex Pearce,/en/players/66e0514a/Alex-Pearce,66e0514a,Alex-Pearc,ie IRL,"DF,MF",Southampton
108,Joseph Mills,/en/players/7f725b83/Joseph-Mills,7f725b83,Joseph-Mi,eng ENG,"DF,MF",Southampton
109,Jake Thomson,/en/players/62b6e88f/Jake-Thomson,62b6e88f,Jake-Thomso,tt TRI,MF,Southampton
110,Oscar Gobern,/en/players/a69d4228/Oscar-Gobern,69d4228,Oscar-Gob,eng ENG,"DF,MF",Southampton
111,Lee Molyneux,/en/players/eda627e3/Lee-Molyneux,da627e3,Lee-Molyneux,eng ENG,"DF,MF",Southampton
112,Jamie White,/en/players/c96d7084/Jamie-White,c96d7084,Jamie-Whit,eng ENG,FW,Southampton
113,Matt Paterson,/en/players/72dbe935/Matt-Paterson,72dbe935,Matt-Paterso,sct SCO,FW,Southampton
114,Kayne McLaggon,/en/players/bdf6b6f1/Kayne-McLaggon,bdf6b6f1,Kayne-McLaggo,wls WAL,FW,Southampton
115,Romain Gasmi,/en/players/b34f320f/Romain-Gasmi,b34f320f,Romain-Gasmi,fr FRA,"FW,MF",Southampton
116,Zoltán Lipták,/en/players/60e7727e/Zoltan-Liptak,60e7727e,Zoltan-Liptak,hu HUN,DF,Southampton
117,﻿Rickie Lambert,/en/players/495de82c/Rickie-Lambert,495de82c,Rickie-Lambert,eng ENG,FW,Southampton
118,Dan Harding,/en/players/f0ccb090/Dan-Harding,f0ccb090,Dan-Harding,eng ENG,DF,Southampton
119,Dean Hammond,/en/players/577c12e5/Dean-Hammond,577c12e5,Dean-Hammond,eng ENG,MF,Southampton
120,Radhi Jaïdi,/en/players/8ff60fb9/Radhi-Jaidi,8ff60fb9,Radhi-Jaidi,tn TUN,DF,Southampton
121,José Fonte,/en/players/90f87966/Jose-Fonte,90f87966,Jose-Font,pt POR,DF,Southampton
122,Jason Puncheon,/en/players/fd3f57ce/Jason-Puncheon,fd3f57ce,Jason-Puncheo,eng ENG,MF,Southampton
123,Jon Otsemobor,/en/players/9ced37b6/Jon-Otsemobor,9ced37b6,Jon-Otsemobo,eng ENG,DF,Southampton
124,Neal Trotman,/en/players/fb088309/Neal-Trotman,fb088309,Neal-Trotm,eng ENG,DF,Southampton
125,Michail Antonio,/en/players/ac05f970/Michail-Antonio,c05f970,Michail-Antonio,jm JAM,"FW,MF",Southampton
126,Lee Barnard,/en/players/fceb93cc/Lee-Barnard,fceb93cc,Lee-Barnard,eng ENG,FW,Southampton
127,Papa Waigo,/en/players/edbc11d2/Papa-Waigo,dbc11d2,Papa-Waigo,sn SEN,"FW,MF",Southampton
128,Danny Seaborne,/en/players/dc65ba1e/Danny-Seaborne,dc65ba1e,Danny-Seabo,eng ENG,DF,Southampton
129,David Connolly,/en/players/3783ae20/David-Connolly,3783ae20,David-Conno,ie IRL,FW,Southampton
130,Jacob Mellis,/en/players/827c05db/Jacob-Mellis,827c05db,Jacob-Melli,eng ENG,MF,Southampton
131,Aaron Martin,/en/players/2b118830/Aaron-Martin,2b118830,Aaron-Marti,eng ENG,DF,Southampton
132,Callum McNish,/en/players/e0ba95e9/Callum-McNish,0ba95e9,Callum-McNish,eng ENG,MF,Southampton
133,Alex Oxlade-Chamberlain,/en/players/38c7feef/Alex-Oxlade-Chamberlain,38c7feef,Alex-Oxlade-Chamberlai,eng ENG,MF,Southampton
134,Danny Butterfield,/en/players/d0ef7f30/Danny-Butterfield,d0ef7f30,Danny-Butterfield,eng ENG,"DF,MF",Southampton
135,Guly do Prado,/en/players/3ed6e788/Guly-do-Prado,3ed6e788,Guly-do-Prado,br BRA,"FW,MF",Southampton
136,Ryan Dickson,/en/players/1eb7cac1/Ryan-Dickson,1eb7cac1,Ryan-Dickso,eng ENG,"DF,MF",Southampton
137,Frazer Richardson,/en/players/4b3d3a68/Frazer-Richardson,4b3d3a68,Frazer-Richardso,eng ENG,DF,Southampton
138,Dany N'Guessan,/en/players/b315c9be/Dany-NGuessan,b315c9be,Dany-NGu,fr FRA,"FW,MF",Southampton
139,Jonathan Forte,/en/players/203d94d6/Jonathan-Forte,203d94d6,Jonathan-Fort,bb BRB,"FW,MF",Southampton
140,Nicholas Bignall,/en/players/d573502e/Nicholas-Bignall,d573502e,Nicholas-Big,eng ENG,FW,Southampton
141,Jos Hooiveld,/en/players/f544a6ab/Jos-Hooiveld,f544a6ab,Jos-Hooiveld,nl NED,"DF,MF",Southampton
142,Danny Fox,/en/players/857ec97f/Danny-Fox,857ec97f,Danny-Fox,sct SCO,"DF,MF",Southampton
143,Billy Sharp,/en/players/e8c9f4e9/Billy-Sharp,8c9f4e9,Billy-Sh,eng ENG,FW,Southampton
144,Steve De Ridder,/en/players/7561b81d/Steve-De-Ridder,7561b81d,Steve-De-Ridd,be BEL,"FW,MF",Southampton
145,Tadanari Lee,/en/players/be7ddaaf/Tadanari-Lee,be7ddaaf,Tadanari-L,jp JPN,FW,Southampton
146,Iago Falque,/en/players/440c84ed/Iago-Falque,440c84ed,Iago-Falqu,es ESP,"FW,MF",Southampton
147,Ben Reeves,/en/players/4db1f85d/Ben-Reeves,4db1f85d,Ben-Reev,nir NIR,MF,Southampton
148,Nathaniel Clyne,/en/players/0442183b/Nathaniel-Clyne,0442183b,Nathaniel-C,eng ENG,DF,Southampton
149,Maya Yoshida,/en/players/caffaf5a/Maya-Yoshida,caffaf5a,Maya-Yoshid,jp JPN,DF,Southampton
150,Jay Rodriguez,/en/players/4ab53cdb/Jay-Rodriguez,4ab53cdb,Jay-Rodriguez,eng ENG,"FW,MF",Southampton
151,Steven Davis,/en/players/cf15bbb1/Steven-Davis,cf15bbb1,Steven-Davi,nir NIR,MF,Southampton
152,Luke Shaw,/en/players/9c94165b/Luke-Shaw,9c94165b,Luke-Shaw,eng ENG,"DF,MF",Southampton
153,Artur Boruc,/en/players/34ccf6fa/Artur-Boruc,34ccf6fa,Artur-Boruc,pl POL,GK,Southampton
154,Gastón Ramírez,/en/players/2c851997/Gaston-Ramirez,2c851997,Gaston-Ramirez,uy URU,"FW,MF",Southampton
155,Paulo Gazzaniga,/en/players/63d17038/Paulo-Gazzaniga,63d17038,Paulo-Gazzanig,ar ARG,GK,Southampton
156,James Ward-Prowse,/en/players/3515d404/James-Ward-Prowse,3515d404,James-Ward-Prow,eng ENG,MF,Southampton
157,Emmanuel Mayuka,/en/players/126fd532/Emmanuel-Mayuka,126fd532,Emmanuel-Mayuk,zm ZAM,FW,Southampton
158,Dejan Lovren,/en/players/1a2935f6/Dejan-Lovren,1a2935f6,Dejan-Lov,hr CRO,DF,Southampton
159,Victor Wanyama,/en/players/e0900238/Victor-Wanyama,0900238,Victor-Wanyam,ke KEN,MF,Southampton
160,Calum Chambers,/en/players/dc6f5bdd/Calum-Chambers,dc6f5bdd,Calum-Chamb,eng ENG,"DF,MF",Southampton
161,Dani Osvaldo,/en/players/3f0eba4f/Dani-Osvaldo,3f0eba4f,Dani-Osvaldo,it ITA,FW,Southampton
162,Sam Gallagher,/en/players/44361ade/Sam-Gallagher,44361ade,Sam-Gallagh,eng ENG,"FW,MF",Southampton
163,Harrison Reed,/en/players/803ae100/Harrison-Reed,803ae100,Harrison-Reed,eng ENG,MF,Southampton
164,Graziano Pellè,/en/players/9654d8de/Graziano-Pelle,9654d8de,Graziano-P,it ITA,FW,Southampton
