Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿James Beattie,eng ENG,FW,38,35,2.0,23.0,2002-2003,7c881089,Southampton,"3,198",35.5,3.0,0.0,126.0,6.0,,Southampton
,Fabrice Fernandes,fr FRA,MF,37,35,3.0,3.0,2002-2003,9838d388,Southampton,"2,972",33.0,3.0,0.0,126.0,4.0,6741.0,Southampton
,Wayne Bridge,eng ENG,DF,34,34,2.0,1.0,2002-2003,86b982bc,Southampton,"3,050",33.9,6.0,0.0,126.0,6.0,,Southampton
,Michael Svensson,se SWE,DF,34,33,1.0,2.0,2002-2003,123a0e8f,Southampton,"3,016",33.5,4.0,1.0,126.0,41.0,6742.0,Southampton
,Claus Lundekvam,no NOR,DF,33,33,0.0,0.0,2002-2003,22de8419,Southampton,"2,907",32.3,0.0,0.0,126.0,21.0,6743.0,Southampton
,Chris Marsden,eng ENG,MF,30,30,3.0,1.0,2002-2003,c1f59bed,Southampton,"2,637",29.3,8.0,0.0,126.0,6.0,6744.0,Southampton
,Matt Oakley,eng ENG,MF,31,28,3.0,0.0,2002-2003,79974582,Southampton,"2,508",27.9,2.0,0.0,126.0,6.0,6745.0,Southampton
,Paul Telfer,sct SCO,"DF,MF",32,26,0.0,0.0,2002-2003,7b3990c5,Southampton,"2,388",26.5,3.0,0.0,126.0,67.0,6746.0,Southampton
,Anders Svensson,se SWE,MF,33,26,3.0,2.0,2002-2003,2c29fd2a,Southampton,"2,220",24.7,3.0,0.0,126.0,41.0,6747.0,Southampton
,Antti Niemi,fi FIN,GK,25,25,0.0,0.0,2002-2003,79c3c101,Southampton,"2,246",25.0,0.0,0.0,126.0,83.0,6748.0,Southampton
,Rory Delap,ie IRL,MF,24,22,1.0,0.0,2002-2003,9b0dac73,Southampton,"1,899",21.1,4.0,0.0,126.0,99.0,6749.0,Southampton
,Brett Ormerod,eng ENG,FW,31,22,4.0,5.0,2002-2003,fde1ce8d,Southampton,"1,765",19.6,3.0,0.0,126.0,6.0,6750.0,Southampton
,Paul Jones,wls WAL,GK,14,13,0.0,0.0,2002-2003,3bf1ce9d,Southampton,"1,174",13.0,0.0,0.0,126.0,18.0,6751.0,Southampton
,Jason Dodd,eng ENG,DF,15,13,1.0,0.0,2002-2003,df15c7a1,Southampton,"1,140",12.7,1.0,0.0,126.0,6.0,6752.0,Southampton
,Paul Williams,eng ENG,DF,12,10,0.0,0.0,2002-2003,651f09cc,Southampton,899,10.0,3.0,1.0,126.0,6.0,6753.0,Southampton
,Jo Tessem,no NOR,MF,27,9,0.0,2.0,2002-2003,32290355,Southampton,"1,107",12.3,0.0,0.0,126.0,21.0,6754.0,Southampton
,David Prutton,eng ENG,MF,12,9,0.0,0.0,2002-2003,7123fdc0,Southampton,888,9.9,2.0,0.0,126.0,6.0,6755.0,Southampton
,Marians Pahars,lv LVA,"FW,MF",9,5,0.0,1.0,2002-2003,bc95c25d,Southampton,458,5.1,1.0,1.0,126.0,66.0,6756.0,Southampton
,Danny Higginbotham,gi GIB,DF,9,3,0.0,0.0,2002-2003,688135a1,Southampton,379,4.2,0.0,0.0,126.0,134.0,6757.0,Southampton
,Agustín Delgado,ec ECU,FW,6,2,0.0,1.0,2002-2003,8d08004,Southampton,184,2.0,0.0,0.0,126.0,61.0,6758.0,Southampton
,Francis Benali,eng ENG,DF,2,2,0.0,0.0,2002-2003,91950851,Southampton,180,2.0,1.0,0.0,126.0,6.0,6759.0,Southampton
,Chris Baird,nir NIR,"DF,MF",3,1,0.0,0.0,2002-2003,55fd8c81,Southampton,157,1.7,0.0,0.0,126.0,121.0,6760.0,Southampton
,Kevin Davies,eng ENG,FW,9,1,0.0,1.0,2002-2003,2f726a89,Southampton,150,1.7,0.0,0.0,126.0,6.0,6761.0,Southampton
,Garry Monk,eng ENG,DF,1,1,,0.0,2002-2003,70de3a4,Southampton,65,0.7,0.0,0.0,126.0,6.0,6762.0,Southampton
,Andrei Kanchelskis,xc CIS,"DF,MF",1,0,0.0,0.0,2002-2003,82fa1e78,Southampton,34,0.4,0.0,0.0,126.0,118.0,6763.0,Southampton
,﻿James Beattie,eng ENG,FW,36,32,6.0,14.0,2003-2004,7c881089,Southampton,"2,957",32.9,3.0,0.0,126.0,6.0,,Southampton
,Claus Lundekvam,no NOR,DF,31,31,2.0,1.0,2003-2004,22de8419,Southampton,"2,517",28.0,2.0,0.0,126.0,21.0,6743.0,Southampton
,Paul Telfer,sct SCO,"DF,MF",33,28,2.0,0.0,2003-2004,7b3990c5,Southampton,"2,855",31.7,3.0,0.0,126.0,67.0,6746.0,Southampton
,Kevin Phillips,eng ENG,FW,34,28,3.0,13.0,2003-2004,23d97ca1,Southampton,"2,594",28.8,2.0,1.0,126.0,6.0,,Southampton
,Antti Niemi,fi FIN,GK,28,28,0.0,0.0,2003-2004,79c3c101,Southampton,"2,520",28.0,1.0,0.0,126.0,83.0,6748.0,Southampton
,Jason Dodd,eng ENG,DF,28,27,3.0,1.0,2003-2004,df15c7a1,Southampton,"2,372",26.4,2.0,0.0,126.0,6.0,6752.0,Southampton
,Michael Svensson,se SWE,DF,26,26,1.0,2.0,2003-2004,123a0e8f,Southampton,"2,336",26.0,7.0,1.0,126.0,41.0,6742.0,Southampton
,Rory Delap,ie IRL,MF,27,26,2.0,1.0,2003-2004,9b0dac73,Southampton,"2,180",24.2,1.0,0.0,126.0,99.0,6749.0,Southampton
,Danny Higginbotham,gi GIB,DF,27,24,0.0,0.0,2003-2004,688135a1,Southampton,"2,286",25.4,3.0,0.0,126.0,134.0,6757.0,Southampton
,David Prutton,eng ENG,MF,26,21,2.0,1.0,2003-2004,7123fdc0,Southampton,"1,960",21.8,4.0,1.0,126.0,6.0,6755.0,Southampton
,Fabrice Fernandes,fr FRA,MF,27,21,2.0,1.0,2003-2004,9838d388,Southampton,"1,760",19.6,2.0,0.0,126.0,4.0,6741.0,Southampton
,Graeme Le Saux,eng ENG,DF,19,19,1.0,0.0,2003-2004,0bd42c09,Southampton,"1,562",17.4,4.0,0.0,126.0,6.0,,Southampton
,Anders Svensson,se SWE,MF,30,17,2.0,0.0,2003-2004,2c29fd2a,Southampton,"1,523",16.9,6.0,0.0,126.0,41.0,6747.0,Southampton
,Brett Ormerod,eng ENG,FW,22,14,0.0,5.0,2003-2004,fde1ce8d,Southampton,"1,202",13.4,1.0,0.0,126.0,6.0,6750.0,Southampton
,Chris Marsden,eng ENG,MF,13,9,1.0,0.0,2003-2004,c1f59bed,Southampton,856,9.5,4.0,0.0,126.0,6.0,6744.0,Southampton
,Yoann Folly,tg TOG,MF,9,9,0.0,0.0,2003-2004,8dfe153d,Southampton,810,9.0,1.0,0.0,126.0,109.0,6764.0,Southampton
,Neil McCann,sct SCO,MF,18,9,0.0,0.0,2003-2004,01ba4d73,Southampton,798,8.9,4.0,0.0,126.0,67.0,6765.0,Southampton
,Fitz Hall,eng ENG,"DF,FW",11,7,0.0,0.0,2003-2004,f799f31c,Southampton,750,8.3,0.0,0.0,126.0,6.0,,Southampton
,Matt Oakley,eng ENG,MF,7,7,1.0,0.0,2003-2004,79974582,Southampton,630,7.0,2.0,0.0,126.0,6.0,6745.0,Southampton
,Marians Pahars,lv LVA,"FW,MF",14,6,1.0,2.0,2003-2004,bc95c25d,Southampton,584,6.5,0.0,0.0,126.0,66.0,6756.0,Southampton
,Stephen Crainey,sct SCO,DF,5,5,1.0,0.0,2003-2004,2f6dd6a3,Southampton,440,4.9,0.0,0.0,126.0,67.0,6766.0,Southampton
,Darren Kenton,eng ENG,DF,7,3,0.0,0.0,2003-2004,93040d46,Southampton,363,4.0,0.0,0.0,126.0,6.0,6767.0,Southampton
,Alan Blayney,nir NIR,GK,2,2,0.0,0.0,2003-2004,16c7a4a9,Southampton,180,2.0,0.0,0.0,126.0,121.0,6768.0,Southampton
,Léandre Griffit,fr FRA,"FW,MF",5,2,0.0,2.0,2003-2004,cecd7a6a,Southampton,149,1.7,0.0,0.0,126.0,4.0,6769.0,Southampton
,Chris Baird,nir NIR,"DF,MF",4,1,0.0,0.0,2003-2004,55fd8c81,Southampton,192,2.1,1.0,0.0,126.0,121.0,6760.0,Southampton
,Jo Tessem,no NOR,MF,3,1,0.0,0.0,2003-2004,32290355,Southampton,98,1.1,0.0,0.0,126.0,21.0,6754.0,Southampton
,Agustín Delgado,ec ECU,FW,4,0,0.0,0.0,2003-2004,8d08004,Southampton,54,0.6,0.0,0.0,126.0,61.0,6758.0,Southampton
,﻿Rory Delap,ie IRL,MF,37,34,4.0,2.0,2004-2005,9b0dac73,Southampton,"3,028",33.6,5.0,0.0,126.0,99.0,6749.0,Southampton
,Claus Lundekvam,no NOR,DF,34,33,0.0,0.0,2004-2005,22de8419,Southampton,"3,015",33.5,4.0,0.0,126.0,21.0,6743.0,Southampton
,Antti Niemi,fi FIN,GK,28,28,0.0,0.0,2004-2005,79c3c101,Southampton,"2,436",27.1,0.0,0.0,126.0,83.0,6748.0,Southampton
,Paul Telfer,sct SCO,"DF,MF",30,26,2.0,0.0,2004-2005,7b3990c5,Southampton,"2,440",27.1,2.0,0.0,126.0,67.0,6746.0,Southampton
,Andreas Jakobsson,se SWE,"DF,MF",27,24,0.0,2.0,2004-2005,4fa47ef0,Southampton,"2,031",22.6,1.0,0.0,126.0,41.0,6770.0,Southampton
,Graeme Le Saux,eng ENG,DF,25,24,3.0,1.0,2004-2005,0bd42c09,Southampton,"1,932",21.5,2.0,0.0,126.0,6.0,,Southampton
,Kevin Phillips,eng ENG,FW,30,21,1.0,10.0,2004-2005,23d97ca1,Southampton,"2,085",23.2,4.0,0.0,126.0,6.0,,Southampton
,Anders Svensson,se SWE,MF,30,21,0.0,4.0,2004-2005,2c29fd2a,Southampton,"2,018",22.4,0.0,0.0,126.0,41.0,6747.0,Southampton
,Danny Higginbotham,gi GIB,DF,21,20,0.0,1.0,2004-2005,688135a1,Southampton,"1,807",20.1,0.0,0.0,126.0,134.0,6757.0,Southampton
,David Prutton,eng ENG,MF,23,19,2.0,2.0,2004-2005,7123fdc0,Southampton,"1,687",18.7,7.0,1.0,126.0,6.0,6755.0,Southampton
,Peter Crouch,eng ENG,FW,27,18,6.0,12.0,2004-2005,73d9bdc7,Southampton,"1,790",19.9,1.0,1.0,126.0,6.0,,Southampton
,Jamie Redknapp,eng ENG,MF,16,16,3.0,,2004-2005,c337443d,Southampton,"1,440",16.0,5.0,,126.0,6.0,6771.0,Southampton
,Fabrice Fernandes,fr FRA,MF,16,14,4.0,0.0,2004-2005,9838d388,Southampton,"1,111",12.3,0.0,0.0,126.0,4.0,6741.0,Southampton
,Nigel Quashie,sct SCO,MF,13,13,,1.0,2004-2005,9b9a2d62,Southampton,"1,170",13.0,1.0,0.0,126.0,67.0,6772.0,Southampton
,Olivier Bernard,fr FRA,DF,13,12,1.0,0.0,2004-2005,14778f2,Southampton,"1,106",12.3,3.0,0.0,126.0,4.0,,Southampton
,Mikael Nilsson,se SWE,"DF,MF",16,12,1.0,0.0,2004-2005,28c3714e,Southampton,"1,029",11.4,0.0,0.0,126.0,41.0,6773.0,Southampton
,James Beattie,eng ENG,FW,11,11,1.0,3.0,2004-2005,7c881089,Southampton,808,9.0,0.0,0.0,126.0,6.0,,Southampton
,Henri Camara,sn SEN,FW,13,10,1.0,4.0,2004-2005,b2b48ae0,Southampton,910,10.1,2.0,0.0,126.0,34.0,6774.0,Southampton
,Darren Kenton,eng ENG,DF,9,9,0.0,0.0,2004-2005,93040d46,Southampton,792,8.8,3.0,0.0,126.0,6.0,6767.0,Southampton
,Dexter Blackstock,ag ATG,FW,9,8,0.0,1.0,2004-2005,803907c3,Southampton,680,7.6,1.0,0.0,126.0,135.0,6775.0,Southampton
,Matt Oakley,eng ENG,MF,7,6,1.0,1.0,2004-2005,79974582,Southampton,420,4.7,0.0,0.0,126.0,6.0,6745.0,Southampton
,Neil McCann,sct SCO,MF,11,5,2.0,0.0,2004-2005,01ba4d73,Southampton,580,6.4,3.0,0.0,126.0,67.0,6765.0,Southampton
,Paul Smith,eng ENG,GK,6,5,0.0,0.0,2004-2005,51551bec,Southampton,535,5.9,0.0,0.0,126.0,6.0,6776.0,Southampton
,Calum Davenport,eng ENG,DF,7,5,0.0,0.0,2004-2005,8f59901c,Southampton,501,5.6,0.0,0.0,126.0,6.0,6777.0,Southampton
,Brett Ormerod,eng ENG,FW,9,5,0.0,0.0,2004-2005,fde1ce8d,Southampton,440,4.9,1.0,0.0,126.0,6.0,6750.0,Southampton
,Jelle Van Damme,be BEL,"DF,MF",6,4,0.0,0.0,2004-2005,406eb232,Southampton,391,4.3,0.0,0.0,126.0,27.0,6778.0,Southampton
,Jason Dodd,eng ENG,DF,5,4,1.0,0.0,2004-2005,df15c7a1,Southampton,367,4.1,0.0,0.0,126.0,6.0,6752.0,Southampton
,Kasey Keller,us USA,GK,4,4,0.0,0.0,2004-2005,5b5bcd83,Southampton,360,4.0,0.0,0.0,126.0,75.0,6779.0,Southampton
,Martin Cranie,eng ENG,DF,3,3,0.0,0.0,2004-2005,9e53837d,Southampton,270,3.0,0.0,0.0,126.0,6.0,6780.0,Southampton
,Yoann Folly,tg TOG,MF,3,1,,0.0,2004-2005,8dfe153d,Southampton,129,1.4,0.0,0.0,126.0,109.0,6764.0,Southampton
,Alan Blayney,nir NIR,GK,1,1,0.0,0.0,2004-2005,16c7a4a9,Southampton,90,1.0,0.0,0.0,126.0,121.0,6768.0,Southampton
,Michael Svensson,se SWE,DF,1,1,,0.0,2004-2005,123a0e8f,Southampton,90,1.0,0.0,0.0,126.0,41.0,6742.0,Southampton
,Leon Best,ie IRL,FW,2,1,,0.0,2004-2005,0780ab75,Southampton,78,0.9,0.0,0.0,126.0,99.0,,Southampton
,Kenwyne Jones,tt TRI,FW,2,1,,0.0,2004-2005,5f3b634e,Southampton,47,0.5,0.0,0.0,126.0,123.0,6781.0,Southampton
,Léandre Griffit,fr FRA,"FW,MF",2,0,,0.0,2004-2005,cecd7a6a,Southampton,34,0.4,0.0,0.0,126.0,4.0,6769.0,Southampton
,﻿Danny Higginbotham,gi GIB,DF,37,37,1.0,3.0,2005-2006,688135a1,Southampton,"3,330",37.0,3.0,0.0,126.0,134.0,6757.0,Southampton
,Claus Lundekvam,no NOR,DF,34,34,0.0,1.0,2005-2006,22de8419,Southampton,"2,957",32.9,3.0,1.0,126.0,21.0,6743.0,Southampton
,Matt Oakley,eng ENG,MF,29,29,2.0,2.0,2005-2006,79974582,Southampton,"2,525",28.1,2.0,0.0,126.0,6.0,6745.0,Southampton
,Antti Niemi,fi FIN,GK,25,25,0.0,0.0,2005-2006,79c3c101,Southampton,"2,250",25.0,1.0,0.0,126.0,83.0,6748.0,Southampton
