,Player,Link,Player_id,Player_name,Nationality,Position
56,Lorenzo Del Prete,/en/players/fd45acf8/Lorenzo-Del-Prete,fd45acf8,Lorenzo-Del-Pret,it ITA,DF
57,Simone Basso,/en/players/6adafb54/Simone-Basso,6adafb54,Simone-Basso,it ITA,"FW,MF"
58,Caetano Calil,/en/players/1c79aee4/Caetano-Calil,1c79aee4,Caetano-Cali,br BRA,"FW,MF"
59,Francesco Bolzoni,/en/players/96819ccd/Francesco-Bolzoni,96819ccd,Francesco-Bolzoni,it ITA,MF
60,Fabio Mazzeo,/en/players/9ed034b3/Fabio-Mazzeo,9ed034b3,Fabio-Mazzeo,it ITA,FW
61,Daniel Semenzato,/en/players/2ebfc410/Daniel-Semenzato,2ebfc410,Daniel-Semenzato,it ITA,"DF,MF"
62,Roberto Stellone,/en/players/72f23b97/Roberto-Stellone,72f23b97,Roberto-Stello,it ITA,FW
63,Salvatore Aurelio,/en/players/9902c1bf/Salvatore-Aurelio,9902c1bf,Salvatore-Aurelio,it ITA,FW
64,Jefferson,/en/players/0390efc9/Jefferson,0390efc9,Jefferso,br BRA,FW
65,Andrea La Mantia,/en/players/c375dfa5/Andrea-La-Mantia,c375dfa5,Andrea-La-Manti,it ITA,FW
66,﻿Fabio Catacchini,/en/players/a9ab7280/Fabio-Catacchini,9ab7280,Fabio-Catacchini,it ITA,"DF,MF"
67,Emanuele Terranova,/en/players/8d408687/Emanuele-Terranova,8d408687,Emanuele-Terranov,it ITA,DF
68,Davide Bottone,/en/players/862109b3/Davide-Bottone,862109b3,Davide-Botto,it ITA,MF
69,Gianluca Sansone,/en/players/838a54e7/Gianluca-Sansone,838a54e7,Gianluca-Sanso,it ITA,FW
70,Alberto Frison,/en/players/5abbec5f/Alberto-Frison,5abbec5f,Alberto-Friso,it ITA,GK
71,Manolo Pestrin,/en/players/e0ac1bf9/Manolo-Pestrin,0ac1bf9,Manolo-Pestri,it ITA,MF
72,Sebastien De Maio,/en/players/952a03fe/Sebastien-De-Maio,952a03fe,Sebastien-De-Maio,fr FRA,DF
73,Simone Grippo,/en/players/8f2d246e/Simone-Grippo,8f2d246e,Simone-Grippo,ch SUI,"DF,MF"
74,Mauro Minelli,/en/players/244ab1b2/Mauro-Minelli,244ab1b2,Mauro-Minelli,it ITA,DF
75,Alain Baclet,/en/players/572ba687/Alain-Baclet,572ba687,Alain-Baclet,fr FRA,FW
76,Gianluigi Bianco,/en/players/6dbf6166/Gianluigi-Bianco,6dbf6166,Gianluigi-Bianco,it ITA,DF
77,Selim Ben Djemia,/en/players/bd9bf613/Selim-Ben-Djemia,bd9bf613,Selim-Ben-Djemi,tn TUN,DF
78,Cristian Cesaretti,/en/players/8a8424c0/Cristian-Cesaretti,8a8424c0,Cristian-Cesaretti,it ITA,FW
79,Nicola Beati,/en/players/a7245dc9/Nicola-Beati,7245dc9,Nicola-Beati,it ITA,MF
80,Samuel Di Carmine,/en/players/ef94dc2f/Samuel-Di-Carmine,f94dc2f,Samuel-Di-Carmi,it ITA,FW
81,Dario Biasi,/en/players/fe2bfd19/Dario-Biasi,fe2bfd19,Dario-Biasi,it ITA,DF
82,Francesco Di Tacchio,/en/players/b5c3ff9f/Francesco-Di-Tacchio,b5c3ff9f,Francesco-Di-Tacchio,it ITA,"FW,MF"
83,Gianmarco Zigoni,/en/players/a37ed655/Gianmarco-Zigoni,37ed655,Gianmarco-Zigoni,it ITA,FW
84,Leandro Campagna,/en/players/15706e8c/Leandro-Campagna,15706e8c,Leandro-Campag,it ITA,FW
85,﻿Daniel Ciofani,/en/players/b09a3ecc/Daniel-Ciofani,b09a3ecc,Daniel-Ciofani,it ITA,FW
86,Leonardo Blanchard,/en/players/7359f559/Leonardo-Blanchard,7359f559,Leonardo-Blanchard,it ITA,DF
87,Federico Dionisi,/en/players/a74d2999/Federico-Dionisi,74d2999,Federico-Dionisi,it ITA,FW
88,Roberto Crivello,/en/players/1e092d9c/Roberto-Crivello,1e092d9c,Roberto-Crivello,it ITA,DF
89,Damiano Zanon,/en/players/3f0adc44/Damiano-Zanon,3f0adc44,Damiano-Zano,it ITA,DF
90,Mirko Gori,/en/players/7d86864c/Mirko-Gori,7d86864c,Mirko-Gori,it ITA,MF
91,Danilo Soddimo,/en/players/098139eb/Danilo-Soddimo,098139eb,Danilo-Soddimo,it ITA,MF
92,Matteo Ciofani,/en/players/d9448e6b/Matteo-Ciofani,d9448e6b,Matteo-Ciofani,it ITA,"DF,MF"
93,Luca Paganini,/en/players/e5b98a70/Luca-Paganini,5b98a70,Luca-Paganini,it ITA,"FW,MF"
94,Adriano Russo,/en/players/3ace4299/Adriano-Russo,3ace4299,Adriano-Russo,it ITA,DF
95,Mirko Pigliacelli,/en/players/6ab82588/Mirko-Pigliacelli,6ab82588,Mirko-Pigliacelli,it ITA,GK
96,Alessandro Frara,/en/players/9ad115ba/Alessandro-Frara,9ad115ba,Alessandro-F,it ITA,MF
97,Raffaele Schiavi,/en/players/9c9b074a/Raffaele-Schiavi,9c9b074a,Raffaele-Schiavi,it ITA,DF
98,Davis Curiale,/en/players/c564e4a9/Davis-Curiale,c564e4a9,Davis-Curi,it ITA,FW
99,Gianluca Musacci,/en/players/64788877/Gianluca-Musacci,64788877,Gianluca-Musacci,it ITA,MF
100,Davide Bertoncini,/en/players/cab28bbe/Davide-Bertoncini,cab28bbe,Davide-Bertoncini,it ITA,"DF,MF"
101,Uroš Ćosić,/en/players/69960ac3/Uros-Cosic,69960ac3,Uros-Cosic,rs SRB,DF
102,Paolo Sammarco,/en/players/3c1e4e84/Paolo-Sammarco,3c1e4e84,Paolo-Sammarco,it ITA,MF
103,Andrea Gessa,/en/players/9b2e7bac/Andrea-Gessa,9b2e7bac,Andrea-G,it ITA,MF
104,Arturo Lupoli,/en/players/2ab6b9d1/Arturo-Lupoli,2ab6b9d1,Arturo-Lupoli,it ITA,FW
105,Manuel Pamić,/en/players/daa27071/Manuel-Pamic,daa27071,Manuel-Pamic,hr CRO,"DF,MF"
106,Mario Santana,/en/players/a48abd4a/Mario-Santana,48abd4a,Mario-Sant,ar ARG,MF
107,Daniele Altobelli,/en/players/d128a2c3/Daniele-Altobelli,d128a2c3,Daniele-Altobelli,it ITA,MF
108,Luis Fraiz,/en/players/27ee1bea/Luis-Fraiz,27ee1bea,Luis-Fraiz,pa PAN,DF
109,Enrico Crescenzi,/en/players/ce06dd62/Enrico-Crescenzi,ce06dd62,Enrico-Crescenzi,it ITA,MF
110,Lorenzo Ranelli,/en/players/de5fea91/Lorenzo-Ranelli,de5fea91,Lorenzo-Ranelli,it ITA,DF
111,Victor De Lucia,/en/players/12daa2f5/Victor-De-Lucia,12daa2f5,Victor-De-Luci,it ITA,GK
112,Fabio Formato,/en/players/8a061174/Fabio-Formato,8a061174,Fabio-Formato,it ITA,DF
113,Marco Preti,/en/players/87a331d7/Marco-Preti,87a331d7,Marco-Preti,it ITA,MF
114,﻿Nicola Leali,/en/players/5f9970a0/Nicola-Leali,5f9970a0,Nicola-Leali,it ITA,GK
115,Aleandro Rosi,/en/players/1b729ba2/Aleandro-Rosi,1b729ba2,Aleandro-Rosi,it ITA,DF
116,Daniel Pavlović,/en/players/47146acb/Daniel-Pavlovic,47146acb,Daniel-Pavlovic,ba BIH,DF
117,Modibo Diakité,/en/players/e5eb4ab4/Modibo-Diakite,5eb4ab4,Modibo-Diakit,fr FRA,DF
118,Arlind Ajeti,/en/players/f9714604/Arlind-Ajeti,f9714604,Arlind-Ajeti,al ALB,DF
119,Raman Chibsah,/en/players/aa5a409a/Raman-Chibsah,5a409a,Raman-Chibsah,gh GHA,MF
120,Oliver Kragl,/en/players/1c17dfe0/Oliver-Kragl,1c17dfe0,Oliver-Krag,de GER,"FW,MF"
