Unnamed: 0,Player,Link,Player_name,Player_id,Nationality,Position,club
8731.0,﻿Gaizka Garitano,/en/players/0f5ededa/Gaizka-Garitano,Gaizka-Garitano,0f5ededa,es ESP,MF,Eibar
8732.0,Jon Urzelai,/en/players/6366a43c/Jon-Urzelai,Jon-Urzelai,6366a43c,es ESP,DF,Eibar
8733.0,Asier Riesgo,/en/players/581c5276/Asier-Riesgo,Asier-Riesgo,581c5276,es ESP,GK,Eibar
8734.0,Josu Sarriegi,/en/players/cca08d01/Josu-Sarriegi,Josu-Sarriegi,cca08d01,es ESP,DF,Eibar
8735.0,Aitor Tornavaca,/en/players/4bdcc842/Aitor-Tornavaca,Aitor-Tornavac,4bdcc842,es ESP,MF,Eibar
8736.0,Vicente Uriz,/en/players/797ee12b/Vicente-Uriz,Vicente-Uriz,797ee12b,es ESP,MF,Eibar
8737.0,Miguel,/en/players/3ab5e487/Miguel,Migu,3ab5e487,es ESP,FW,Eibar
8738.0,Igor Lediakhov,/en/players/399b62ba/Igor-Lediakhov,Igor-Lediakhov,399b62ba,xc CIS,MF,Eibar
8739.0,Iban Fagoaga,/en/players/d49844fa/Iban-Fagoaga,Iban-Fagoag,d49844fa,es ESP,DF,Eibar
8740.0,Eneko Romo,/en/players/5c5c6fa7/Eneko-Romo,Eneko-Romo,5c5c6fa7,es ESP,MF,Eibar
8741.0,Gari Uranga,/en/players/2a701b9e/Gari-Uranga,Gari-Urang,2a701b9e,es ESP,MF,Eibar
8742.0,Joaquín Moso,/en/players/e7768cf0/Joaquin-Moso,Joaquin-Moso,7768cf0,es ESP,GK,Eibar
8743.0,David Cordón,/en/players/65947f92/David-Cordon,David-Cordo,65947f92,es ESP,DF,Eibar
8744.0,Sergio Tejero García,/en/players/1c94ccac/Sergio-Tejero-Garcia,Sergio-Tejero-Garci,1c94ccac,es ESP,DF,Eibar
8745.0,Gaizka Saizar,/en/players/5a706676/Gaizka-Saizar,Gaizka-Saiz,5a706676,es ESP,FW,Eibar
8746.0,Edu Roldán,/en/players/13122bd9/Edu-Roldan,Edu-Rold,13122bd9,es ESP,MF,Eibar
8747.0,Garikoitz Basauri Amezua,/en/players/bea1bc83/Garikoitz-Basauri-Amezua,Garikoitz-Basauri-Amezu,bea1bc83,es ESP,GK,Eibar
8748.0,Antonio Karmona,/en/players/a6bf6531/Antonio-Karmona,Antonio-Karmo,6bf6531,es ESP,DF,Eibar
8749.0,Óscar Pérez,/en/players/a4ae5f6a/Oscar-Perez,Oscar-Perez,4ae5f6a,es ESP,MF,Eibar
8750.0,Jon Ander Lambea,/en/players/f370429e/Jon-Ander-Lambea,Jon-Ander-Lamb,f370429e,es ESP,DF,Eibar
8751.0,Gorka Brit,/en/players/18fea665/Gorka-Brit,Gorka-Brit,18fea665,es ESP,FW,Eibar
8752.0,Ander Alaña,/en/players/546ddcb6/Ander-Alana,Ander-A,546ddcb6,es ESP,DF,Eibar
8753.0,Dani Bautista,/en/players/135b0a5e/Dani-Bautista,Dani-Bautist,135b0a5e,es ESP,DF,Eibar
8754.0,Joseba Llorente,/en/players/ddb98947/Joseba-Llorente,Joseba-Llorent,ddb98947,es ESP,FW,Eibar
8755.0,Burgueña,/en/players/681ee22c/Burguena,Burgu,681ee22c,es ESP,MF,Eibar
8756.0,Sebastián Romero,/en/players/bcafb825/Sebastian-Romero,Sebastian-Romero,bcafb825,ar ARG,"DF,MF",Eibar
8757.0,﻿Gorka Iraizoz,/en/players/26f2473f/Gorka-Iraizoz,Gorka-Iraizoz,26f2473f,es ESP,GK,Eibar
8758.0,Kike Mateo,/en/players/99508f00/Kike-Mateo,Kike-Mateo,99508f00,es ESP,MF,Eibar
8759.0,Daniel Cifuentes,/en/players/488a3de8/Daniel-Cifuentes,Daniel-Cifuent,488a3de8,es ESP,DF,Eibar
8760.0,Manuel Castiñeiras,/en/players/fad67c40/Manuel-Castineiras,Manuel-Castinei,fad67c40,es ESP,DF,Eibar
8761.0,David Silva,/en/players/e2716bd0/David-Silva,David-Silv,2716bd0,es ESP,"FW,MF",Eibar
8762.0,Moisés Hurtado,/en/players/1ea7254b/Moises-Hurtado,Moises-Hurtado,1ea7254b,es ESP,MF,Eibar
8763.0,Manel,/en/players/11df8348/Manel,M,11df8348,es ESP,MF,Eibar
8764.0,Juan Cabrejo,/en/players/3f2dbe00/Juan-Cabrejo,Juan-Cabrejo,3f2dbe00,es ESP,DF,Eibar
8765.0,Alberto Suárez,/en/players/2f537497/Alberto-Suarez,Alberto-Suarez,2f537497,es ESP,FW,Eibar
8766.0,Iñigo Vélez,/en/players/08cc09ee/Inigo-Velez,Inigo-Velez,08cc09ee,es ESP,FW,Eibar
8767.0,Oskitz Estefanía,/en/players/357b97d7/Oskitz-Estefania,Oskitz-Estefani,357b97d7,es ESP,FW,Eibar
8768.0,Avimiled Rivas,/en/players/c57d4fc3/Avimiled-Rivas,Avimiled-Riv,c57d4fc3,co COL,MF,Eibar
8769.0,Juan Carlos Caballero,/en/players/6b8a75b9/Juan-Carlos-Caballero,Juan-Carlos-Caballero,6b8a75b9,es ESP,GK,Eibar
8770.0,Paul Abasolo,/en/players/5f60be43/Paul-Abasolo,Paul-Abasolo,5f60be43,es ESP,"FW,MF",Eibar
