Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
0,﻿Gaizka Garitano,/en/players/0f5ededa/Gaizka-Garitano,0f5ededa,Gaizka-Garitano,es ESP,MF,Eibar
1,Jon Urzelai,/en/players/6366a43c/Jon-Urzelai,6366a43c,Jon-Urzelai,es ESP,DF,Eibar
2,Asier Riesgo,/en/players/581c5276/Asier-Riesgo,581c5276,Asier-Riesgo,es ESP,GK,Eibar
4,Josu Sarriegi,/en/players/cca08d01/Josu-Sarriegi,cca08d01,Josu-Sarriegi,es ESP,DF,Eibar
5,Aitor Tornavaca,/en/players/4bdcc842/Aitor-Tornavaca,4bdcc842,Aitor-Tornavac,es ESP,MF,Eibar
6,Vicente Uriz,/en/players/797ee12b/Vicente-Uriz,797ee12b,Vicente-Uriz,es ESP,MF,Eibar
7,Miguel,/en/players/3ab5e487/Miguel,3ab5e487,Migu,es ESP,FW,Eibar
8,Igor Lediakhov,/en/players/399b62ba/Igor-Lediakhov,399b62ba,Igor-Lediakhov,xc CIS,MF,Eibar
9,Iban Fagoaga,/en/players/d49844fa/Iban-Fagoaga,d49844fa,Iban-Fagoag,es ESP,DF,Eibar
10,Eneko Romo,/en/players/5c5c6fa7/Eneko-Romo,5c5c6fa7,Eneko-Romo,es ESP,MF,Eibar
11,Gari Uranga,/en/players/2a701b9e/Gari-Uranga,2a701b9e,Gari-Urang,es ESP,MF,Eibar
12,Joaquín Moso,/en/players/e7768cf0/Joaquin-Moso,7768cf0,Joaquin-Moso,es ESP,GK,Eibar
13,David Cordón,/en/players/65947f92/David-Cordon,65947f92,David-Cordo,es ESP,DF,Eibar
14,Sergio Tejero García,/en/players/1c94ccac/Sergio-Tejero-Garcia,1c94ccac,Sergio-Tejero-Garci,es ESP,DF,Eibar
15,Gaizka Saizar,/en/players/5a706676/Gaizka-Saizar,5a706676,Gaizka-Saiz,es ESP,FW,Eibar
16,Edu Roldán,/en/players/13122bd9/Edu-Roldan,13122bd9,Edu-Rold,es ESP,MF,Eibar
17,Garikoitz Basauri Amezua,/en/players/bea1bc83/Garikoitz-Basauri-Amezua,bea1bc83,Garikoitz-Basauri-Amezu,es ESP,GK,Eibar
19,Antonio Karmona,/en/players/a6bf6531/Antonio-Karmona,6bf6531,Antonio-Karmo,es ESP,DF,Eibar
20,Óscar Pérez,/en/players/a4ae5f6a/Oscar-Perez,4ae5f6a,Oscar-Perez,es ESP,MF,Eibar
21,Jon Ander Lambea,/en/players/f370429e/Jon-Ander-Lambea,f370429e,Jon-Ander-Lamb,es ESP,DF,Eibar
22,Gorka Brit,/en/players/18fea665/Gorka-Brit,18fea665,Gorka-Brit,es ESP,FW,Eibar
23,Ander Alaña,/en/players/546ddcb6/Ander-Alana,546ddcb6,Ander-A,es ESP,DF,Eibar
24,Dani Bautista,/en/players/135b0a5e/Dani-Bautista,135b0a5e,Dani-Bautist,es ESP,DF,Eibar
26,Joseba Llorente,/en/players/ddb98947/Joseba-Llorente,ddb98947,Joseba-Llorent,es ESP,FW,Eibar
27,Burgueña,/en/players/681ee22c/Burguena,681ee22c,Burgu,es ESP,MF,Eibar
28,Sebastián Romero,/en/players/bcafb825/Sebastian-Romero,bcafb825,Sebastian-Romero,ar ARG,"DF,MF",Eibar
30,﻿Gorka Iraizoz,/en/players/26f2473f/Gorka-Iraizoz,26f2473f,Gorka-Iraizoz,es ESP,GK,Eibar
31,Kike Mateo,/en/players/99508f00/Kike-Mateo,99508f00,Kike-Mateo,es ESP,MF,Eibar
32,Daniel Cifuentes,/en/players/488a3de8/Daniel-Cifuentes,488a3de8,Daniel-Cifuent,es ESP,DF,Eibar
33,Manuel Castiñeiras,/en/players/fad67c40/Manuel-Castineiras,fad67c40,Manuel-Castinei,es ESP,DF,Eibar
34,David Silva,/en/players/e2716bd0/David-Silva,2716bd0,David-Silv,es ESP,"FW,MF",Eibar
35,Moisés Hurtado,/en/players/1ea7254b/Moises-Hurtado,1ea7254b,Moises-Hurtado,es ESP,MF,Eibar
36,Manel,/en/players/11df8348/Manel,11df8348,M,es ESP,MF,Eibar
37,Juan Cabrejo,/en/players/3f2dbe00/Juan-Cabrejo,3f2dbe00,Juan-Cabrejo,es ESP,DF,Eibar
