,Player,Link,Player_name(param),Player_id(param)
93,Agostinho Cá,/en/players/a1251f66/Agostinho-Ca,Agostinho-Ca,a1251f66
94,Albert Vivancos,/en/players/d2abba68/Albert-Vivancos,Albert-Vivancos,d2abba68
95,Gerard Muñoz,/en/players/08ddfd9f/Gerard-Munoz,Gerard-Munoz,08ddfd9f
96,Miguel Ángel Maza,/en/players/75f931e3/Miguel-Angel-Maza,Miguel-Angel-Maza,75f931e3
97,Florian Lejeune,/en/players/6eaed4eb/Florian-Lejeune,Florian-Lejeune,6eaed4eb
98,Francisco Sandaza,/en/players/d9ab42ff/Francisco-Sandaza,Francisco-Sandaza,d9ab42ff
99,Jaime Mata,/en/players/02319ad7/Jaime-Mata,Jaime-Mata,02319ad7
100,Sebas Coris,/en/players/b18da471/Sebas-Coris,Sebas-Coris,b18da471
101,Aday,/en/players/5890cef1/Aday,Aday,5890cef1
102,Pablo Íñiguez,/en/players/dd55192d/Pablo-Iniguez,Pablo-Iniguez,dd55192d
103,Christian Alfonso,/en/players/ecfe11fd/Christian-Alfonso,Christian-Alfonso,ecfe11fd
104,Cristian Gómez,/en/players/d9b41da8/Cristian-Gomez,Cristian-Gomez,d9b41da8
105,David Bigas,/en/players/d9fa991c/David-Bigas,David-Bigas,d9fa991c
106,Cifu,/en/players/90f83973/Cifu,Cifu,90f83973
107,Adri Montoro,/en/players/63da5cf7/Adri-Montoro,Adri-Montoro,63da5cf7
108,Kiko Olivas,/en/players/72b07a9c/Kiko-Olivas,Kiko-Olivas,72b07a9c
109,Carlos Clerc,/en/players/33a61a52/Carlos-Clerc,Carlos-Clerc,33a61a52
110,Álex Granell,/en/players/a25250f8/Alex-Granell,Alex-Granell,a25250f8
111,Pedro Alcalá,/en/players/ba71d071/Pedro-Alcala,Pedro-Alcala,ba71d071
112,Borja García,/en/players/e7f4603c/Borja-Garcia,Borja-Garcia,e7f4603c
113,Javi Álamo,/en/players/ffd69308/Javi-Alamo,Javi-Alamo,ffd69308
114,Rubén Alcaraz,/en/players/036bba5f/Ruben-Alcaraz,Ruben-Alcaraz,036bba5f
115,Cristian Herrera,/en/players/f814e5d3/Cristian-Herrera,Cristian-Herrera,f814e5d3
116,Jairo Morillas,/en/players/a0414cb4/Jairo-Morillas,Jairo-Morillas,a0414cb4
117,Dejan Lekić,/en/players/f73b1a65/Dejan-Lekic,Dejan-Lekic,f73b1a65
118,Rubén Sobrino,/en/players/19b776e9/Ruben-Sobrino,Ruben-Sobrino,19b776e9
119,Pol Llonch,/en/players/15f1b476/Pol-Llonch,Pol-Llonch,15f1b476
120,Pablo Maffeo,/en/players/5db04597/Pablo-Maffeo,Pablo-Maffeo,5db04597
121,David Serrano,/en/players/b0f7dbcc/David-Serrano,David-Serrano,b0f7dbcc
122,Joel Arimany,/en/players/83a5ca71/Joel-Arimany,Joel-Arimany,83a5ca71
123,Marcelo Djaló,/en/players/2ba40342/Marcelo-Djalo,Marcelo-Djalo,2ba40342
124,Chidiebere Nwakali,/en/players/7244cb10/Chidiebere-Nwakali,Chidiebere-Nwakali,7244cb10
