Id,Club,Club(url param),League_id
110,Arles-Avignon,Arles-Avignon,2
111,Evian,Evian,2
112,Dijon,Dijon,2
113,Reims,Reims,2
114,Angers,Angers,2
115,Gazélec Ajaccio,Gazelec-Ajaccio,2
116,Amiens,Amiens,2
117,Nîmes,Nimes,2
118,Clermont Foot,Clermont-Foot,2
119,Manchester Utd,Manchester-United,1
120,Arsenal,Arsenal,1
121,Newcastle Utd,Newcastle-United,1
122,Chelsea,Chelsea,1
123,Liverpool,Liverpool,1
124,Blackburn,Blackburn-Rovers,1
125,Everton,Everton,1
126,Southampton,Southampton,1
127,Manchester City,Manchester-City,1
128,Tottenham,Tottenham-Hotspur,1
129,Middlesbrough,Middlesbrough,1
130,Charlton Ath,Charlton-Athletic,1
131,Birmingham City,Birmingham-City,1
132,Fulham,Fulham,1
133,Leeds United,Leeds-United,1
134,Aston Villa,Aston-Villa,1
135,Bolton,Bolton-Wanderers,1
136,West Ham,West-Ham-United,1
137,West Brom,West-Bromwich-Albion,1
138,Sunderland,Sunderland,1
139,Portsmouth,Portsmouth,1
140,Leicester City,Leicester-City,1
141,Wolves,Wolverhampton-Wanderers,1
142,Crystal Palace,Crystal-Palace,1
143,Norwich City,Norwich-City,1
144,Wigan Athletic,Wigan-Athletic,1
145,Reading,Reading,1
146,Sheffield Utd,Sheffield-United,1
147,Watford,Watford,1
148,Derby County,Derby-County,1
149,Stoke City,Stoke-City,1
150,Hull City,Hull-City,1
151,Burnley,Burnley,1
152,Blackpool,Blackpool,1
153,Swansea City,Swansea-City,1
154,QPR,Queens-Park-Rangers,1
155,Cardiff City,Cardiff-City,1
156,Bournemouth,Bournemouth,1
157,Brighton,Brighton-and-Hove-Albion,1
158,Huddersfield,Huddersfield-Town,1
159,Brentford,Brentford,1
160,Juventus,Juventus,5
161,Inter,Internazionale,5
162,Milan,Milan,5
163,Lazio,Lazio,5
164,Parma,Parma,5
165,Udinese,Udinese,5
166,Chievo,Chievo,5
167,Roma,Roma,5
168,Brescia,Brescia,5
169,Perugia,Perugia,5
170,Bologna,Bologna,5
171,Modena,Modena,5
172,Empoli,Empoli,5
173,Reggina,Reggina,5
174,Atalanta,Atalanta,5
175,Piacenza,Piacenza,5
176,Como,Como,5
177,Torino,Torino,5
178,Sampdoria,Sampdoria,5
179,Lecce,Lecce,5
180,Siena,Siena,5
181,Ancona,Ancona,5
182,Palermo,Palermo,5
183,Messina,Livorno,5
