Club;Link;Club_id;Club_name
Las Palmas;squads/0049d422/Las-Palmas-Stats;0049d422;Las-Palmas
Legan??s;squads/7c6f2c78/Leganes-Stats;7c6f2c78;Leganes
Girona;squads/9024a00a/Girona-Stats;9024a00a;Girona
Huesca;squads/c6c493e6/Huesca-Stats;c6c493e6;Huesca
Lyon;squads/d53c0b06/Lyon-Stats;d53c0b06;Lyon
Monaco;squads/fd6114db/Monaco-Stats;fd6114db;Monaco
Marseille;squads/5725cc7b/Marseille-Stats;5725cc7b;Marseille
Bordeaux;squads/123f3efe/Bordeaux-Stats;123f3efe;Bordeaux
Sochaux;squads/b9cd3c9a/Sochaux-Stats;b9cd3c9a;Sochaux
Auxerre;squads/5ae09109/Auxerre-Stats;5ae09109;Auxerre
Guingamp;squads/d41b5f53/Guingamp-Stats;d41b5f53;Guingamp
Lens;squads/fd4e0f7d/Lens-Stats;fd4e0f7d;Lens
Nantes;squads/d7a486cd/Nantes-Stats;d7a486cd;Nantes
Nice;squads/132ebc33/Nice-Stats;132ebc33;Nice
Paris S-G;squads/e2d8892c/Paris-Saint-Germain-Stats;e2d8892c;Paris-Saint-Germain
Bastia;squads/6283be2c/Bastia-Stats;6283be2c;Bastia
Strasbourg;squads/c0d3eab4/Strasbourg-Stats;c0d3eab4;Strasbourg
Lille;squads/cb188c0c/Lille-Stats;cb188c0c;Lille
Rennes;squads/b3072e00/Rennes-Stats;b3072e00;Rennes
Montpellier;squads/281b0e73/Montpellier-Stats;281b0e73;Montpellier
Ajaccio;squads/7a54bb4f/Ajaccio-Stats;7a54bb4f;Ajaccio
Le Havre;squads/5c2737db/Le-Havre-Stats;5c2737db;Le-Havre
Sedan;squads/e4e952b9/Sedan-Stats;e4e952b9;Sedan
Troyes;squads/54195385/Troyes-Stats;54195385;Troyes
Metz;squads/f83960ae/Metz-Stats;f83960ae;Metz
Toulouse;squads/3f8c4b5f/Toulouse-Stats;3f8c4b5f;Toulouse
Le Mans;squads/cd5d7aa6/Le-Mans-Stats;cd5d7aa6;Le-Mans
Saint-??tienne;squads/d298ef2c/Saint-Etienne-Stats;d298ef2c;Saint-Etienne
Caen;squads/74229020/Caen-Stats;74229020;Caen
Istres;squads/70f96e85/Istres-Stats;70f96e85;Istres
Nancy;squads/e88fc6e5/Nancy-Stats;e88fc6e5;Nancy
