,Player,Link,Player_id,Player_name,Nationality,Position
57,David Unsworth,/en/players/05fcbb55/David-Unsworth,05fcbb55,David-Unsworth,eng ENG,DF
58,David Cotterill,/en/players/7b6f3a36/David-Cotterill,7b6f3a36,David-Cotteri,wls WAL,"FW,MF"
59,Svetoslav Todorov,/en/players/504688a9/Svetoslav-Todorov,504688a9,Svetoslav-Todorov,bg BUL,FW
60,Julius Aghahowa,/en/players/ed41a1e7/Julius-Aghahowa,d41a1e7,Julius-Aghahow,ng NGA,FW
61,Andy Webster,/en/players/f0c22147/Andy-Webster,f0c22147,Andy-Webst,sct SCO,DF
62,Kristofer Hæstad,/en/players/142b2b70/Kristofer-Haestad,142b2b70,Kristofer-Haestad,no NOR,MF
63,Mario Melchiot,/en/players/1f5e2ed9/Mario-Melchiot,1f5e2ed9,Mario-Melchiot,nl NED,DF
64,Michael Brown,/en/players/85543572/Michael-Brown,85543572,Michael-Brow,eng ENG,MF
65,Titus Bramble,/en/players/83ac7c3c/Titus-Bramble,83ac7c3c,Titus-Bramb,eng ENG,DF
66,Marcus Bent,/en/players/69166246/Marcus-Bent,69166246,Marcus-Bent,eng ENG,FW
67,Jason Koumas,/en/players/e3c6ba7b/Jason-Koumas,3c6ba7b,Jason-Koum,wls WAL,MF
68,Wilson Palacios,/en/players/58df81fc/Wilson-Palacios,58df81fc,Wilson-Palacio,hn HON,MF
69,Andreas Granqvist,/en/players/501992d4/Andreas-Granqvist,501992d4,Andreas-Granqvist,se SWE,"DF,MF"
70,Antoine Sibierski,/en/players/22936ff2/Antoine-Sibierski,22936ff2,Antoine-Sibierski,fr FRA,"FW,MF"
71,Marlon King,/en/players/0fc9488a/Marlon-King,0fc9488a,Marlon-King,jm JAM,FW
72,Erik Edman,/en/players/cf98b935/Erik-Edman,cf98b935,Erik-Edm,se SWE,DF
73,Salomon Olembé,/en/players/d7ac4a47/Salomon-Olembe,d7ac4a47,Salomon-Olemb,cm CMR,MF
74,Maynor Figueroa,/en/players/d8524b21/Maynor-Figueroa,d8524b21,Maynor-Figuero,hn HON,DF
75,Erik Hagen,/en/players/899ea685/Erik-Hagen,899ea685,Erik-Hag,no NOR,DF
76,Lee Cattermole,/en/players/538e77d5/Lee-Cattermole,538e77d5,Lee-Cattermo,eng ENG,MF
77,Amr Zaki,/en/players/fb1fca2e/Amr-Zaki,fb1fca2e,Amr-Zaki,eg EGY,FW
78,Charles N'Zogbia,/en/players/4e31f3e2/Charles-NZogbia,4e31f3e2,Charles-NZogbi,fr FRA,"DF,FW"
79,Olivier Kapo,/en/players/992c2db8/Olivier-Kapo,992c2db8,Olivier-Kapo,fr FRA,"FW,MF"
80,Mido,/en/players/91d87d09/Mido,91d87d09,Mido,eg EGY,FW
81,Hugo Rodallega,/en/players/9683d0b2/Hugo-Rodallega,9683d0b2,Hugo-Rodalleg,co COL,FW
82,Ben Watson,/en/players/df540668/Ben-Watson,df540668,Ben-Watso,eng ENG,MF
83,Daniël de Ridder,/en/players/18bd458f/Daniel-de-Ridder,18bd458f,Daniel-de-Ridd,nl NED,"FW,MF"
84,Richard Kingson,/en/players/05380aa0/Richard-Kingson,05380aa0,Richard-Kingso,gh GHA,GK
85,Cho Won-hee,/en/players/6b4c91b1/Cho-Won-hee,6b4c91b1,Cho-Won-h,kr KOR,"DF,MF"
86,Callum McManaman,/en/players/1a5dbcc2/Callum-McManaman,1a5dbcc2,Callum-McManam,eng ENG,"FW,MF"
87,Jon Routledge,/en/players/6ab5275a/Jon-Routledge,6ab5275a,Jon-Routledg,eng ENG,MF
88,Mohamed Diamé,/en/players/b7d082af/Mohamed-Diame,b7d082af,Mohamed-Diam,sn SEN,MF
89,Hendry Thomas,/en/players/bf53ebe9/Hendry-Thomas,bf53ebe9,Hendry-Thom,hn HON,MF
90,James McCarthy,/en/players/64b08de7/James-McCarthy,64b08de7,James-McCarth,ie IRL,MF
91,Gary Caldwell,/en/players/5dc37f4a/Gary-Caldwell,5dc37f4a,Gary-Caldw,sct SCO,"DF,MF"
92,Jason Scotland,/en/players/07c4ef8b/Jason-Scotland,07c4ef8b,Jason-Scotland,tt TRI,FW
93,Jordi Gómez,/en/players/d92b0327/Jordi-Gomez,d92b0327,Jordi-Gomez,es ESP,MF
94,Marcelo Martins Moreno,/en/players/26e17f25/Marcelo-Martins-Moreno,26e17f25,Marcelo-Martins-Moreno,bo BOL,FW
95,Steve Gohouri,/en/players/0d058ab8/Steve-Gohouri,0d058ab8,Steve-Gohouri,ci CIV,DF
96,Vladimir Stojković,/en/players/c089980e/Vladimir-Stojkovic,c089980e,Vladimir-Stojkovic,rs SRB,GK
97,Victor Moses,/en/players/e726e11e/Victor-Moses,726e11e,Victor-Mo,ng NGA,"DF,FW"
98,Scott Sinclair,/en/players/273c483b/Scott-Sinclair,273c483b,Scott-Sinclai,eng ENG,"FW,MF"
99,﻿Ali Al-Habsi,/en/players/032f766b/Ali-Al-Habsi,032f766b,Ali-Al-Habsi,om OMA,GK
100,Antolín Alcaraz,/en/players/cee38e27/Antolin-Alcaraz,cee38e27,Antolin-Alcaraz,py PAR,DF
101,Tom Cleverley,/en/players/6cdd8245/Tom-Cleverley,6cdd8245,Tom-Clev,eng ENG,MF
102,Ronnie Stam,/en/players/eb383c11/Ronnie-Stam,b383c11,Ronnie-Stam,nl NED,"DF,MF"
103,Franco Di Santo,/en/players/549c6ba7/Franco-Di-Santo,549c6ba7,Franco-Di-Santo,ar ARG,FW
104,Steven Caldwell,/en/players/6839f68e/Steven-Caldwell,6839f68e,Steven-Caldw,sct SCO,DF
105,Mauro Boselli,/en/players/284e865d/Mauro-Boselli,284e865d,Mauro-Boselli,ar ARG,FW
106,James McArthur,/en/players/cee31595/James-McArthur,cee31595,James-McArthu,sct SCO,MF
107,Conor Sammon,/en/players/70c3608c/Conor-Sammon,70c3608c,Conor-Sammo,ie IRL,FW
108,Adrián López,/en/players/70392341/Adrian-Lopez,70392341,Adrian-Lopez,es ESP,DF
109,Jean Beausejour,/en/players/c8404849/Jean-Beausejour,c8404849,Jean-Beausejou,cl CHI,"DF,FW"
110,David Jones,/en/players/2f0edbe7/David-Jones,2f0edbe7,David-Jo,eng ENG,MF
111,Shaun Maloney,/en/players/0558e236/Shaun-Maloney,0558e236,Shaun-Malo,sct SCO,"FW,MF"
112,Albert Crusat,/en/players/ba027002/Albert-Crusat,ba027002,Albert-Crusat,es ESP,"FW,MF"
113,Patrick van Aanholt,/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Patrick-van-Aanholt,nl NED,DF
