Id,Player,Position,Nationality_Id
90000,Ignacio Azpilikueta Rodríguez,??,175
90001,Josu Esnaola,DF,175
90002,Alejandro Barba,MF,175
90003,Isaac Fernández Vila,??,175
90004,Fyodor Smolov,FW,23
90005,Jesús Santiago,MF,1
90006,Lucas De Vega,MF,2
90007,Roberto Pampin,GK,175
90008,Hodei Oleaga,GK,1
90009,Francisco Javier Flores Sánchez,??,1
90010,Agustín Pastoriza,??,5
90011,Ricardo Visus,??,175
90012,Nikola Stojiljković,FW,28
90013,Javier Llabrés,MF,175
90014,Marcos Fernández Cózar,DF,175
90015,Juan Sánchez,??,1
90016,Nacho Quintana,MF,1
90017,Luis Alfonso Sota Yoldi,??,175
90018,Juan Agüero,MF,1
90019,Alberto Moreno,MF,1
90020,Mini,MF,175
90021,Cristian Delgado,MF,175
90022,Ángel Recio,MF,175
90023,R Ortiz,??,175
90024,Cristobal Carreno,??,175
90025,Martinez Quique,??,175
90026,Brian Herrero,DF,175
90027,Gonzalo Castellani,MF,5
90028,Gonzalez Pablo,??,175
90029,Adrián de la Fuente,DF,1
90030,Claudio Arzeno,DF,5
90031,Bernardo,DF,175
90032,Oscar Fernandez,??,175
90033,Heber Pena,MF,1
90034,Patrick Soko,MF,36
90035,José Mari,MF,1
90036,Juan Barba,??,175
90037,Beleza Chuchu,??,175
90038,Jerónimo Barrales,FW,5
90039,Marcos Caridad,??,175
90040,Lopez Kike,??,175
90041,Isi Ros,MF,1
90042,Lacasa Kiko,??,175
90043,Juan Epitié,"FW,MF",10
90044,Adrian Pinilla,??,175
90045,Walter Martínez,"FW,MF",107
90046,Oscar Medina,GK,175
90047,Iván Sanz,??,1
90048,Óscar Aparicio,GK,175
90049,Alfonso Tete,??,175
90050,Carlos Javier,??,175
90051,Carlos Nieto Herrero,??,175
90052,Carlos Calavia,GK,1
90053,Luismi Luengo,DF,175
90054,Dani Ruiz,??,175
90055,José Vicente Simeón Peris,MF,175
90056,Martin Irazoki,??,175
90057,Nunez Raul,??,175
90058,Pedrinho,FW,2
90059,Inaki Leniz,??,175
90060,David Alvarez,??,175
90061,Carlos Alfaro Martínez,MF,175
90062,Martín Nicolás Camaño,??,175
90063,Ignacio Segura Carrión,??,1
90064,David Galindo,??,175
90065,M Carlos,??,175
90066,Hector Bueno,??,175
90067,Baggio,DF,175
90068,Miguel Núñez,MF,175
90069,Chumbi,??,175
90070,Jose Carrasco,??,175
90071,Jesús Parada,MF,1
90072,Rubén Cantero,DF,175
90073,Luis Roldán,MF,1
90074,José Antonio Gómez Casado,??,1
90075,Carlos Isach,??,175
90076,Patricio Pelegrin,??,175
90077,Sebastián Esparza Hernández,??,175
90078,Óscar Pulido,MF,175
90079,Santos Atila,??,175
90080,Jose Campillo,??,175
90081,Bueno Hector,??,175
90082,Fran Erencia,??,175
90083,Rodrigues Juanchi,??,175
90084,Martinez Kike,??,175
90085,Nico Varela,??,8
90086,Carlos Pifarré,MF,1
90087,Gil Borja,??,175
90088,﻿Alejandro Santomé,GK,1
90089,Renato da Silva Ferreira,FW,175
90090,Antonio Estevez,??,175
90091,Francisco Chiqui,??,175
90092,Luis Casado,??,175
90093,Nacho Triguero,GK,175
90094,David Copito,??,175
90095,Borja,??,1
90096,Ignacio Juanma,??,175
90097,Fernandez David,??,175
90098,Jose Soria,??,175
90099,Alfonso Gonzalez,??,175
90100,Angel Castro,??,175
90101,Ante Palaversa,MF,16
90102,José Juan Macías,"FW,MF",20
90103,﻿Carballo Felix,??,175
90104,David Limones,??,175
90105,Gomez Rafa,??,175
90106,Munoz Servulo,??,175
90107,Peiro Alfonso,??,175
90108,Jorge Ruiz,??,175
90109,Jose Rial,??,175
90110,Francisco Coscolla,??,175
90111,Hidalgo Manolo,??,175
90112,Rafael Fernández Pérez,??,175
90113,Jose Emilio,??,175
90114,Foro Tono,??,175
90115,Rafael Riaño Torrecilla,??,1
90116,Sergio Cruz,??,175
90117,Andres Armada,??,175
90118,Juan Navarro,??,175
90119,Juan Pedro,??,175
90120,Juan Sanchez,??,175
90121,Jordi Navas,??,175
90122,Francisco Corredoira,??,175
90123,Antonio Tomillo,??,175
90124,Baio Suleimane,??,175
90125,Cesar Huete,??,175
90126,Jesus Isi,??,175
90127,Javier Gallardo,??,175
90128,Espanha Rubo,??,175
90129,Daniel Navarrete,??,1
90130,Sergio Iglesias,??,175
90131,Zafra,FW,1
90132,Roberto Rodiel,??,175
90133,Victor García,??,175
90134,Alves Carlitos,??,175
90135,Manuel De,??,175
90136,Juan Lucas,??,175
90137,Daniel Fornell,??,175
90138,Víctor Ormazábal,MF,5
90139,Ricky Alonso,GK,1
90140,Mamadou Mbaye,DF,34
90141,Alfonso Sanchez,??,175
90142,Pablo Lusarreta,??,175
90143,Sergio Francisco,FW,1
90144,R Lopez,??,175
90145,Patricio Edgar,??,175
90146,Manuel Yedra,??,175
90147,Daniel Berg Hestad,??,175
90148,Ramón Verdú Montes,DF,1
90149,Alberto Varo,GK,1
90150,Marc Vadillo,DF,1
90151,Jose Barbero,??,175
90152,Armindo Rubio,??,175
90153,José Ángel Ferrera,??,1
90154,Honorio Gallego,??,175
90155,Jose Larrosa,??,175
90156,Derteano Aiert,??,175
90157,Pedro Benitez,??,175
90158,P Ortiz,??,175
90159,Juan Lago,??,175
90160,Gallego Honorio,??,175
90161,Jose Sorroche,??,175
90162,Jesus Francis,??,175
90163,Marc Francoli,??,175
90164,Lopes,??,2
90165,Ricardo Varela,??,175
90166,Antoni Velamazán,??,1
90167,Jordi Escobar,FW,1
90168,Antonio Blin,??,175
90169,Varela Alvaro,??,175
90170,David Lago,??,175
90171,Miguel Carmena,??,175
90172,Angel Perez,??,175
90173,Ognjen Vranješ,DF,49
90174,Damián Pérez,"DF,MF",5
90175,Torres Jonathan,??,175
90176,Juan Willy,??,175
90177,Santana Ismael,??,175
90178,Garcia Airam,??,175
90179,Jose Rogerinho,??,175
90180,Araujo Dmitri,??,175
90181,Gonzalez Oscar,??,175
90182,Hugo Álvarez,DF,175
90183,Juan Carlos García,DF,107
90184,Glez Santi,??,175
90185,Pipo Pipo,??,175
90186,Brian Martín,"FW,MF",1
90187,Borja Bethencourt,DF,175
90188,Francisco Javier Cachorro,??,1
90189,Jose Selu,??,175
90190,Jerez Canito,??,175
90191,Gonzalo Gaitan,??,175
90192,Ramón Martínez de Paz,??,175
90193,Benegas Oscar,??,175
90194,Ferrer Borja,??,175
90195,Mikel Etxabe,??,175
90196,Mato Marcos,??,175
90197,Romero Rodri,??,175
90198,Diego Ramirez,??,175
90199,Pablo Guille,??,175
90200,Jose Alberto,??,175
90201,Dani Zuniga,??,175
90202,Javi Iglesias,??,175
90203,Alverez Quique,??,175
90204,Lopez Alex,??,175
90205,Palacios,DF,1
90206,Jordi Martínez,??,1
90207,M Perez,??,175
90208,Manuel Santacruz,??,175
90209,Smitarello,??,1
90210,Yukiya Sugita,"FW,MF",54
90211,Álex Pérez,MF,175
90212,Juanan Entrena,MF,1
90213,Bryan Zaragoza,MF,175
90214,Jose Velasco,??,175
90215,Raul Perez,??,175
90216,Valdes Alvaro,??,175
90217,Garcia Gines,??,175
90218,David Darmon,??,175
90219,Diego Arroyo,??,175
90220,Jaime Navarro,??,175
90221,David Txiki,??,175
90222,Ruiz Juanfran,??,175
90223,Pecastaing Mathieu,??,175
90224,Ruben Perez,??,175
90225,François Obele,FW,175
90226,Gomis Abraham,??,175
90227,José Antonio Peral,DF,1
90228,Gabriel Corozo,DF,61
90229,Jorge Sanchez,??,175
90230,R Rodriguez,??,175
90231,Kepa Zarraga,??,175
90232,Galder Zubizarreta,??,175
90233,Manuel Angel,??,175
90234,Diaz Alex,??,175
90235,Jon Kortina,??,175
90236,Iraola Galder,??,175
90237,Xabi Sanchez,??,175
90238,Diego Asorey,??,175
90239,Sergio Villanueva,MF,175
90240,Gorka Badiola,??,175
90241,Mikel Arregi,??,175
90242,Sergio de la Cruz Suárez,??,1
90243,David Asensio López,??,175
90244,Ramon Borrell,??,175
90245,Nené,??,175
90246,Javier Lezaun,??,175
90247,Javier Gurrutxaga,??,175
90248,Daniel Martino,??,175
90249,Benat Larranaga,??,175
90250,Asier Sanchez,??,175
90251,Aitor Arregi,DF,175
90252,Alvaro Roncal,DF,175
90253,Daniel Platero,??,175
90254,Marquez Sandro,??,175
90255,M Soto,??,175
90256,Gomez Manolo,??,175
90257,Grajales Salva,??,175
90258,Gonzalez Juanito,??,175
90259,Alfonso Gutierrez,??,175
90260,Emmanuel David,??,21
90261,Rafa Navarro,??,175
90262,Casado Alfonso,??,175
90263,Rafael Ocana,??,175
90264,Rafa Moreno,??,175
