2006-2007,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Real Madrid,38,23,7,8,76
2,Barcelona,38,22,10,6,76
3,Sevilla,38,21,8,9,71
4,Valencia,38,20,6,12,66
5,Villarreal,38,18,8,12,62
6,Zaragoza,38,16,12,10,60
7,Atlético Madrid,38,17,9,12,60
8,Recreativo,38,15,9,14,54
9,Getafe,38,14,10,14,52
10,Racing Sant,38,12,14,12,50
11,Espanyol,38,12,13,13,49
12,Mallorca,38,14,7,17,49
13,La Coruña,38,12,11,15,47
14,Osasuna,38,13,7,18,46
15,Levante,38,10,12,16,42
16,Betis,38,8,16,14,40
17,Athletic Club,38,10,10,18,40
18,Celta Vigo,38,10,9,19,39
19,Real Sociedad,38,8,11,19,35
20,Gimnàstic,38,7,7,24,28
