2004-2005,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Barcelona,38,25,9,4,84
2,Real Madrid,38,25,5,8,80
3,Villarreal,38,18,11,9,65
4,Betis,38,16,14,8,62
5,Espanyol,38,17,10,11,61
6,Sevilla,38,17,9,12,60
7,Valencia,38,14,16,8,58
8,Athletic Club,38,14,9,15,51
9,La Coruña,38,12,15,11,51
10,Málaga,38,15,6,17,51
11,Atlético Madrid,38,13,11,14,50
12,Zaragoza,38,14,8,16,50
13,Getafe,38,12,11,15,47
14,Real Sociedad,38,13,8,17,47
15,Osasuna,38,12,10,16,46
16,Racing Sant,38,12,8,18,44
17,Mallorca,38,10,9,19,39
18,Levante,38,9,10,19,37
19,Numancia,38,6,11,21,29
20,Albacete,38,6,10,22,28
