2014-2015,La-Liga
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Barcelona,38,30,4,4,94,squads/206d90db/Barcelona-Stats,206d90db,Barcelona
2,Real Madrid,38,30,2,6,92,squads/53a2f082/Real-Madrid-Stats,53a2f082,Real-Madrid
3,Atlético Madrid,38,23,9,6,78,squads/db3b9613/Atletico-Madrid-Stats,db3b9613,Atletico-Madrid
4,Valencia,38,22,11,5,77,squads/dcc91a7b/Valencia-Stats,dcc91a7b,Valencia
5,Sevilla,38,23,7,8,76,squads/ad2be733/Sevilla-Stats,ad2be733,Sevilla
6,Villarreal,38,16,12,10,60,squads/2a8183b3/Villarreal-Stats,2a8183b3,Villarreal
7,Athletic Club,38,15,10,13,55,squads/2b390eca/Athletic-Club-Stats,2b390eca,Athletic-Club
8,Celta Vigo,38,13,12,13,51,squads/f25da7fb/Celta-Vigo-Stats,f25da7fb,Celta-Vigo
9,Málaga,38,14,8,16,50,squads/1c896955/Malaga-Stats,1c896955,Malaga
10,Espanyol,38,13,10,15,49,squads/a8661628/Espanyol-Stats,a8661628,Espanyol
11,Rayo Vallecano,38,15,4,19,49,squads/98e8af82/Rayo-Vallecano-Stats,98e8af82,Rayo-Vallecano
12,Real Sociedad,38,11,13,14,46,squads/e31d1cd9/Real-Sociedad-Stats,e31d1cd9,Real-Sociedad
13,Elche,38,11,8,19,41,squads/6c8b07df/Elche-Stats,6c8b07df,Elche
14,Levante,38,9,10,19,37,squads/9800b6a1/Levante-Stats,9800b6a1,Levante
15,Getafe,38,10,7,21,37,squads/7848bd64/Getafe-Stats,7848bd64,Getafe
16,La Coruña,38,7,14,17,35,squads/2a60ed82/Deportivo-La-Coruna-Stats,2a60ed82,Deportivo-La-Coruna
17,Granada,38,7,14,17,35,squads/a0435291/Granada-Stats,a0435291,Granada
18,Eibar,38,9,8,21,35,squads/bea5c710/Eibar-Stats,bea5c710,Eibar
19,Almería,38,8,8,22,29,squads/78ecf4bb/Almeria-Stats,78ecf4bb,Almeria
20,Córdoba,38,3,11,24,20,squads/6009ff35/Cordoba-Stats,6009ff35,Cordoba
