2020-2021,La-Liga
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Atlético Madrid,38,26,8,4,86,squads/db3b9613/Atletico-Madrid-Stats,db3b9613,Atletico-Madrid
2,Real Madrid,38,25,9,4,84,squads/53a2f082/Real-Madrid-Stats,53a2f082,Real-Madrid
3,Barcelona,38,24,7,7,79,squads/206d90db/Barcelona-Stats,206d90db,Barcelona
4,Sevilla,38,24,5,9,77,squads/ad2be733/Sevilla-Stats,ad2be733,Sevilla
5,Real Sociedad,38,17,11,10,62,squads/e31d1cd9/Real-Sociedad-Stats,e31d1cd9,Real-Sociedad
6,Betis,38,17,10,11,61,squads/fc536746/Real-Betis-Stats,fc536746,Real-Betis
7,Villarreal,38,15,13,10,58,squads/2a8183b3/Villarreal-Stats,2a8183b3,Villarreal
8,Celta Vigo,38,14,11,13,53,squads/f25da7fb/Celta-Vigo-Stats,f25da7fb,Celta-Vigo
9,Granada,38,13,7,18,46,squads/a0435291/Granada-Stats,a0435291,Granada
10,Athletic Club,38,11,13,14,46,squads/2b390eca/Athletic-Club-Stats,2b390eca,Athletic-Club
11,Osasuna,38,11,11,16,44,squads/03c57e2b/Osasuna-Stats,03c57e2b,Osasuna
12,Cádiz,38,11,11,16,44,squads/ee7c297c/Cadiz-Stats,ee7c297c,Cadiz
13,Valencia,38,10,13,15,43,squads/dcc91a7b/Valencia-Stats,dcc91a7b,Valencia
14,Levante,38,9,14,15,41,squads/9800b6a1/Levante-Stats,9800b6a1,Levante
15,Getafe,38,9,11,18,38,squads/7848bd64/Getafe-Stats,7848bd64,Getafe
16,Alavés,38,9,11,18,38,squads/8d6fd021/Alaves-Stats,8d6fd021,Alaves
17,Elche,38,8,12,18,36,squads/6c8b07df/Elche-Stats,6c8b07df,Elche
18,Huesca,38,7,13,18,34,squads/c6c493e6/Huesca-Stats,c6c493e6,Huesca
19,Valladolid,38,5,16,17,31,squads/17859612/Valladolid-Stats,17859612,Valladolid
20,Eibar,38,6,12,20,30,squads/bea5c710/Eibar-Stats,bea5c710,Eibar
