2016-2017,La-Liga
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Real Madrid,38,29,6,3,93,squads/53a2f082/Real-Madrid-Stats,53a2f082,Real-Madrid
2,Barcelona,38,28,6,4,90,squads/206d90db/Barcelona-Stats,206d90db,Barcelona
3,Atlético Madrid,38,23,9,6,78,squads/db3b9613/Atletico-Madrid-Stats,db3b9613,Atletico-Madrid
4,Sevilla,38,21,9,8,72,squads/ad2be733/Sevilla-Stats,ad2be733,Sevilla
5,Villarreal,38,19,10,9,67,squads/2a8183b3/Villarreal-Stats,2a8183b3,Villarreal
6,Real Sociedad,38,19,7,12,64,squads/e31d1cd9/Real-Sociedad-Stats,e31d1cd9,Real-Sociedad
7,Athletic Club,38,19,6,13,63,squads/2b390eca/Athletic-Club-Stats,2b390eca,Athletic-Club
8,Espanyol,38,15,11,12,56,squads/a8661628/Espanyol-Stats,a8661628,Espanyol
9,Alavés,38,14,13,11,55,squads/8d6fd021/Alaves-Stats,8d6fd021,Alaves
10,Eibar,38,15,9,14,54,squads/bea5c710/Eibar-Stats,bea5c710,Eibar
11,Málaga,38,12,10,16,46,squads/1c896955/Malaga-Stats,1c896955,Malaga
12,Valencia,38,13,7,18,46,squads/dcc91a7b/Valencia-Stats,dcc91a7b,Valencia
13,Celta Vigo,38,13,6,19,45,squads/f25da7fb/Celta-Vigo-Stats,f25da7fb,Celta-Vigo
14,Las Palmas,38,10,9,19,39,squads/0049d422/Las-Palmas-Stats,0049d422,Las-Palmas
15,Betis,38,10,9,19,39,squads/fc536746/Real-Betis-Stats,fc536746,Real-Betis
16,La Coruña,38,8,12,18,36,squads/2a60ed82/Deportivo-La-Coruna-Stats,2a60ed82,Deportivo-La-Coruna
17,Leganés,38,8,11,19,35,squads/7c6f2c78/Leganes-Stats,7c6f2c78,Leganes
18,Sporting Gijón,38,7,10,21,31,squads/bb9efd50/Sporting-Gijon-Stats,bb9efd50,Sporting-Gijon
19,Osasuna,38,4,10,24,22,squads/03c57e2b/Osasuna-Stats,03c57e2b,Osasuna
20,Granada,38,4,8,26,20,squads/a0435291/Granada-Stats,a0435291,Granada
