,Club,Link,Club_id,Club_name
0,Real Madrid,squads/53a2f082/Real-Madrid-Stats,53a2f082,Real-Madrid
1,Real Sociedad,squads/e31d1cd9/Real-Sociedad-Stats,e31d1cd9,Real-Sociedad
2,La Coruña,squads/2a60ed82/Deportivo-La-Coruna-Stats,2a60ed82,Deportivo-La-Coruna
3,Celta Vigo,squads/f25da7fb/Celta-Vigo-Stats,f25da7fb,Celta-Vigo
4,Valencia,squads/dcc91a7b/Valencia-Stats,dcc91a7b,Valencia
5,Barcelona,squads/206d90db/Barcelona-Stats,206d90db,Barcelona
6,Athletic Club,squads/2b390eca/Athletic-Club-Stats,2b390eca,Athletic-Club
7,Betis,squads/fc536746/Real-Betis-Stats,fc536746,Real-Betis
8,Mallorca,squads/2aa12281/Mallorca-Stats,2aa12281,Mallorca
9,Sevilla,squads/ad2be733/Sevilla-Stats,ad2be733,Sevilla
10,Osasuna,squads/03c57e2b/Osasuna-Stats,03c57e2b,Osasuna
11,Atlético Madrid,squads/db3b9613/Atletico-Madrid-Stats,db3b9613,Atletico-Madrid
12,Málaga,squads/1c896955/Malaga-Stats,1c896955,Malaga
13,Valladolid,squads/17859612/Valladolid-Stats,17859612,Valladolid
14,Villarreal,squads/2a8183b3/Villarreal-Stats,2a8183b3,Villarreal
15,Racing Sant,squads/dee3bbc8/Racing-Santander-Stats,dee3bbc8,Racing-Santander
16,Espanyol,squads/a8661628/Espanyol-Stats,a8661628,Espanyol
17,Recreativo,squads/6e1d6d95/Recreativo-Stats,6e1d6d95,Recreativo
18,Alavés,squads/8d6fd021/Alaves-Stats,8d6fd021,Alaves
19,Rayo Vallecano,squads/98e8af82/Rayo-Vallecano-Stats,98e8af82,Rayo-Vallecano
20,Zaragoza,squads/800303a0/Zaragoza-Stats,800303a0,Zaragoza
21,Albacete,squads/b7e3e46e/Albacete-Stats,b7e3e46e,Albacete
22,Real Murcia,squads/ab0dc306/Real-Murcia-Stats,ab0dc306,Real-Murcia
23,Getafe,squads/7848bd64/Getafe-Stats,7848bd64,Getafe
24,Levante,squads/9800b6a1/Levante-Stats,9800b6a1,Levante
25,Numancia,squads/76d8bafa/Numancia-Stats,76d8bafa,Numancia
26,Cádiz,squads/ee7c297c/Cadiz-Stats,ee7c297c,Cadiz
27,Gimnàstic,squads/d5de8ff3/Gimnastic-Stats,d5de8ff3,Gimnastic
28,Almería,squads/78ecf4bb/Almeria-Stats,78ecf4bb,Almeria
29,Sporting Gijón,squads/bb9efd50/Sporting-Gijon-Stats,bb9efd50,Sporting-Gijon
30,Tenerife,squads/27cc9c62/Tenerife-Stats,27cc9c62,Tenerife
31,Xerez,squads/c653e8bf/Xerez-Stats,c653e8bf,Xerez
32,Hércules,squads/4222a514/Hercules-Stats,4222a514,Hercules
33,Granada,squads/a0435291/Granada-Stats,a0435291,Granada
34,Elche,squads/6c8b07df/Elche-Stats,6c8b07df,Elche
35,Eibar,squads/bea5c710/Eibar-Stats,bea5c710,Eibar
36,Córdoba,squads/6009ff35/Cordoba-Stats,6009ff35,Cordoba
37,Las Palmas,squads/0049d422/Las-Palmas-Stats,0049d422,Las-Palmas
38,Leganés,squads/7c6f2c78/Leganes-Stats,7c6f2c78,Leganes
39,Girona,squads/9024a00a/Girona-Stats,9024a00a,Girona
40,Huesca,squads/c6c493e6/Huesca-Stats,c6c493e6,Huesca
