2012-2013,La-Liga
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Barcelona,38,32,4,2,100,squads/206d90db/Barcelona-Stats,206d90db,Barcelona
2,Real Madrid,38,26,7,5,85,squads/53a2f082/Real-Madrid-Stats,53a2f082,Real-Madrid
3,Atlético Madrid,38,23,7,8,76,squads/db3b9613/Atletico-Madrid-Stats,db3b9613,Atletico-Madrid
4,Real Sociedad,38,18,12,8,66,squads/e31d1cd9/Real-Sociedad-Stats,e31d1cd9,Real-Sociedad
5,Valencia,38,19,8,11,65,squads/dcc91a7b/Valencia-Stats,dcc91a7b,Valencia
6,Málaga,38,16,9,13,57,squads/1c896955/Malaga-Stats,1c896955,Malaga
7,Betis,38,16,8,14,56,squads/fc536746/Real-Betis-Stats,fc536746,Real-Betis
8,Rayo Vallecano,38,16,5,17,53,squads/98e8af82/Rayo-Vallecano-Stats,98e8af82,Rayo-Vallecano
9,Sevilla,38,14,8,16,50,squads/ad2be733/Sevilla-Stats,ad2be733,Sevilla
10,Getafe,38,13,8,17,47,squads/7848bd64/Getafe-Stats,7848bd64,Getafe
11,Levante,38,12,10,16,46,squads/9800b6a1/Levante-Stats,9800b6a1,Levante
12,Athletic Club,38,12,9,17,45,squads/2b390eca/Athletic-Club-Stats,2b390eca,Athletic-Club
13,Espanyol,38,11,11,16,44,squads/a8661628/Espanyol-Stats,a8661628,Espanyol
14,Valladolid,38,11,10,17,43,squads/17859612/Valladolid-Stats,17859612,Valladolid
15,Granada,38,11,9,18,42,squads/a0435291/Granada-Stats,a0435291,Granada
16,Osasuna,38,10,9,19,39,squads/03c57e2b/Osasuna-Stats,03c57e2b,Osasuna
17,Celta Vigo,38,10,7,21,37,squads/f25da7fb/Celta-Vigo-Stats,f25da7fb,Celta-Vigo
18,Mallorca,38,9,9,20,36,squads/2aa12281/Mallorca-Stats,2aa12281,Mallorca
19,La Coruña,38,8,11,19,35,squads/2a60ed82/Deportivo-La-Coruna-Stats,2a60ed82,Deportivo-La-Coruna
20,Zaragoza,38,9,7,22,34,squads/800303a0/Zaragoza-Stats,800303a0,Zaragoza
