2002-2003,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Real Madrid,38,22,12,4,78
2,Real Sociedad,38,22,10,6,76
3,La Coruña,38,22,6,10,72
4,Celta Vigo,38,17,10,11,61
5,Valencia,38,17,9,12,60
6,Barcelona,38,15,11,12,56
7,Athletic Club,38,15,10,13,55
8,Betis,38,14,12,12,54
9,Mallorca,38,14,10,14,52
10,Sevilla,38,13,11,14,50
11,Osasuna,38,12,11,15,47
12,Atlético Madrid,38,12,11,15,47
13,Málaga,38,11,13,14,46
14,Valladolid,38,12,10,16,46
15,Villarreal,38,11,12,15,45
16,Racing Sant,38,13,5,20,44
17,Espanyol,38,10,13,15,43
18,Recreativo,38,8,12,18,36
19,Alavés,38,8,11,19,35
20,Rayo Vallecano,38,7,11,20,32
