2005-2006,La-Liga
Rk,Club,Mp,W,D,L,Pts
﻿1,Barcelona,38,25,7,6,82
2,Real Madrid,38,20,10,8,70
3,Valencia,38,19,12,7,69
4,Osasuna,38,21,5,12,68
5,Sevilla,38,20,8,10,68
6,Celta Vigo,38,20,4,14,64
7,Villarreal,38,14,15,9,57
8,La Coruña,38,15,10,13,55
9,Getafe,38,15,9,14,54
10,Atlético Madrid,38,13,13,12,52
11,Zaragoza,38,10,16,12,46
12,Athletic Club,38,11,12,15,45
13,Mallorca,38,10,13,15,43
14,Betis,38,10,12,16,42
15,Espanyol,38,10,11,17,41
16,Real Sociedad,38,11,7,20,40
17,Racing Sant,38,9,13,16,40
18,Alavés,38,9,12,17,39
19,Cádiz,38,8,12,18,36
20,Málaga,38,5,9,24,24
