Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
76,Borja Ekiza,/en/players/6465e1c9/Borja-Ekiza,6465e1c9,Borja-Ekiz,es ESP,DF,Athletic-Club
77,Jon Aurtenetxe,/en/players/74b0e3ce/Jon-Aurtenetxe,74b0e3ce,Jon-Aurtenetx,es ESP,DF,Athletic-Club
78,Igor Martínez,/en/players/c68990c2/Igor-Martinez,c68990c2,Igor-Martinez,es ESP,"FW,MF",Athletic-Club
79,Raúl Fernández,/en/players/6fb59070/Raul-Fernandez,6fb59070,Raul-Fernandez,es ESP,GK,Athletic-Club
80,Urko Vera,/en/players/d8cf0115/Urko-Vera,d8cf0115,Urko-V,es ESP,FW,Athletic-Club
81,Ibai Gómez,/en/players/9d2a3d5f/Ibai-Gomez,9d2a3d5f,Ibai-Gomez,es ESP,"FW,MF",Athletic-Club
82,Iñigo Díaz de Cerio,/en/players/757bd109/Inigo-Diaz-de-Cerio,757bd109,Inigo-Diaz-de-Cerio,es ESP,FW,Athletic-Club
83,Ander Herrera,/en/players/436a9dd0/Ander-Herrera,436a9dd0,Ander-H,es ESP,MF,Athletic-Club
84,Aymeric Laporte,/en/players/119b9a8e/Aymeric-Laporte,119b9a8e,Aymeric-Laport,es ESP,DF,Athletic-Club
85,Isma López,/en/players/e644a7f5/Isma-Lopez,644a7f5,Isma-Lopez,es ESP,"DF,FW",Athletic-Club
86,Jonás Ramalho,/en/players/be3a0121/Jonas-Ramalho,be3a0121,Jonas-Ramalho,es ESP,DF,Athletic-Club
87,Iñigo Ruiz de Galarreta,/en/players/91f7631f/Inigo-Ruiz-de-Galarreta,91f7631f,Inigo-Ruiz-de-Galarret,es ESP,MF,Athletic-Club
88,Erik Morán,/en/players/6941883f/Erik-Moran,6941883f,Erik-Mo,es ESP,MF,Athletic-Club
89,Mikel Rico,/en/players/def69cd0/Mikel-Rico,def69cd0,Mikel-Rico,es ESP,MF,Athletic-Club
90,Iago Herrerín,/en/players/9109185e/Iago-Herrerin,9109185e,Iago-Herreri,es ESP,GK,Athletic-Club
91,Guillermo,/en/players/15107141/Guillermo,15107141,Guillermo,es ESP,FW,Athletic-Club
92,Enrique Sola,/en/players/bef2e50e/Enrique-Sola,bef2e50e,Enrique-So,es ESP,FW,Athletic-Club
93,Enric Saborit,/en/players/eb5bc3eb/Enric-Saborit,b5bc3eb,Enric-Saborit,es ESP,DF,Athletic-Club
94,Unai Albizua,/en/players/4a2e58a3/Unai-Albizua,4a2e58a3,Unai-Albizu,es ESP,DF,Athletic-Club
95,Iñaki Williams,/en/players/6a99e0b1/Inaki-Williams,6a99e0b1,Inaki-William,gh GHA,"FW,MF",Athletic-Club
96,Unai López,/en/players/88050721/Unai-Lopez,88050721,Unai-Lopez,es ESP,MF,Athletic-Club
97,Borja Viguera,/en/players/d906a703/Borja-Viguera,d906a703,Borja-Vigu,es ESP,FW,Athletic-Club
98,Ager Aketxe,/en/players/c5eaff5c/Ager-Aketxe,c5eaff5c,Ager-Aketx,es ESP,MF,Athletic-Club
99,Unai Bustinza,/en/players/f3112790/Unai-Bustinza,f3112790,Unai-Bustinz,es ESP,DF,Athletic-Club
100,Álex Remiro,/en/players/374ee424/Alex-Remiro,374ee424,Alex-Remiro,es ESP,GK,Athletic-Club
101,Raúl García,/en/players/b418dbd4/Raul-Garcia,b418dbd4,Raul-Garci,es ESP,MF,Athletic-Club
102,Sabin Merino,/en/players/1d5f96d9/Sabin-Merino,1d5f96d9,Sabin-Merino,es ESP,"MF,FW",Athletic-Club
103,Iñigo Lekue,/en/players/59b7d823/Inigo-Lekue,59b7d823,Inigo-Leku,es ESP,"DF,MF",Athletic-Club
104,Javier Eraso,/en/players/aec0fb6f/Javier-Eraso,c0fb6f,Javier-Eraso,es ESP,MF,Athletic-Club
105,Gorka Elustondo,/en/players/7b309e55/Gorka-Elustondo,7b309e55,Gorka-Elustondo,es ESP,"MF,DF",Athletic-Club
106,Yeray Álvarez,/en/players/3ecc11d8/Yeray-Alvarez,3ecc11d8,Yeray-Alvarez,es ESP,DF,Athletic-Club
107,Kepa Arrizabalaga,/en/players/28d596a0/Kepa-Arrizabalaga,28d596a0,Kepa-Arrizabalag,es ESP,GK,Athletic-Club
108,Mikel Vesga,/en/players/b0fce72c/Mikel-Vesga,b0fce72c,Mikel-Vesg,es ESP,MF,Athletic-Club
109,Asier Villalibre,/en/players/57be54ec/Asier-Villalibre,57be54ec,Asier-Villalib,es ESP,FW,Athletic-Club
110,Unai Simón,/en/players/5dcf3e90/Unai-Simon,5dcf3e90,Unai-Simo,es ESP,GK,Athletic-Club
111,﻿Unai Núñez,/en/players/be170419/Unai-Nunez,be170419,Unai-Nunez,es ESP,DF,Athletic-Club
112,Iñigo Córdoba,/en/players/49ea92be/Inigo-Cordoba,49ea92be,Inigo-Cordob,es ESP,MF,Athletic-Club
113,Iñigo Martínez,/en/players/3fc45c73/Inigo-Martinez,3fc45c73,Inigo-Martinez,es ESP,DF,Athletic-Club
114,Andoni López,/en/players/fc8cb238/Andoni-Lopez,fc8cb238,Andoni-Lopez,es ESP,DF,Athletic-Club
115,Víctor San Bartolomé,/en/players/8af42784/Victor-San-Bartolome,8af42784,Victor-San-Bartolom,es ESP,MF,Athletic-Club
116,Daniel Vivian,/en/players/ab7bf91d/Daniel-Vivian,b7bf91d,Daniel-Vivi,es ESP,DF,Athletic-Club
117,Yuri Berchiche,/en/players/b6e50615/Yuri-Berchiche,b6e50615,Yuri-Berchich,es ESP,"DF,MF",Athletic-Club
118,Dani García,/en/players/240d3a0b/Dani-Garcia,240d3a0b,Dani-Garci,es ESP,MF,Athletic-Club
