Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,Dietmar Hamann,de GER,MF,25,25,2.0,2.0,2003-2004,/en/players/01c05efb/Dietmar-Hamann,01c05efb,Liverpool,"2,117",23.5,6.0,0.0,123,13.0,6266.0,Liverpool
,John Arne Riise,no NOR,"DF,MF",28,22,4.0,0.0,2003-2004,/en/players/9bf988c2/John-Arne-Riise,9bf988c2,Liverpool,"2,133",23.7,0.0,0.0,123,21.0,6264.0,Liverpool
,Jamie Carragher,eng ENG,"DF,MF",22,22,1.0,0.0,2003-2004,/en/players/d0ebce19/Jamie-Carragher,d0ebce19,Liverpool,"1,908",21.2,2.0,0.0,123,6.0,6262.0,Liverpool
,Danny Murphy,eng ENG,MF,31,19,4.0,5.0,2003-2004,/en/players/03a97c40/Danny-Murphy,03a97c40,Liverpool,"1,923",21.4,2.0,0.0,123,6.0,6260.0,Liverpool
,Steve Finnan,ie IRL,DF,22,19,2.0,0.0,2003-2004,/en/players/5596a89f/Steve-Finnan,5596a89f,Liverpool,"1,726",19.2,4.0,0.0,123,99.0,3048.0,Liverpool
,El Hadji Diouf,sn SEN,"FW,MF",19,16,2.0,0.0,2003-2004,/en/players/1a4542c8/El-Hadji-Diouf,1a4542c8,Liverpool,"1,380",15.3,9.0,1.0,123,34.0,6268.0,Liverpool
,Stéphane Henchoz,ch SUI,DF,18,15,0.0,0.0,2003-2004,/en/players/17476497/Stephane-Henchoz,17476497,Liverpool,"1,401",15.6,2.0,0.0,123,39.0,6269.0,Liverpool
,Vladimír Šmicer,cz CZE,"FW,MF",20,15,1.0,3.0,2003-2004,/en/players/134c46b4/Vladimir-Smicer,134c46b4,Liverpool,"1,200",13.3,1.0,0.0,123,84.0,6272.0,Liverpool
,Bruno Cheyrou,fr FRA,MF,12,9,0.0,2.0,2003-2004,/en/players/9655ab80/Bruno-Cheyrou,9655ab80,Liverpool,700,7.8,0.0,0.0,123,4.0,6273.0,Liverpool
,Djimi Traoré,ml MLI,DF,7,7,0.0,0.0,2003-2004,/en/players/b8c992d8/Djimi-Traore,b8c992d8,Liverpool,578,6.4,0.0,0.0,123,12.0,6265.0,Liverpool
,Milan Baroš,cz CZE,FW,13,6,3.0,1.0,2003-2004,/en/players/f3a9a99b/Milan-Baros,f3a9a99b,Liverpool,610,6.8,2.0,0.0,123,84.0,6270.0,Liverpool
,Chris Kirkland,eng ENG,GK,6,6,0.0,0.0,2003-2004,/en/players/710265d2/Chris-Kirkland,710265d2,Liverpool,540,6.0,1.0,0.0,123,6.0,6274.0,Liverpool
,Florent Sinama Pongolle,fr FRA,FW,15,3,1.0,2.0,2003-2004,/en/players/f222974d/Florent-Sinama-Pongolle,f222974d,Liverpool,421,4.7,0.0,0.0,123,4.0,2181.0,Liverpool
,Anthony Le Tallec,fr FRA,"FW,MF",13,3,1.0,0.0,2003-2004,/en/players/5d81fb2c/Anthony-Le-Tallec,5d81fb2c,Liverpool,409,4.5,0.0,0.0,123,4.0,6281.0,Liverpool
,Salif Diao,sn SEN,MF,3,2,1.0,0.0,2003-2004,/en/players/acc326da/Salif-Diao,cc326da,Liverpool,216,2.4,1.0,0.0,123,34.0,6271.0,Liverpool
,Patrice Luzi,fr FRA,GK,1,0,0.0,0.0,2003-2004,/en/players/b6132aa2/Patrice-Luzi,b6132aa2,Liverpool,13,0.1,0.0,0.0,123,4.0,6282.0,Liverpool
,John Welsh,eng ENG,MF,1,0,0.0,0.0,2003-2004,/en/players/9713e675/John-Welsh,9713e675,Liverpool,7,0.1,1.0,0.0,123,6.0,6283.0,Liverpool
,﻿Jamie Carragher,eng ENG,"DF,MF",38,38,2.0,0.0,2004-2005,/en/players/d0ebce19/Jamie-Carragher,d0ebce19,Liverpool,"3,420",38.0,4.0,0.0,123,6.0,6262.0,Liverpool
,John Arne Riise,no NOR,"DF,MF",37,34,7.0,6.0,2004-2005,/en/players/9bf988c2/John-Arne-Riise,9bf988c2,Liverpool,"2,984",33.2,2.0,0.0,123,21.0,6264.0,Liverpool
,Sami Hyypiä,fi FIN,DF,32,32,0.0,2.0,2004-2005,/en/players/087b932d/Sami-Hyypia,087b932d,Liverpool,"2,781",30.9,2.0,0.0,123,83.0,6261.0,Liverpool
,Steve Finnan,ie IRL,DF,33,29,1.0,1.0,2004-2005,/en/players/5596a89f/Steve-Finnan,5596a89f,Liverpool,"2,546",28.3,3.0,0.0,123,99.0,3048.0,Liverpool
,Steven Gerrard,eng ENG,MF,30,28,4.0,7.0,2004-2005,/en/players/caeb5442/Steven-Gerrard,caeb5442,Liverpool,"2,463",27.4,3.0,0.0,123,6.0,6263.0,Liverpool
,Luis García,es ESP,MF,29,26,4.0,8.0,2004-2005,/en/players/a5c8d2b7/Luis-Garcia,5c8d2b7,Liverpool,"2,344",26.0,6.0,0.0,123,1.0,1076.0,Liverpool
,Jerzy Dudek,pl POL,GK,24,24,0.0,0.0,2004-2005,/en/players/1064659d/Jerzy-Dudek,1064659d,Liverpool,"2,160",24.0,0.0,0.0,123,14.0,69.0,Liverpool
