Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,Alessandro Agostini,it ITA,DF,15,15,0.0,0.0,2003-2004,9549f66d,Cagliari,"1,195",13.3,0.0,1.0,184.0,9.0,
,Daniele Conti,it ITA,MF,33,14,0.0,0.0,2003-2004,25df5a0d,Cagliari,"1,497",16.6,11.0,1.0,184.0,9.0,
,Rocco Sabato,it ITA,DF,20,11,1.0,0.0,2003-2004,70e73831,Cagliari,"1,106",12.3,4.0,1.0,184.0,9.0,
,Andrea Capone,it ITA,MF,22,8,1.0,2.0,2003-2004,25724be9,Cagliari,890,9.9,3.0,1.0,184.0,9.0,
,Rolando Bianchi,it ITA,FW,14,6,0.0,2.0,2003-2004,11fcbfe7,Cagliari,643,7.1,2.0,0.0,184.0,9.0,
,Antonio Langella,it ITA,"FW,MF",29,4,0.0,7.0,2003-2004,94cb87a,Cagliari,886,9.8,9.0,1.0,184.0,9.0,
,Di Fábio,br BRA,DF,6,4,0.0,0.0,2003-2004,730170df,Cagliari,398,4.4,1.0,0.0,184.0,2.0,
,Gennaro Iezzo,it ITA,GK,3,2,0.0,0.0,2003-2004,778fbda,Cagliari,240,2.7,0.0,0.0,184.0,9.0,
,Sebastiano Pinna,it ITA,,7,2,0.0,0.0,2003-2004,9730a2ce,Cagliari,202,2.2,1.0,0.0,184.0,9.0,
,Davide Capello,it ITA,GK,2,2,0.0,0.0,2003-2004,9641fbd4,Cagliari,180,2.0,0.0,0.0,184.0,9.0,
,Fabrizio Cammarata,it ITA,FW,14,1,1.0,0.0,2003-2004,c3510,Cagliari,300,3.3,0.0,0.0,184.0,9.0,
,Cristian Bucchi,it ITA,FW,4,0,0.0,1.0,2003-2004,8df7ea1e,Cagliari,41,0.5,1.0,0.0,184.0,9.0,
,Riccardo Gavioli,,,1,0,0.0,0.0,2003-2004,,Cagliari,6,0.1,0.0,0.0,184.0,,
,﻿Massimo Gobbi,it ITA,"DF,MF",36,36,5.0,3.0,2004-2005,635b0bae,Cagliari,"3,157",35.1,8.0,0.0,184.0,9.0,
,Alessandro Agostini,it ITA,DF,35,35,2.0,0.0,2004-2005,9549f66d,Cagliari,"3,150",35.0,4.0,1.0,184.0,9.0,
,Mauro Esposito,it ITA,"FW,MF",34,33,3.0,16.0,2004-2005,f9aecbb,Cagliari,"2,920",32.4,6.0,1.0,184.0,9.0,
,Luis Diego López,uy URU,DF,33,33,0.0,1.0,2004-2005,1a0d1319,Cagliari,"2,739",30.4,7.0,2.0,184.0,8.0,
,Francesco Bega,it ITA,DF,32,32,0.0,0.0,2004-2005,4d0b594c,Cagliari,"2,834",31.5,11.0,1.0,184.0,9.0,
,Roberto Maltagliati,it ITA,DF,30,30,1.0,0.0,2004-2005,315860e5,Cagliari,"2,693",29.9,0.0,0.0,184.0,9.0,
,Gianfranco Zola,it ITA,FW,31,30,7.0,9.0,2004-2005,59883773,Cagliari,"2,247",25.0,0.0,0.0,184.0,9.0,
,Nelson Abeijón,uy URU,MF,30,28,0.0,4.0,2004-2005,874deb38,Cagliari,"2,353",26.1,12.0,1.0,184.0,8.0,
,Antonio Langella,it ITA,"FW,MF",31,22,6.0,6.0,2004-2005,94cb87a,Cagliari,"2,008",22.3,5.0,1.0,184.0,9.0,
,Gennaro Iezzo,it ITA,GK,22,22,0.0,0.0,2004-2005,778fbda,Cagliari,"1,980",22.0,0.0,0.0,184.0,9.0,
,Daniele Conti,it ITA,MF,29,19,2.0,1.0,2004-2005,25df5a0d,Cagliari,"1,793",19.9,13.0,0.0,184.0,9.0,
,Massimo Brambilla,it ITA,MF,17,16,1.0,0.0,2004-2005,08fb8e38,Cagliari,"1,250",13.9,2.0,1.0,184.0,9.0,
,Alessandro Budel,it ITA,MF,24,15,3.0,0.0,2004-2005,ff0f5a19,Cagliari,"1,435",15.9,2.0,1.0,184.0,9.0,
,Fanis Katergiannakis,gr GRE,GK,15,15,0.0,0.0,2004-2005,517134d0,Cagliari,"1,350",15.0,0.0,0.0,184.0,55.0,
,Simone Loria,it ITA,DF,20,14,0.0,1.0,2004-2005,910b70f,Cagliari,"1,228",13.6,3.0,0.0,184.0,9.0,
,David Suazo,hn HON,FW,22,13,1.0,7.0,2004-2005,25c5b3ee,Cagliari,"1,197",13.3,4.0,0.0,184.0,107.0,
,Rolando Bianchi,it ITA,FW,25,9,4.0,2.0,2004-2005,11fcbfe7,Cagliari,"1,071",11.9,0.0,0.0,184.0,9.0,
,Francesco Pisano,it ITA,DF,13,7,0.0,0.0,2004-2005,d76a53f3,Cagliari,749,8.3,3.0,0.0,184.0,9.0,
,Loris Del Nevo,it ITA,MF,12,4,0.0,0.0,2004-2005,3f0d2d6e,Cagliari,491,5.5,2.0,0.0,184.0,9.0,
,Édgar Álvarez,hn HON,"DF,MF",15,3,1.0,1.0,2004-2005,41d086b6,Cagliari,489,5.4,1.0,0.0,184.0,107.0,
,Marcello Albino,it ITA,MF,14,3,1.0,0.0,2004-2005,0a84f9,Cagliari,463,5.1,1.0,0.0,184.0,9.0,
,Rocco Sabato,it ITA,DF,3,3,0.0,0.0,2004-2005,70e73831,Cagliari,223,2.5,0.0,0.0,184.0,9.0,
,Alex Brunner,it ITA,GK,1,1,0.0,0.0,2004-2005,bd54957,Cagliari,90,1.0,0.0,0.0,184.0,9.0,
,Claudio Pani,it ITA,MF,1,1,,0.0,2004-2005,f2a8472c,Cagliari,61,0.7,0.0,0.0,184.0,9.0,
,Horacio Peralta,uy URU,"FW,MF",1,0,,0.0,2004-2005,ce94974a,Cagliari,12,0.1,0.0,0.0,184.0,8.0,
,Fabio Vignati,,,1,0,,0.0,2004-2005,631a0d10,Cagliari,4,0.0,0.0,0.0,184.0,,
,﻿Mauro Esposito,it ITA,"FW,MF",38,38,4.0,6.0,2005-2006,f9aecbb,Cagliari,"3,268",36.3,3.0,0.0,184.0,9.0,
,David Suazo,hn HON,FW,37,37,4.0,22.0,2005-2006,25c5b3ee,Cagliari,"3,262",36.2,3.0,0.0,184.0,107.0,
,Massimo Gobbi,it ITA,"DF,MF",35,33,3.0,2.0,2005-2006,635b0bae,Cagliari,"2,942",32.7,6.0,1.0,184.0,9.0,
,Michele Canini,it ITA,DF,32,31,0.0,0.0,2005-2006,171f762,Cagliari,"2,731",30.3,8.0,2.0,184.0,9.0,
,Daniele Conti,it ITA,MF,30,29,2.0,3.0,2005-2006,25df5a0d,Cagliari,"2,445",27.2,12.0,2.0,184.0,9.0,
,Alessandro Agostini,it ITA,DF,35,27,2.0,0.0,2005-2006,9549f66d,Cagliari,"2,620",29.1,5.0,0.0,184.0,9.0,
,Francesco Bega,it ITA,DF,29,26,0.0,1.0,2005-2006,4d0b594c,Cagliari,"2,375",26.4,8.0,2.0,184.0,9.0,
,Nelson Abeijón,uy URU,MF,28,25,0.0,2.0,2005-2006,874deb38,Cagliari,"2,036",22.6,11.0,1.0,184.0,8.0,
,Antonio Chimenti,it ITA,GK,24,23,0.0,0.0,2005-2006,96d5e916,Cagliari,"2,059",22.9,3.0,0.0,184.0,9.0,
,Luis Diego López,uy URU,DF,22,21,0.0,0.0,2005-2006,1a0d1319,Cagliari,"1,775",19.7,6.0,1.0,184.0,8.0,
,Antonio Langella,it ITA,"FW,MF",24,16,5.0,2.0,2005-2006,94cb87a,Cagliari,"1,502",16.7,8.0,1.0,184.0,9.0,
,Francesco Pisano,it ITA,DF,24,16,0.0,0.0,2005-2006,d76a53f3,Cagliari,"1,374",15.3,2.0,0.0,184.0,9.0,
,Alessandro Budel,it ITA,MF,30,15,2.0,0.0,2005-2006,ff0f5a19,Cagliari,"1,672",18.6,4.0,0.0,184.0,9.0,
,Joe Bizera,uy URU,DF,16,15,0.0,0.0,2005-2006,c3c94c0f,Cagliari,"1,307",14.5,6.0,1.0,184.0,8.0,
,Michele Ferri,it ITA,DF,16,15,0.0,0.0,2005-2006,504124ad,Cagliari,"1,279",14.2,2.0,0.0,184.0,9.0,
,Alessandro Conticchio,it ITA,MF,26,15,0.0,0.0,2005-2006,62eb5677,Cagliari,"1,190",13.2,3.0,0.0,184.0,9.0,
,Andrea Capone,it ITA,MF,28,14,3.0,3.0,2005-2006,25724be9,Cagliari,"1,171",13.0,4.0,0.0,184.0,9.0,
,Andrea Campagnolo,it ITA,GK,11,9,0.0,0.0,2005-2006,1e13e03e,Cagliari,875,9.7,0.0,0.0,184.0,9.0,
,Fabián Carini,uy URU,GK,8,8,0.0,0.0,2005-2006,d1c6cd3b,Cagliari,675,7.5,0.0,0.0,184.0,8.0,
,Andrea Cossu,it ITA,MF,22,4,1.0,0.0,2005-2006,70fd593e,Cagliari,719,8.0,0.0,0.0,184.0,9.0,
,Andrea Cocco,it ITA,FW,5,2,0.0,0.0,2005-2006,cfa29e6c,Cagliari,135,1.5,0.0,0.0,184.0,9.0,
,Fabio Vignati,,,1,1,0.0,0.0,2005-2006,631a0d10,Cagliari,90,1.0,0.0,0.0,184.0,,
,Claudio Ferrarese,it ITA,MF,3,0,0.0,0.0,2005-2006,d1d96205,Cagliari,62,0.7,0.0,0.0,184.0,9.0,
,Claudio Pani,it ITA,MF,1,0,,0.0,2005-2006,f2a8472c,Cagliari,11,0.1,0.0,0.0,184.0,9.0,
,﻿David Suazo,hn HON,FW,36,36,1.0,14.0,2006-2007,25c5b3ee,Cagliari,"3,212",35.7,2.0,0.0,184.0,107.0,
,Paolo Bianco,it ITA,DF,35,35,0.0,1.0,2006-2007,3e4c8171,Cagliari,"3,144",34.9,4.0,0.0,184.0,9.0,
,Luis Diego López,uy URU,DF,35,34,0.0,0.0,2006-2007,1a0d1319,Cagliari,"2,961",32.9,3.0,0.0,184.0,8.0,
,Davide Biondini,it ITA,MF,31,31,3.0,1.0,2006-2007,b4c3070a,Cagliari,"2,462",27.4,6.0,0.0,184.0,9.0,
,Daniele Conti,it ITA,MF,30,28,4.0,3.0,2006-2007,25df5a0d,Cagliari,"2,597",28.9,12.0,3.0,184.0,9.0,
,Leonardo Colucci,it ITA,MF,26,23,1.0,1.0,2006-2007,762cc140,Cagliari,"1,945",21.6,3.0,0.0,184.0,9.0,
,Alessandro Agostini,it ITA,DF,27,22,0.0,0.0,2006-2007,9549f66d,Cagliari,"1,914",21.3,0.0,0.0,184.0,9.0,
,Antonio Chimenti,it ITA,GK,22,22,0.0,0.0,2006-2007,96d5e916,Cagliari,"1,861",20.7,1.0,0.0,184.0,9.0,
,Michele Ferri,it ITA,DF,23,20,0.0,1.0,2006-2007,504124ad,Cagliari,"1,853",20.6,4.0,0.0,184.0,9.0,
,Alessandro Budel,it ITA,MF,30,19,1.0,1.0,2006-2007,ff0f5a19,Cagliari,"1,768",19.6,4.0,0.0,184.0,9.0,
,Simone Pepe,it ITA,"FW,MF",36,18,3.0,3.0,2006-2007,1f3674c2,Cagliari,"2,070",23.0,3.0,0.0,184.0,9.0,
,Cristiano Del Grosso,it ITA,DF,22,18,1.0,0.0,2006-2007,b0603a52,Cagliari,"1,644",18.3,1.0,0.0,184.0,9.0,
,Antonino D'Agostino,it ITA,MF,26,17,1.0,1.0,2006-2007,dff2d09e,Cagliari,"1,498",16.6,1.0,0.0,184.0,9.0,
,Mauro Esposito,it ITA,"FW,MF",18,17,0.0,1.0,2006-2007,f9aecbb,Cagliari,"1,491",16.6,3.0,0.0,184.0,9.0,
,Francesco Pisano,it ITA,DF,23,17,1.0,0.0,2006-2007,d76a53f3,Cagliari,"1,473",16.4,3.0,0.0,184.0,9.0,
,Marco Fortin,it ITA,GK,17,16,0.0,0.0,2006-2007,bdf0ae60,Cagliari,"1,514",16.8,1.0,0.0,184.0,9.0,
,Andrea Capone,it ITA,MF,25,16,1.0,3.0,2006-2007,25724be9,Cagliari,"1,210",13.4,2.0,0.0,184.0,9.0,
,Davide Marchini,it ITA,MF,17,10,1.0,3.0,2006-2007,cc371be6,Cagliari,981,10.9,4.0,0.0,184.0,9.0,
,Antonio Langella,it ITA,"FW,MF",16,8,0.0,0.0,2006-2007,94cb87a,Cagliari,699,7.8,4.0,1.0,184.0,9.0,
,Joe Bizera,uy URU,DF,10,5,0.0,0.0,2006-2007,c3c94c0f,Cagliari,566,6.3,0.0,1.0,184.0,8.0,
,Michele Canini,it ITA,DF,4,3,0.0,0.0,2006-2007,171f762,Cagliari,269,3.0,1.0,0.0,184.0,9.0,
,Alessandro Conticchio,it ITA,MF,6,1,0.0,0.0,2006-2007,62eb5677,Cagliari,134,1.5,2.0,0.0,184.0,9.0,
,José Semedo,pt POR,"DF,MF",3,1,0.0,0.0,2006-2007,f15af32e,Cagliari,107,1.2,1.0,1.0,184.0,3.0,
,Marco Mancosu,it ITA,MF,1,1,,1.0,2006-2007,2c3a6c21,Cagliari,58,0.6,0.0,0.0,184.0,9.0,
,Gabriel Peñalba,ar ARG,MF,3,0,0.0,0.0,2006-2007,7375367,Cagliari,59,0.7,0.0,0.0,184.0,5.0,
,Simone Aresti,it ITA,GK,1,0,0.0,0.0,2006-2007,9eaccda,Cagliari,45,0.5,0.0,0.0,184.0,9.0,
,Roberto Puddu,it ITA,FW,2,0,0.0,0.0,2006-2007,60dc6fab,Cagliari,36,0.4,0.0,0.0,184.0,9.0,
,Andrea Cocco,it ITA,FW,3,0,0.0,1.0,2006-2007,cfa29e6c,Cagliari,28,0.3,0.0,0.0,184.0,9.0,
,Salvatore Burrai,it ITA,MF,1,0,,0.0,2006-2007,df441e8,Cagliari,9,0.1,0.0,0.0,184.0,9.0,
,﻿Daniele Conti,it ITA,MF,32,32,1.0,5.0,2007-2008,25df5a0d,Cagliari,"2,786",31.0,14.0,0.0,184.0,9.0,
,Paolo Bianco,it ITA,DF,30,30,0.0,2.0,2007-2008,3e4c8171,Cagliari,"2,700",30.0,5.0,0.0,184.0,9.0,
