Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,Dino Fava,it ITA,FW,31,26,3.0,12.0,2003-2004,/en/players/1f4432ac/Dino-Fava,1f4432ac,Udinese,"2,345",26.1,1.0,0.0,165,9.0,20235,Udinese
,Roberto Sensini,ar ARG,DF,25,25,2.0,2.0,2003-2004,/en/players/5cb3d53a/Roberto-Sensini,5cb3d53a,Udinese,"2,199",24.4,1.0,0.0,165,5.0,20221,Udinese
,Vincenzo Iaquinta,it ITA,FW,29,22,4.0,10.0,2003-2004,/en/players/69960e0c/Vincenzo-Iaquinta,69960e0c,Udinese,"1,910",21.2,2.0,0.0,165,9.0,19528,Udinese
,Sulley Muntari,gh GHA,MF,23,17,0.0,0.0,2003-2004,/en/players/e185aa52/Sulley-Muntari,185aa52,Udinese,"1,476",16.4,2.0,0.0,165,17.0,536,Udinese
,Alberto Valentim,br BRA,"DF,MF",21,17,1.0,0.0,2003-2004,/en/players/64a84087/Alberto-Valentim,64a84087,Udinese,"1,346",15.0,6.0,1.0,165,2.0,20225,Udinese
,Michele Pazienza,it ITA,MF,26,16,0.0,0.0,2003-2004,/en/players/9f5d69e7/Michele-Pazienza,9f5d69e7,Udinese,"1,402",15.6,4.0,0.0,165,9.0,19552,Udinese
,David Pizarro,cl CHI,MF,13,13,3.0,3.0,2003-2004,/en/players/8b92c119/David-Pizarro,8b92c119,Udinese,"1,124",12.5,2.0,0.0,165,31.0,7005,Udinese
,Lucas Castromán,ar ARG,"FW,MF",19,10,1.0,1.0,2003-2004,/en/players/a055c12e/Lucas-Castroman,055c12e,Udinese,851,9.5,2.0,0.0,165,5.0,19877,Udinese
,Alessandro Pierini,it ITA,DF,19,9,0.0,0.0,2003-2004,/en/players/a8e313f0/Alessandro-Pierini,8e313f0,Udinese,966,10.7,1.0,0.0,165,9.0,2855,Udinese
,Felipe dal Belo,br BRA,DF,16,9,0.0,0.0,2003-2004,/en/players/8cea6319/Felipe-dal-Belo,8cea6319,Udinese,872,9.7,1.0,0.0,165,2.0,19693,Udinese
,Mirko Pieri,it ITA,"DF,MF",13,9,1.0,0.0,2003-2004,/en/players/83e75ac6/Mirko-Pieri,83e75ac6,Udinese,872,9.7,1.0,0.0,165,9.0,20227,Udinese
,Thomas Manfredini,it ITA,DF,7,6,0.0,0.0,2003-2004,/en/players/cd2d825f/Thomas-Manfredini,cd2d825f,Udinese,462,5.1,2.0,0.0,165,9.0,20226,Udinese
,Carsten Jancker,de GER,FW,15,2,0.0,1.0,2003-2004,/en/players/20570c32/Carsten-Jancker,20570c32,Udinese,302,3.4,2.0,0.0,165,13.0,17331,Udinese
,Fabio Rossitto,it ITA,MF,6,1,0.0,0.0,2003-2004,/en/players/84a0904c/Fabio-Rossitto,84a0904c,Udinese,209,2.3,0.0,0.0,165,9.0,20229,Udinese
,Giuseppe Gemiti,de GER,"DF,MF",4,1,0.0,0.0,2003-2004,/en/players/dd67558e/Giuseppe-Gemiti,dd67558e,Udinese,143,1.6,0.0,0.0,165,13.0,20228,Udinese
,Siyabonga Nomvethe,za RSA,"FW,MF",5,0,0.0,0.0,2003-2004,/en/players/17198692/Siyabonga-Nomvethe,17198692,Udinese,69,0.8,0.0,0.0,165,60.0,20236,Udinese
,Julio Gutiérrez,cl CHI,FW,3,0,0.0,0.0,2003-2004,/en/players/d47e6dc9/Julio-Gutierrez,d47e6dc9,Udinese,26,0.3,0.0,0.0,165,31.0,20237,Udinese
