2014-2015,Ligue-1
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Paris S-G,38,24,11,3,83,squads/e2d8892c/Paris-Saint-Germain-Stats,e2d8892c,Paris-Saint-Germain
2,Lyon,38,22,9,7,75,squads/d53c0b06/Lyon-Stats,d53c0b06,Lyon
3,Monaco,38,20,11,7,71,squads/fd6114db/Monaco-Stats,fd6114db,Monaco
4,Marseille,38,21,6,11,69,squads/5725cc7b/Marseille-Stats,5725cc7b,Marseille
5,Saint-Étienne,38,19,12,7,69,squads/d298ef2c/Saint-Etienne-Stats,d298ef2c,Saint-Etienne
6,Bordeaux,38,17,12,9,63,squads/123f3efe/Bordeaux-Stats,123f3efe,Bordeaux
7,Montpellier,38,16,8,14,56,squads/281b0e73/Montpellier-Stats,281b0e73,Montpellier
8,Lille,38,16,8,14,56,squads/cb188c0c/Lille-Stats,cb188c0c,Lille
9,Rennes,38,13,11,14,50,squads/b3072e00/Rennes-Stats,b3072e00,Rennes
10,Guingamp,38,15,4,19,49,squads/d41b5f53/Guingamp-Stats,d41b5f53,Guingamp
11,Nice,38,13,9,16,48,squads/132ebc33/Nice-Stats,132ebc33,Nice
12,Bastia,38,12,11,15,47,squads/6283be2c/Bastia-Stats,6283be2c,Bastia
13,Caen,38,12,10,16,46,squads/74229020/Caen-Stats,74229020,Caen
14,Nantes,38,11,12,15,45,squads/d7a486cd/Nantes-Stats,d7a486cd,Nantes
15,Reims,38,12,8,18,44,squads/7fdd64e0/Reims-Stats,7fdd64e0,Reims
16,Lorient,38,12,7,19,43,squads/d2c87802/Lorient-Stats,d2c87802,Lorient
17,Toulouse,38,12,6,20,42,squads/3f8c4b5f/Toulouse-Stats,3f8c4b5f,Toulouse
18,Evian,38,11,4,23,37,squads/633fbb6e/Evian-Stats,633fbb6e,Evian
19,Metz,38,7,9,22,30,squads/f83960ae/Metz-Stats,f83960ae,Metz
20,Lens,38,7,8,23,29,squads/fd4e0f7d/Lens-Stats,fd4e0f7d,Lens
