2002-2003,Ligue-1
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Lyon,38,19,11,8,68,squads/d53c0b06/Lyon-Stats,d53c0b06,Lyon
2,Monaco,38,19,10,9,67,squads/fd6114db/Monaco-Stats,fd6114db,Monaco
3,Marseille,38,19,8,11,65,squads/5725cc7b/Marseille-Stats,5725cc7b,Marseille
4,Bordeaux,38,18,10,10,64,squads/123f3efe/Bordeaux-Stats,123f3efe,Bordeaux
5,Sochaux,38,17,13,8,64,squads/b9cd3c9a/Sochaux-Stats,b9cd3c9a,Sochaux
6,Auxerre,38,18,10,10,64,squads/5ae09109/Auxerre-Stats,5ae09109,Auxerre
7,Guingamp,38,19,5,14,62,squads/d41b5f53/Guingamp-Stats,d41b5f53,Guingamp
8,Lens,38,14,15,9,57,squads/fd4e0f7d/Lens-Stats,fd4e0f7d,Lens
9,Nantes,38,16,8,14,56,squads/d7a486cd/Nantes-Stats,d7a486cd,Nantes
10,Nice,38,13,16,9,55,squads/132ebc33/Nice-Stats,132ebc33,Nice
11,Paris S-G,38,14,12,12,54,squads/e2d8892c/Paris-Saint-Germain-Stats,e2d8892c,Paris-Saint-Germain
12,Bastia,38,12,11,15,47,squads/6283be2c/Bastia-Stats,6283be2c,Bastia
13,Strasbourg,38,11,12,15,45,squads/c0d3eab4/Strasbourg-Stats,c0d3eab4,Strasbourg
14,Lille,38,10,12,16,42,squads/cb188c0c/Lille-Stats,cb188c0c,Lille
15,Rennes,38,10,10,18,40,squads/b3072e00/Rennes-Stats,b3072e00,Rennes
16,Montpellier,38,10,10,18,40,squads/281b0e73/Montpellier-Stats,281b0e73,Montpellier
17,Ajaccio,38,9,12,17,39,squads/7a54bb4f/Ajaccio-Stats,7a54bb4f,Ajaccio
18,Le Havre,38,10,8,20,38,squads/5c2737db/Le-Havre-Stats,5c2737db,Le-Havre
19,Sedan,38,9,9,20,36,squads/e4e952b9/Sedan-Stats,e4e952b9,Sedan
20,Troyes,38,7,10,21,31,squads/54195385/Troyes-Stats,54195385,Troyes
﻿2003-2004,Ligue-1
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Lyon,38,24,7,7,79,squads/d53c0b06/Lyon-Stats,d53c0b06,Lyon
2,Paris S-G,38,22,10,6,76,squads/e2d8892c/Paris-Saint-Germain-Stats,e2d8892c,Paris-Saint-Germain
3,Monaco,38,21,12,5,75,squads/fd6114db/Monaco-Stats,fd6114db,Monaco
4,Auxerre,38,19,8,11,65,squads/5ae09109/Auxerre-Stats,5ae09109,Auxerre
5,Sochaux,38,18,9,11,63,squads/b9cd3c9a/Sochaux-Stats,b9cd3c9a,Sochaux
6,Nantes,38,17,9,12,60,squads/d7a486cd/Nantes-Stats,d7a486cd,Nantes
7,Marseille,38,17,6,15,57,squads/5725cc7b/Marseille-Stats,5725cc7b,Marseille
8,Lens,38,15,8,15,53,squads/fd4e0f7d/Lens-Stats,fd4e0f7d,Lens
9,Rennes,38,14,10,14,52,squads/b3072e00/Rennes-Stats,b3072e00,Rennes
10,Lille,38,14,9,15,51,squads/cb188c0c/Lille-Stats,cb188c0c,Lille
11,Nice,38,11,17,10,50,squads/132ebc33/Nice-Stats,132ebc33,Nice
12,Bordeaux,38,13,11,14,50,squads/123f3efe/Bordeaux-Stats,123f3efe,Bordeaux
13,Strasbourg,38,10,13,15,43,squads/c0d3eab4/Strasbourg-Stats,c0d3eab4,Strasbourg
14,Metz,38,11,9,18,42,squads/f83960ae/Metz-Stats,f83960ae,Metz
15,Ajaccio,38,10,10,18,40,squads/7a54bb4f/Ajaccio-Stats,7a54bb4f,Ajaccio
16,Toulouse,38,9,12,17,39,squads/3f8c4b5f/Toulouse-Stats,3f8c4b5f,Toulouse
17,Bastia,38,9,12,17,39,squads/6283be2c/Bastia-Stats,6283be2c,Bastia
18,Guingamp,38,10,8,20,38,squads/d41b5f53/Guingamp-Stats,d41b5f53,Guingamp
19,Le Mans,38,9,11,18,38,squads/cd5d7aa6/Le-Mans-Stats,cd5d7aa6,Le-Mans
20,Montpellier,38,8,7,23,31,squads/281b0e73/Montpellier-Stats,281b0e73,Montpellier
﻿2004-2005,Ligue-1
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Lyon,38,22,13,3,79,squads/d53c0b06/Lyon-Stats,d53c0b06,Lyon
2,Lille,38,18,13,7,67,squads/cb188c0c/Lille-Stats,cb188c0c,Lille
3,Monaco,38,15,18,5,63,squads/fd6114db/Monaco-Stats,fd6114db,Monaco
4,Rennes,38,15,10,13,55,squads/b3072e00/Rennes-Stats,b3072e00,Rennes
5,Marseille,38,15,10,13,55,squads/5725cc7b/Marseille-Stats,5725cc7b,Marseille
6,Saint-Étienne,38,12,17,9,53,squads/d298ef2c/Saint-Etienne-Stats,d298ef2c,Saint-Etienne
7,Lens,38,13,13,12,52,squads/fd4e0f7d/Lens-Stats,fd4e0f7d,Lens
8,Auxerre,38,14,10,14,52,squads/5ae09109/Auxerre-Stats,5ae09109,Auxerre
9,Paris S-G,38,12,15,11,51,squads/e2d8892c/Paris-Saint-Germain-Stats,e2d8892c,Paris-Saint-Germain
10,Sochaux,38,13,11,14,50,squads/b9cd3c9a/Sochaux-Stats,b9cd3c9a,Sochaux
11,Strasbourg,38,12,12,14,48,squads/c0d3eab4/Strasbourg-Stats,c0d3eab4,Strasbourg
12,Nice,38,10,16,12,46,squads/132ebc33/Nice-Stats,132ebc33,Nice
13,Toulouse,38,12,10,16,46,squads/3f8c4b5f/Toulouse-Stats,3f8c4b5f,Toulouse
14,Ajaccio,38,10,15,13,45,squads/7a54bb4f/Ajaccio-Stats,7a54bb4f,Ajaccio
15,Bordeaux,38,8,20,10,44,squads/123f3efe/Bordeaux-Stats,123f3efe,Bordeaux
16,Metz,38,10,14,14,44,squads/f83960ae/Metz-Stats,f83960ae,Metz
17,Nantes,38,10,13,15,43,squads/d7a486cd/Nantes-Stats,d7a486cd,Nantes
18,Caen,38,10,12,16,42,squads/74229020/Caen-Stats,74229020,Caen
19,Bastia,38,11,8,19,41,squads/6283be2c/Bastia-Stats,6283be2c,Bastia
20,Istres,38,6,14,18,32,squads/70f96e85/Istres-Stats,70f96e85,Istres
﻿2005-2006,Ligue-1
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Lyon,38,25,9,4,84,squads/d53c0b06/Lyon-Stats,d53c0b06,Lyon
2,Bordeaux,38,18,15,5,69,squads/123f3efe/Bordeaux-Stats,123f3efe,Bordeaux
3,Lille,38,16,14,8,62,squads/cb188c0c/Lille-Stats,cb188c0c,Lille
4,Lens,38,14,18,6,60,squads/fd4e0f7d/Lens-Stats,fd4e0f7d,Lens
