2009-2010,Ligue-1
Rk,Club,Mp,W,D,L,Pts
﻿1,Marseille,38,23,9,6,78
2,Lyon,38,20,12,6,72
3,Auxerre,38,20,11,7,71
4,Lille,38,21,7,10,70
5,Montpellier,38,20,9,9,69
6,Bordeaux,38,19,7,12,64
7,Lorient,38,16,10,12,58
8,Monaco,38,15,10,13,55
9,Rennes,38,14,11,13,53
10,Valenciennes,38,14,10,14,52
11,Lens,38,12,12,14,48
12,Nancy,38,13,9,16,48
13,Paris S-G,38,12,11,15,47
14,Toulouse,38,12,11,15,47
15,Nice,38,11,11,16,44
16,Sochaux,38,11,8,19,41
17,Saint-Étienne,38,10,10,18,40
18,Le Mans,38,8,8,22,32
19,Boulogne,38,7,10,21,31
20,Grenoble,38,5,8,25,23
