2007-2008,Ligue-1
Rk,Club,Mp,W,D,L,Pts
﻿1,Lyon,38,24,7,7,79
2,Bordeaux,38,22,9,7,75
3,Marseille,38,17,11,10,62
4,Nancy,38,15,15,8,60
5,Saint-Étienne,38,16,10,12,58
6,Rennes,38,16,10,12,58
7,Lille,38,13,18,7,57
8,Nice,38,13,16,9,55
9,Le Mans,38,14,11,13,53
10,Lorient,38,12,16,10,52
11,Caen,38,13,12,13,51
12,Monaco,38,13,8,17,47
13,Valenciennes,38,12,9,17,45
14,Sochaux,38,10,14,14,44
15,Auxerre,38,12,8,18,44
16,Paris S-G,38,10,13,15,43
17,Toulouse,38,9,15,14,42
18,Lens,38,9,13,16,40
19,Strasbourg,38,9,8,21,35
20,Metz,38,5,9,24,24
