2010-2011,Ligue-1
Rk,Club,Mp,W,D,L,Pts
﻿1,Lille,38,21,13,4,76
2,Marseille,38,18,14,6,68
3,Lyon,38,17,13,8,64
4,Paris S-G,38,15,15,8,60
5,Sochaux,38,17,7,14,58
6,Rennes,38,15,11,12,56
7,Bordeaux,38,12,15,11,51
8,Toulouse,38,14,8,16,50
9,Auxerre,38,10,19,9,49
10,Saint-Étienne,38,12,13,13,49
11,Lorient,38,12,13,13,49
12,Valenciennes,38,10,18,10,48
13,Nancy,38,13,9,16,48
14,Montpellier,38,12,11,15,47
15,Caen,38,11,13,14,46
16,Brest,38,11,13,14,46
17,Nice,38,11,13,14,46
18,Monaco,38,9,17,12,44
19,Lens,38,7,14,17,35
20,Arles-Avignon,38,3,11,24,20
