2013-2014,Ligue-1
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Paris S-G,38,27,8,3,89,squads/e2d8892c/Paris-Saint-Germain-Stats,e2d8892c,Paris-Saint-Germain
2,Monaco,38,23,11,4,80,squads/fd6114db/Monaco-Stats,fd6114db,Monaco
3,Lille,38,20,11,7,71,squads/cb188c0c/Lille-Stats,cb188c0c,Lille
4,Saint-Étienne,38,20,9,9,69,squads/d298ef2c/Saint-Etienne-Stats,d298ef2c,Saint-Etienne
5,Lyon,38,17,10,11,61,squads/d53c0b06/Lyon-Stats,d53c0b06,Lyon
6,Marseille,38,16,12,10,60,squads/5725cc7b/Marseille-Stats,5725cc7b,Marseille
7,Bordeaux,38,13,14,11,53,squads/123f3efe/Bordeaux-Stats,123f3efe,Bordeaux
8,Lorient,38,13,10,15,49,squads/d2c87802/Lorient-Stats,d2c87802,Lorient
9,Toulouse,38,12,13,13,49,squads/3f8c4b5f/Toulouse-Stats,3f8c4b5f,Toulouse
10,Bastia,38,13,10,15,49,squads/6283be2c/Bastia-Stats,6283be2c,Bastia
11,Reims,38,12,12,14,48,squads/7fdd64e0/Reims-Stats,7fdd64e0,Reims
12,Rennes,38,11,13,14,46,squads/b3072e00/Rennes-Stats,b3072e00,Rennes
13,Nantes,38,12,10,16,46,squads/d7a486cd/Nantes-Stats,d7a486cd,Nantes
14,Evian,38,11,11,16,44,squads/633fbb6e/Evian-Stats,633fbb6e,Evian
15,Montpellier,38,8,18,12,42,squads/281b0e73/Montpellier-Stats,281b0e73,Montpellier
16,Guingamp,38,11,9,18,42,squads/d41b5f53/Guingamp-Stats,d41b5f53,Guingamp
17,Nice,38,12,6,20,42,squads/132ebc33/Nice-Stats,132ebc33,Nice
18,Sochaux,38,10,10,18,40,squads/b9cd3c9a/Sochaux-Stats,b9cd3c9a,Sochaux
19,Valenciennes,38,7,8,23,29,squads/259d3345/Valenciennes-Stats,259d3345,Valenciennes
20,Ajaccio,38,4,11,23,23,squads/7a54bb4f/Ajaccio-Stats,7a54bb4f,Ajaccio
