2004-2005,Ligue-1
Rk,Club,Mp,W,D,L,Pts
﻿1,Lyon,38,22,13,3,79
2,Lille,38,18,13,7,67
3,Monaco,38,15,18,5,63
4,Rennes,38,15,10,13,55
5,Marseille,38,15,10,13,55
6,Saint-Étienne,38,12,17,9,53
7,Lens,38,13,13,12,52
8,Auxerre,38,14,10,14,52
9,Paris S-G,38,12,15,11,51
10,Sochaux,38,13,11,14,50
11,Strasbourg,38,12,12,14,48
12,Nice,38,10,16,12,46
13,Toulouse,38,12,10,16,46
14,Ajaccio,38,10,15,13,45
15,Bordeaux,38,8,20,10,44
16,Metz,38,10,14,14,44
17,Nantes,38,10,13,15,43
18,Caen,38,10,12,16,42
19,Bastia,38,11,8,19,41
20,Istres,38,6,14,18,32
