2008-2009,Ligue-1
Rk,Club,Mp,W,D,L,Pts
﻿1,Bordeaux,38,24,8,6,80
2,Marseille,38,22,11,5,77
3,Lyon,38,20,11,7,71
4,Toulouse,38,16,16,6,64
5,Lille,38,17,13,8,64
6,Paris S-G,38,19,7,12,64
7,Rennes,38,15,16,7,61
8,Auxerre,38,16,7,15,55
9,Nice,38,13,11,14,50
10,Lorient,38,10,15,13,45
11,Monaco,38,11,12,15,45
12,Valenciennes,38,10,14,14,44
13,Grenoble,38,10,14,14,44
14,Sochaux,38,10,12,16,42
15,Nancy,38,10,12,16,42
16,Le Mans,38,10,10,18,40
17,Saint-Étienne,38,11,7,20,40
18,Caen,38,8,13,17,37
19,Nantes,38,9,10,19,37
20,Le Havre,38,7,5,26,26
