2011-2012,Ligue-1
Rk,Club,Mp,W,D,L,Pts
﻿1,Montpellier,38,25,7,6,82
2,Paris S-G,38,23,10,5,79
3,Lille,38,21,11,6,74
4,Lyon,38,19,7,12,64
5,Bordeaux,38,16,13,9,61
6,Rennes,38,17,9,12,60
7,Saint-Étienne,38,16,9,13,57
8,Toulouse,38,15,11,12,56
9,Evian,38,13,11,14,50
10,Marseille,38,12,12,14,48
11,Nancy,38,11,12,15,45
12,Valenciennes,38,12,7,19,43
13,Nice,38,10,12,16,42
14,Sochaux,38,11,9,18,42
15,Brest,38,8,17,13,41
16,Ajaccio,38,9,14,15,41
17,Lorient,38,9,12,17,39
18,Caen,38,9,11,18,38
19,Dijon,38,9,9,20,36
20,Auxerre,38,7,13,18,34
