2019-2020,Ligue-1
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Paris S-G,27,22,2,3,68,squads/e2d8892c/Paris-Saint-Germain-Stats,e2d8892c,Paris-Saint-Germain
2,Marseille,28,16,8,4,56,squads/5725cc7b/Marseille-Stats,5725cc7b,Marseille
3,Rennes,28,15,5,8,50,squads/b3072e00/Rennes-Stats,b3072e00,Rennes
4,Lille,28,15,4,9,49,squads/cb188c0c/Lille-Stats,cb188c0c,Lille
5,Nice,28,11,8,9,41,squads/132ebc33/Nice-Stats,132ebc33,Nice
6,Reims,28,10,11,7,41,squads/7fdd64e0/Reims-Stats,7fdd64e0,Reims
7,Lyon,28,11,7,10,40,squads/d53c0b06/Lyon-Stats,d53c0b06,Lyon
8,Montpellier,28,11,7,10,40,squads/281b0e73/Montpellier-Stats,281b0e73,Montpellier
9,Monaco,28,11,7,10,40,squads/fd6114db/Monaco-Stats,fd6114db,Monaco
10,Strasbourg,27,11,5,11,38,squads/c0d3eab4/Strasbourg-Stats,c0d3eab4,Strasbourg
11,Angers,28,11,6,11,39,squads/69236f98/Angers-Stats,69236f98,Angers
12,Bordeaux,28,9,10,9,37,squads/123f3efe/Bordeaux-Stats,123f3efe,Bordeaux
13,Nantes,28,11,4,13,37,squads/d7a486cd/Nantes-Stats,d7a486cd,Nantes
14,Brest,28,8,10,10,34,squads/fb08dbb3/Brest-Stats,fb08dbb3,Brest
15,Metz,28,8,10,10,34,squads/f83960ae/Metz-Stats,f83960ae,Metz
16,Dijon,28,7,9,12,30,squads/8dfb7350/Dijon-Stats,8dfb7350,Dijon
17,Saint-Étienne,28,8,6,14,30,squads/d298ef2c/Saint-Etienne-Stats,d298ef2c,Saint-Etienne
18,Nîmes,28,7,6,15,27,squads/1cbf5f9e/Nimes-Stats,1cbf5f9e,Nimes
19,Amiens,28,4,11,13,23,squads/25622401/Amiens-Stats,25622401,Amiens
20,Toulouse,28,3,4,21,13,squads/3f8c4b5f/Toulouse-Stats,3f8c4b5f,Toulouse
