,Player,Link,Player_id,Player_name,Nationality,Position
58,Gal Alberman,/en/players/733ff014/Gal-Alberman,733ff014,Gal-Alberm,il ISR,MF
59,Ángel Rodríguez,/en/players/8cfc2f69/Angel-Rodriguez,8cfc2f69,Angel-Rodriguez,es ESP,FW
60,William,/en/players/8440e55f/William,8440e55f,William,br BRA,MF
61,Tomi Correa,/en/players/0d3cf025/Tomi-Correa,0d3cf025,Tomi-Co,es ESP,FW
62,João Paulo,/en/players/41b0fef2/Joao-Paulo,41b0fef2,Joao-Paulo,pt POR,FW
63,﻿José Antonio Culebras,/en/players/c8b270a2/Jose-Antonio-Culebras,c8b270a2,Jose-Antonio-Culeb,es ESP,DF
64,Pablo Sicilia,/en/players/56bdf1b5/Pablo-Sicilia,56bdf1b5,Pablo-Sicili,es ESP,DF
65,Marc Bertrán,/en/players/89a12cef/Marc-Bertran,89a12cef,Marc-Bert,es ESP,DF
66,Rafael Clavero,/en/players/1590d66a/Rafael-Clavero,1590d66a,Rafael-Clavero,es ESP,DF
67,Raúl Sánchez,/en/players/5553259e/Raul-Sanchez,5553259e,Raul-Sanchez,es ESP,FW
68,Óscar Pérez,/en/players/a4ae5f6a/Oscar-Perez,4ae5f6a,Oscar-Perez,es ESP,MF
69,Iriome González,/en/players/6e19f4fb/Iriome-Gonzalez,6e19f4fb,Iriome-Gonzalez,es ESP,MF
70,Manolo Martínez,/en/players/7b9876e4/Manolo-Martinez,7b9876e4,Manolo-Martinez,es ESP,"DF,MF"
71,Tomasz Frankowski,/en/players/fc24429f/Tomasz-Frankowski,fc24429f,Tomasz-Frankowski,pl POL,FW
72,Luis Gil Torres,/en/players/3541486a/Luis-Gil-Torres,3541486a,Luis-Gil-To,es ESP,FW
73,Manuel Castiñeiras,/en/players/fad67c40/Manuel-Castineiras,fad67c40,Manuel-Castinei,es ESP,DF
74,Andrés San Martín,/en/players/d539c73d/Andres-San-Martin,d539c73d,Andres-San-Marti,ar ARG,MF
75,Juvenal,/en/players/b26bf947/Juvenal,b26bf947,Juv,gq EQG,MF
76,Suso Santana,/en/players/ac78902c/Suso-Santana,c78902c,Suso-Sant,es ESP,"FW,MF"
77,Sergio Torres,/en/players/e653c16c/Sergio-Torres,653c16c,Sergio-To,es ESP,MF
78,Manuel Blanco,/en/players/3dadb16d/Manuel-Blanco,3dadb16d,Manuel-Blanco,es ESP,DF
79,Raúl Navas,/en/players/7bb77368/Raul-Navas,7bb77368,Raul-Nav,es ESP,GK
80,Juan Ramón Ruano,/en/players/fe3bdf87/Juan-Ramon-Ruano,fe3bdf87,Juan-Ramon-Ruano,es ESP,MF
81,Omar Ramos,/en/players/0657888a/Omar-Ramos,0657888a,Omar-Ramo,es ESP,"FW,MF"
82,﻿Nino,/en/players/03dc5b1f/Nino,03dc5b1f,Nino,es ESP,"FW,MF"
